isotope_closure_id,element_closure_id,Z,N,A,proton_count,neutron_count,electron_count,total_particle_count,quark_u_count,quark_d_count,quark_e_count,P_address,quark_address,radix_cycle,radix_slot,shell_period,shell_capacity,shell_occupancy,shell_status,ladder_role,ladder_weight,selected_depth_index,residual_twelfths,native_isotope_status,M_native_total_computed,M_observed_total_computed,GR_qA_total_computed,G_tensor_computed,retained_7G_computed,natural_synthetic_boundary_status,reference_clock
CR220-IZ017N018-FLOOR_PRIMARY,CR220-EZ017,17,18,35,17,18,17,52,52,53,17,17p+18n+17e,52u+53d+17e,2,5,3,18,7,OPEN_SHELL,FLOOR_PRIMARY,0.5833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,1,5,BOUND_ISOTOPE_LADDER_CLOSURE,1863.750,1251.750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1260.427083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,157.5533854166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1102.873697916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,KNOWN_NATURAL_SURFACE_DOWNSTREAM,stable
CR220-IZ017N019-CEIL_NEIGHBOR,CR220-EZ017,17,19,36,17,19,17,53,53,55,17,17p+19n+17e,53u+55d+17e,2,5,3,18,7,OPEN_SHELL,CEIL_NEIGHBOR,0.4166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,1,5,BOUND_ISOTOPE_LADDER_CLOSURE,1863.875,1251.875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1260.552083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,157.5690104166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1102.983072916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,KNOWN_NATURAL_SURFACE_DOWNSTREAM,stable
CR220-IZ018N019-FLOOR_PRIMARY,CR220-EZ018,18,19,37,18,19,18,55,55,56,18,18p+19n+18e,55u+56d+18e,2,6,3,18,8,OPEN_SHELL,FLOOR_PRIMARY,0.5,1,6,HALF_WRITE_BOUND_ISOTOPE_CLOSURE,1973.375,1325.375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1334.562500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,166.820312500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1167.742187500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,KNOWN_NATURAL_SURFACE_DOWNSTREAM,stable
CR220-IZ018N020-CEIL_NEIGHBOR,CR220-EZ018,18,20,38,18,20,18,56,56,58,18,18p+20n+18e,56u+58d+18e,2,6,3,18,8,OPEN_SHELL,CEIL_NEIGHBOR,0.5,1,6,HALF_WRITE_BOUND_ISOTOPE_CLOSURE,1973.500,1325.500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1334.687500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,166.835937500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1167.851562500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,KNOWN_NATURAL_SURFACE_DOWNSTREAM,stable
CR220-IZ019N020-FLOOR_PRIMARY,CR220-EZ019,19,20,39,19,20,19,58,58,59,19,19p+20n+19e,58u+59d+19e,2,7,3,18,9,OPEN_SHELL,FLOOR_PRIMARY,0.4166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,1,7,BOUND_ISOTOPE_LADDER_CLOSURE,2083.000,1399.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1408.697916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,176.0872395833333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,1232.610677083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,KNOWN_NATURAL_SURFACE_DOWNSTREAM,stable
CR220-IZ019N021-CEIL_NEIGHBOR,CR220-EZ019,19,21,40,19,21,19,59,59,61,19,19p+21n+19e,59u+61d+19e,2,7,3,18,9,OPEN_SHELL,CEIL_NEIGHBOR,0.5833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,1,7,BOUND_ISOTOPE_LADDER_CLOSURE,2083.125,1399.125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1408.822916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,176.1028645833333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,1232.720052083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,KNOWN_NATURAL_SURFACE_DOWNSTREAM,stable
CR220-IZ020N021-FLOOR_PRIMARY,CR220-EZ020,20,21,41,20,21,20,61,61,62,20,20p+21n+20e,61u+62d+20e,2,8,3,18,10,OPEN_SHELL,FLOOR_PRIMARY,0.3333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,1,8,BOUND_ISOTOPE_LADDER_CLOSURE,2192.625,1472.625000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1482.833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,185.3541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1297.479166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,KNOWN_NATURAL_SURFACE_DOWNSTREAM,stable
CR220-IZ020N022-CEIL_NEIGHBOR,CR220-EZ020,20,22,42,20,22,20,62,62,64,20,20p+22n+20e,62u+64d+20e,2,8,3,18,10,OPEN_SHELL,CEIL_NEIGHBOR,0.6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,1,8,BOUND_ISOTOPE_LADDER_CLOSURE,2192.750,1472.750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1482.958333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,185.3697916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1297.588541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,KNOWN_NATURAL_SURFACE_DOWNSTREAM,stable
CR220-IZ021N022-FLOOR_PRIMARY,CR220-EZ021,21,22,43,21,22,21,64,64,65,21,21p+22n+21e,64u+65d+21e,2,9,3,18,11,OPEN_SHELL,FLOOR_PRIMARY,0.25,1,9,BOUND_ISOTOPE_LADDER_CLOSURE,2302.250,1546.250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1556.968749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,194.6210937499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,1362.347656249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,KNOWN_NATURAL_SURFACE_DOWNSTREAM,stable
CR220-IZ021N023-CEIL_NEIGHBOR,CR220-EZ021,21,23,44,21,23,21,65,65,67,21,21p+23n+21e,65u+67d+21e,2,9,3,18,11,OPEN_SHELL,CEIL_NEIGHBOR,0.75,1,9,BOUND_ISOTOPE_LADDER_CLOSURE,2302.375,1546.375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1557.093749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,194.6367187499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,1362.457031249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,KNOWN_NATURAL_SURFACE_DOWNSTREAM,stable
CR220-IZ022N023-FLOOR_PRIMARY,CR220-EZ022,22,23,45,22,23,22,67,67,68,22,22p+23n+22e,67u+68d+22e,2,10,3,18,12,OPEN_SHELL,FLOOR_PRIMARY,0.1666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,1,10,BOUND_ISOTOPE_LADDER_CLOSURE,2411.875,1619.875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1631.104166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,203.8880208333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,1427.216145833333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,KNOWN_NATURAL_SURFACE_DOWNSTREAM,stable
CR220-IZ022N024-CEIL_NEIGHBOR,CR220-EZ022,22,24,46,22,24,22,68,68,70,22,22p+24n+22e,68u+70d+22e,2,10,3,18,12,OPEN_SHELL,CEIL_NEIGHBOR,0.8333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,1,10,BOUND_ISOTOPE_LADDER_CLOSURE,2412.000,1620.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1631.229166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,203.9036458333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,1427.325520833333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,KNOWN_NATURAL_SURFACE_DOWNSTREAM,stable
CR220-IZ023N024-FLOOR_PRIMARY,CR220-EZ023,23,24,47,23,24,23,70,70,71,23,23p+24n+23e,70u+71d+23e,2,11,3,18,13,OPEN_SHELL,FLOOR_PRIMARY,0.08333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,1,11,BOUND_ISOTOPE_LADDER_CLOSURE,2521.500,1693.500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1705.239583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,213.1549479166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1492.084635416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,KNOWN_NATURAL_SURFACE_DOWNSTREAM,stable
