pair_id,cell_id,triad_candidate_id,triad_signature,low_face_bits,high_face_bits,directed_gate_count,complementary,vertex_disjoint,edge_disjoint,physical_scale_status
CELL_QP093A-0134_PAIR_011_100,CELL_QP093A-0134,QP093A-0134,1+3+9,011,100,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0135_PAIR_000_111,CELL_QP093A-0135,QP093A-0135,1+3+12,000,111,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0135_PAIR_001_110,CELL_QP093A-0135,QP093A-0135,1+3+12,001,110,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0135_PAIR_010_101,CELL_QP093A-0135,QP093A-0135,1+3+12,010,101,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0135_PAIR_011_100,CELL_QP093A-0135,QP093A-0135,1+3+12,011,100,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0136_PAIR_000_111,CELL_QP093A-0136,QP093A-0136,1+4+4,000,111,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0136_PAIR_001_110,CELL_QP093A-0136,QP093A-0136,1+4+4,001,110,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0136_PAIR_010_101,CELL_QP093A-0136,QP093A-0136,1+4+4,010,101,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0136_PAIR_011_100,CELL_QP093A-0136,QP093A-0136,1+4+4,011,100,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0137_PAIR_000_111,CELL_QP093A-0137,QP093A-0137,1+4+6,000,111,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0137_PAIR_001_110,CELL_QP093A-0137,QP093A-0137,1+4+6,001,110,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0137_PAIR_010_101,CELL_QP093A-0137,QP093A-0137,1+4+6,010,101,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0137_PAIR_011_100,CELL_QP093A-0137,QP093A-0137,1+4+6,011,100,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0138_PAIR_000_111,CELL_QP093A-0138,QP093A-0138,1+4+8,000,111,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0138_PAIR_001_110,CELL_QP093A-0138,QP093A-0138,1+4+8,001,110,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0138_PAIR_010_101,CELL_QP093A-0138,QP093A-0138,1+4+8,010,101,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0138_PAIR_011_100,CELL_QP093A-0138,QP093A-0138,1+4+8,011,100,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0139_PAIR_000_111,CELL_QP093A-0139,QP093A-0139,1+4+9,000,111,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0139_PAIR_001_110,CELL_QP093A-0139,QP093A-0139,1+4+9,001,110,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0139_PAIR_010_101,CELL_QP093A-0139,QP093A-0139,1+4+9,010,101,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0139_PAIR_011_100,CELL_QP093A-0139,QP093A-0139,1+4+9,011,100,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0140_PAIR_000_111,CELL_QP093A-0140,QP093A-0140,1+4+12,000,111,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0140_PAIR_001_110,CELL_QP093A-0140,QP093A-0140,1+4+12,001,110,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0140_PAIR_010_101,CELL_QP093A-0140,QP093A-0140,1+4+12,010,101,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0140_PAIR_011_100,CELL_QP093A-0140,QP093A-0140,1+4+12,011,100,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0141_PAIR_000_111,CELL_QP093A-0141,QP093A-0141,1+6+6,000,111,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0141_PAIR_001_110,CELL_QP093A-0141,QP093A-0141,1+6+6,001,110,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0141_PAIR_010_101,CELL_QP093A-0141,QP093A-0141,1+6+6,010,101,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0141_PAIR_011_100,CELL_QP093A-0141,QP093A-0141,1+6+6,011,100,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0142_PAIR_000_111,CELL_QP093A-0142,QP093A-0142,1+6+8,000,111,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0142_PAIR_001_110,CELL_QP093A-0142,QP093A-0142,1+6+8,001,110,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0142_PAIR_010_101,CELL_QP093A-0142,QP093A-0142,1+6+8,010,101,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0142_PAIR_011_100,CELL_QP093A-0142,QP093A-0142,1+6+8,011,100,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0143_PAIR_000_111,CELL_QP093A-0143,QP093A-0143,1+6+9,000,111,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0143_PAIR_001_110,CELL_QP093A-0143,QP093A-0143,1+6+9,001,110,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0143_PAIR_010_101,CELL_QP093A-0143,QP093A-0143,1+6+9,010,101,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0143_PAIR_011_100,CELL_QP093A-0143,QP093A-0143,1+6+9,011,100,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0144_PAIR_000_111,CELL_QP093A-0144,QP093A-0144,1+6+12,000,111,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0144_PAIR_001_110,CELL_QP093A-0144,QP093A-0144,1+6+12,001,110,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0144_PAIR_010_101,CELL_QP093A-0144,QP093A-0144,1+6+12,010,101,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0144_PAIR_011_100,CELL_QP093A-0144,QP093A-0144,1+6+12,011,100,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0145_PAIR_000_111,CELL_QP093A-0145,QP093A-0145,1+8+8,000,111,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0145_PAIR_001_110,CELL_QP093A-0145,QP093A-0145,1+8+8,001,110,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0145_PAIR_010_101,CELL_QP093A-0145,QP093A-0145,1+8+8,010,101,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0145_PAIR_011_100,CELL_QP093A-0145,QP093A-0145,1+8+8,011,100,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0146_PAIR_000_111,CELL_QP093A-0146,QP093A-0146,1+8+9,000,111,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0146_PAIR_001_110,CELL_QP093A-0146,QP093A-0146,1+8+9,001,110,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0146_PAIR_010_101,CELL_QP093A-0146,QP093A-0146,1+8+9,010,101,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0146_PAIR_011_100,CELL_QP093A-0146,QP093A-0146,1+8+9,011,100,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0147_PAIR_000_111,CELL_QP093A-0147,QP093A-0147,1+8+12,000,111,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0147_PAIR_001_110,CELL_QP093A-0147,QP093A-0147,1+8+12,001,110,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0147_PAIR_010_101,CELL_QP093A-0147,QP093A-0147,1+8+12,010,101,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0147_PAIR_011_100,CELL_QP093A-0147,QP093A-0147,1+8+12,011,100,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0148_PAIR_000_111,CELL_QP093A-0148,QP093A-0148,1+9+9,000,111,2,true,true,true,OPEN_NO_UNIT_MAPPING
