candidate_id,bin,q_sign,q_abs,M_obs,qA_observed,qA_expected,qA_distance,qA_match,T_observed,T_expected,T_distance,T_match,W_observed,W_expected,W_distance,W_match,all_three_match
QP093A-0018,stable_matter_rows,neutral,0,1,1,1,0,True,0.125,0.125,0.000,True,0.875,0.875,0.000,True,True
QP093A-0016,stable_matter_rows,positive,8,10,10.55555556,10.555555555555555555555555555555555555555555555555555555555555555555555555555556,4.444444444444444444444444444444444444444444444444444444444444444444444E-9,True,1.319444444,1.3194444444444444444444444444444444444444444444444444444444444444444444444444445,4.444444444444444444444444444444444444444444444444444444444444444444445E-10,True,9.236111111,9.2361111111111111111111111111111111111111111111111111111111111111111111111111115,1.111111111111111111111111111111111111111111111111111111111111111111115E-10,True,True
QP093A-0017,stable_matter_rows,negative,8,12,12.66666667,12.666666666666666666666666666666666666666666666666666666666666666666666666666667,3.333333333333333333333333333333333333333333333333333333333333333333333E-9,True,1.583333333,1.5833333333333333333333333333333333333333333333333333333333333333333333333333334,3.333333333333333333333333333333333333333333333333333333333333333333334E-10,True,11.08333333,11.083333333333333333333333333333333333333333333333333333333333333333333333333334,3.333333333333333333333333333333333333333333333333333333333333333333334E-9,True,True
QP093A-0042,stable_matter_rows,neutral,0,12,12,12,0,True,1.5,1.5,0.0,True,10.5,10.5,0.0,True,True
QP093A-0040,stable_matter_rows,positive,8,120,126.6666667,126.66666666666666666666666666666666666666666666666666666666666666666666666666667,3.333333333333333333333333333333333333333333333333333333333333333333333E-8,True,15.83333333,15.833333333333333333333333333333333333333333333333333333333333333333333333333334,3.333333333333333333333333333333333333333333333333333333333333333333334E-9,True,110.8333333,110.83333333333333333333333333333333333333333333333333333333333333333333333333334,3.333333333333333333333333333333333333333333333333333333333333333333334E-8,True,True
QP093A-0041,stable_matter_rows,negative,8,144,152,152.00000000000000000000000000000000000000000000000000000000000000000000000000001,1E-77,True,19,19.000000000000000000000000000000000000000000000000000000000000000000000000000001,1E-78,True,133,133.00000000000000000000000000000000000000000000000000000000000000000000000000001,1E-77,True,True
QP093A-0268,bound_composite_rows,positive,4,155.947338,160.2792085,160.27920850000000000000000000000000000000000000000000000000000000000000000000000,0E-77,True,20.03490106,20.03490106250000000000000000000000000000000000000000000000000000000000000000000,2.50000000000000000000000000000000000000000000000000000000000000000000E-9,True,140.2443074,140.2443074375000000000000000000000000000000000000000000000000000000000000000000,3.75000000000000000000000000000000000000000000000000000000000000000000E-8,True,True
QP093A-0262,bound_composite_rows,neutral,0,172,172,172,0,True,21.5,21.5,0.0,True,150.5,150.5,0.0,True,True
QP093A-0136,bound_composite_rows,negative,2,1683,1706.375,1706.3750000000000000000000000000000000000000000000000000000000000000000000000000,0E-76,True,213.296875,213.2968750000000000000000000000000000000000000000000000000000000000000000000000,0E-76,True,1493.078125,1493.078125000000000000000000000000000000000000000000000000000000000000000000000,0E-75,True,True
QP093A-0126,bound_composite_rows,negative,1,1968,1981.666667,1981.6666666666666666666666666666666666666666666666666666666666666666666666666666,3.333333333333333333333333333333333333333333333333333333333333333333334E-7,True,247.7083333,247.70833333333333333333333333333333333333333333333333333333333333333333333333332,3.333333333333333333333333333333333333333333333333333333333333333333332E-8,True,1733.958333,1733.9583333333333333333333333333333333333333333333333333333333333333333333333332,3.333333333333333333333333333333333333333333333333333333333333333333332E-7,True,True
QP093A-0255,bound_composite_rows,negative,3,225.0651042,229.7539605,229.75396053749999999999999999999999999999999999999999999999999999999999999999999,3.749999999999999999999999999999999999999999999999999999999999999999999E-8,True,28.71924506,28.719245067187499999999999999999999999999999999999999999999999999999999999999999,7.187499999999999999999999999999999999999999999999999999999999999999999E-9,True,201.0347154,201.03471547031249999999999999999999999999999999999999999999999999999999999999999,7.031249999999999999999999999999999999999999999999999999999999999999999E-8,True,True
QP093A-0240,bound_composite_rows,negative,7,117.0564236,122.7466664,122.74666641388888888888888888888888888888888888888888888888888888888888888888889,1.388888888888888888888888888888888888888888888888888888888888888888889E-8,True,15.3433333,15.343333301736111111111111111111111111111111111111111111111111111111111111111111,1.736111111111111111111111111111111111111111111111111111111111111111111E-9,True,107.4033331,107.40333311215277777777777777777777777777777777777777777777777777777777777777778,1.215277777777777777777777777777777777777777777777777777777777777777778E-8,True,True
QP093A-0021,stable_matter_rows,neutral,0,1.125,1.125,1.125,0.000,True,0.140625,0.140625,0.000000,True,0.984375,0.984375,0.000000,True,True
QP093A-0019,stable_matter_rows,positive,9,11.25,11.953125,11.953125,0.000000,True,1.494140625,1.494140625,0E-9,True,10.45898438,10.458984375,5E-9,True,True
QP093A-0020,stable_matter_rows,negative,9,13.5,14.34375,14.34375,0.00000,True,1.79296875,1.79296875,0E-8,True,12.55078125,12.55078125,0E-8,True,True
QP093A-0045,stable_matter_rows,neutral,0,13.5,13.5,13.5,0.0,True,1.6875,1.6875,0.0000,True,11.8125,11.8125,0.0000,True,True
QP093A-0043,stable_matter_rows,positive,9,135,143.4375,143.4375,0.0000,True,17.9296875,17.9296875,0E-7,True,125.5078125,125.5078125,0E-7,True,True
QP093A-0044,stable_matter_rows,negative,9,162,172.125,172.1250,0.0000,True,21.515625,21.515625,0.000000,True,150.609375,150.609375,0.000000,True,True
QP093A-0275,bound_composite_rows,positive,7,116.9435764,122.6283336,122.62833358611111111111111111111111111111111111111111111111111111111111111111111,1.388888888888888888888888888888888888888888888888888888888888888888889E-8,True,15.3285417,15.328541698263888888888888888888888888888888888888888888888888888888888888888889,1.736111111111111111111111111111111111111111111111111111111111111111111E-9,True,107.2997919,107.29979188784722222222222222222222222222222222222222222222222222222222222222222,1.215277777777777777777777777777777777777777777777777777777777777777778E-8,True,True
