feature_type,feature_value,occurrence_count,escape_only_count,escape_only_fraction,reinforcer_count,reinforcement_fraction,canceller_count,neutral_count,median_delta_power_fraction,q10_delta_power_fraction,q90_delta_power_fraction,discovery_median_delta_power_fraction,validation_median_delta_power_fraction,final_median_delta_power_fraction,localized_median_delta_power_fraction,dispersed_median_delta_power_fraction,worst_door_median_delta_power_fraction,population_pass,door_stable,geometry_stable,candidate_status
route,3,4488,4207,0.9373885918003565,2522,0.5619429590017825,1966,0,0.0001999331080163089,-0.01150664185172653,0.019188293637751343,0.00026982881844140065,0.00027533400321868586,7.157472197303908e-05,0.00024144044266640418,0.00013837720863896124,7.157472197303908e-05,True,True,True,strong_candidate
route,2,4488,4183,0.9320409982174688,2355,0.5247326203208557,2133,0,0.0003461972420614024,-0.03146573118850111,0.045849191433423885,0.0005056140083469095,0.0003897856928097334,5.776565287932466e-05,0.0003434167346736067,0.0003514816700888055,5.776565287932466e-05,True,True,True,strong_candidate
route,4,4488,4164,0.9278074866310161,2308,0.5142602495543672,2180,0,0.00011876819578954189,-0.025445071031459536,0.029331769012998363,0.00018577669829153488,0.00013726195526296515,9.738017094834912e-06,0.000458657850260116,-0.0001220197640453722,9.738017094834912e-06,True,True,False,directional_candidate
route,9,4440,4093,0.9218468468468468,2342,0.5274774774774775,2098,0,6.253612719118488e-05,-0.01629440374729425,0.0198565250295573,0.00014001719917104466,-4.546729342988686e-06,1.7484987700162053e-05,6.24256768193186e-05,6.778315658386515e-05,-4.546729342988686e-06,True,False,True,not_stable
route,6,4440,4096,0.9225225225225225,2160,0.4864864864864865,2280,0,-2.9381345510354165e-05,-0.017187507540033644,0.017542227570279817,-6.170566484924584e-05,1.871382880718752e-05,-6.821525193282514e-05,-2.6440512058337983e-05,-3.097972267754289e-05,-6.821525193282514e-05,False,False,False,not_stable
route,0,4488,4192,0.9340463458110517,2265,0.5046791443850267,2223,0,7.799274512925593e-06,-0.01515582834410248,0.018966941177298167,-7.056604573750763e-05,0.00015563016573404912,4.242737462240627e-05,1.764986806186153e-05,-2.561099213611149e-06,-7.056604573750763e-05,True,False,False,not_stable
route,8,4440,4092,0.9216216216216216,2317,0.5218468468468469,2123,0,0.0003465784360038162,-0.03210693648207303,0.043505549166456214,0.00046986722617654365,0.00054103374232966,-0.00016711206216142767,0.00019448157567628205,0.0005154813289859549,-0.00016711206216142767,True,False,True,not_stable
route,5,4488,4196,0.9349376114081996,2199,0.4899732620320856,2289,0,-0.00018172134200554444,-0.04102706632278384,0.03568270162643801,-0.00045489815896016244,6.988813589444933e-05,0.00025944302760755225,0.0002670023930497182,-0.0007113373984066176,-0.00045489815896016244,False,False,False,not_stable
shell,outer_light_shell,10368,7297,0.7038001543209876,5749,0.5544945987654321,4619,0,0.0020689638156470517,-0.06355922934891728,0.08509141392251685,0.0023565148657493833,0.003001877786033133,0.0008958837957078923,0.00345120181603929,0.0008022282790348792,0.0008958837957078923,True,True,True,strong_candidate
shell,heavy_shell,14256,14164,0.9935465768799102,7332,0.5143097643097643,6924,0,6.911069505960536e-05,-0.01652824903530433,0.017074177497062547,9.10030858071973e-05,8.15963798540362e-05,2.419009114101569e-05,9.581229804611745e-05,1.8086061833453365e-05,2.419009114101569e-05,True,True,True,strong_candidate
shell,fusion_shell,10800,10201,0.9445370370370371,5582,0.5168518518518519,5218,0,0.00022005155287834692,-0.024596192355646366,0.028265581321391883,0.00039558698857113334,1.3319884270100291e-05,0.00016119351857547449,0.0002966181610334827,0.00016377900529932138,1.3319884270100291e-05,True,True,True,strong_candidate
shell,core,18144,17881,0.9855048500881834,9215,0.5078813932980599,8929,0,1.4362357120953448e-05,-0.017115722889997048,0.017731226682619557,-4.606214488306832e-06,0.00010470282607696795,1.856239176387268e-05,2.299410176922564e-05,6.9216814006531e-06,-4.606214488306832e-06,True,False,True,not_stable
side,1,26784,24771,0.9248431899641577,14081,0.5257243130227002,12703,0,0.00014412296813239248,-0.025021337853758978,0.02999858108216924,0.00015046383970381504,0.00014979520904175993,0.0001296955121736645,0.0002138565991281265,4.782160009637866e-05,0.0001296955121736645,True,True,True,strong_candidate
side,0,26784,24772,0.9248805256869773,13797,0.5151209677419355,12987,0,7.28830515150703e-05,-0.02382160436539252,0.030866805438706756,5.752117389089702e-05,0.00019782894912994818,1.2112873059137154e-05,0.00010466983334741496,3.202891272648403e-05,1.2112873059137154e-05,True,True,True,strong_candidate
