scenario_id,lane,anchor,seed,p_level,geometry,atom_count,ledger_count,door,carrier_count,escape_only_count,dual_count,return_only_count,neither_count,reinforcer_count,canceller_count,neutral_count,total_power_proxy,incoherent_power_expectation,coherence_gain,coarse_power_proxy,fine_coarse_relative_error,sum_individual_delta_power,reinforcement_tolerance
REF_0155,REFERENCE_MIDDLE_DRIVE,middle_drive,910004,1,localized_ledger_cells,3402,21,final,378,340,38,0,0,212,166,0,51.62343363847614,16.30519272844461,3.166073195100505,50.500235252901,0.021757529602564017,86.94167454850765,1.365699302605189e-13
REF_0156,REFERENCE_MIDDLE_DRIVE,middle_drive,910004,1,dispersed_slots,3402,21,final,378,333,0,1,44,198,180,0,11.479097999637261,36.024822816505996,0.3186441209747664,11.289450814554936,0.016521087727303853,-13.066626817231473,3.0367984126024503e-14
REF_0157,REFERENCE_MIDDLE_DRIVE,middle_drive,910004,2,localized_ledger_cells,5346,33,final,594,559,35,0,0,304,290,0,27.804575094885013,21.766764782876592,1.2773866659669253,27.20593138049682,0.021530403264400897,33.84238540689344,4.68090489812879e-14
REF_0158,REFERENCE_MIDDLE_DRIVE,middle_drive,910004,2,dispersed_slots,5346,33,final,594,553,1,1,39,307,287,0,15.880538518377604,39.26501505859976,0.4044449873424784,15.62198927805996,0.016280886194031757,-7.503938021844554,2.6734913330602025e-14
REF_0159,REFERENCE_MIDDLE_DRIVE,middle_drive,910004,3,localized_ledger_cells,9072,56,final,1008,968,40,0,0,490,518,0,51.96136798631729,34.45099417955497,1.5082690419759759,50.82704316756187,0.02183015695533881,69.47174179307963,5.154897617690208e-14
REF_0160,REFERENCE_MIDDLE_DRIVE,middle_drive,910004,3,dispersed_slots,9072,56,final,1008,956,12,0,40,522,486,0,37.09209074449853,53.87761431192803,0.6884508755297034,36.365570097176445,0.019586942465081723,20.306567177069006,3.6797709071923144e-14
REF_0257,REFERENCE_HIGH_DRIVE,high_drive,910001,0,localized_ledger_cells,2268,14,discovery,252,230,22,0,0,152,100,0,401.40053844338973,54.41829019962923,7.376206363170973,392.8401812285361,0.021326222550797403,748.3827866871502,1.5928592795372607e-12
REF_0258,REFERENCE_HIGH_DRIVE,high_drive,910001,0,dispersed_slots,2268,14,discovery,252,213,0,2,37,133,119,0,103.73926628502954,78.23229910992968,1.326041385275642,101.71076494899461,0.019553843097959767,129.24623346012936,4.116637550993236e-13
REF_0259,REFERENCE_HIGH_DRIVE,high_drive,910001,1,localized_ledger_cells,3402,21,discovery,378,339,39,0,0,216,162,0,622.520136212377,68.69088944886566,9.062630302316709,610.0898514925296,0.019967682966012,1176.3493829758881,1.6468786672285107e-12
REF_0260,REFERENCE_HIGH_DRIVE,high_drive,910001,1,dispersed_slots,3402,21,discovery,378,337,2,0,39,182,196,0,54.234109864445585,109.95592739183431,0.4932349819685409,53.31269301416062,0.01698961875815757,-1.4877076629431318,1.4347648112287192e-13
REF_0261,REFERENCE_HIGH_DRIVE,high_drive,910001,2,localized_ledger_cells,5346,33,discovery,594,568,26,0,0,295,299,0,192.4273515216285,86.80050331957021,2.2168921165488618,188.35927526164045,0.021140842129871627,298.0541997236868,3.239517702384318e-13
REF_0262,REFERENCE_HIGH_DRIVE,high_drive,910001,2,dispersed_slots,5346,33,discovery,594,557,2,0,35,300,294,0,19.370384381854716,124.1083792616403,0.15607636242689826,18.961383715695575,0.02111474187070206,-85.36761049793085,3.261007471692713e-14
REF_0263,REFERENCE_HIGH_DRIVE,high_drive,910001,3,localized_ledger_cells,9072,56,discovery,1008,945,63,0,0,518,490,0,164.78196954508186,118.76424401102595,1.387471211703951,161.59012959017502,0.01937008013509391,210.79969507913785,1.634741761359939e-13
REF_0264,REFERENCE_HIGH_DRIVE,high_drive,910001,3,dispersed_slots,9072,56,discovery,1008,952,16,1,39,520,488,0,50.39491996695135,155.9280027207638,0.3231935193654643,49.22493119390251,0.023216403038562348,-55.13816278686107,4.9994960284673957e-14
REF_0265,REFERENCE_HIGH_DRIVE,high_drive,910002,0,localized_ledger_cells,2268,14,discovery,252,235,17,0,0,122,130,0,68.67370809944845,92.51860219912083,0.7422691920014873,67.34600928299517,0.01933343710711817,44.828813999776074,2.7251471468035097e-13
REF_0266,REFERENCE_HIGH_DRIVE,high_drive,910002,0,dispersed_slots,2268,14,discovery,252,215,0,0,37,121,131,0,79.14918265451712,63.3793597449878,1.2488163808056838,77.7802074105619,0.01729613873501056,94.91900556404637,3.140840581528457e-13
REF_0267,REFERENCE_HIGH_DRIVE,high_drive,910002,1,localized_ledger_cells,3402,21,discovery,378,358,20,0,0,196,182,0,69.07454133097828,100.5315546860987,0.6870931375393299,67.82534908509822,0.018084698382496826,37.61752797585788,1.8273688182798483e-13
REF_0268,REFERENCE_HIGH_DRIVE,high_drive,910002,1,dispersed_slots,3402,21,discovery,378,338,2,2,36,182,196,0,27.87466115622729,69.31365846135697,0.40215250175789935,27.302949205989442,0.020510095065680314,-13.564336148902399,7.374248983128912e-14
REF_0269,REFERENCE_HIGH_DRIVE,high_drive,910002,2,localized_ledger_cells,5346,33,discovery,594,565,29,0,0,303,291,0,93.31390348233766,121.99880115042612,0.7648755774844083,91.58368231935899,0.01854194389484707,64.62900581424918,1.5709411360662906e-13
REF_0270,REFERENCE_HIGH_DRIVE,high_drive,910002,2,dispersed_slots,5346,33,discovery,594,554,4,2,34,302,292,0,78.53554965366456,82.84180916751181,0.9480182825903801,77.00795222768977,0.01945103119175165,74.2292901398173,1.3221473005667434e-13
REF_0271,REFERENCE_HIGH_DRIVE,high_drive,910002,3,localized_ledger_cells,9072,56,discovery,1008,961,47,0,0,553,455,0,366.7777476727927,145.98362549178265,2.5124581365698337,359.9270486204898,0.018678066201591105,587.5718698538028,3.638668131674531e-13
REF_0272,REFERENCE_HIGH_DRIVE,high_drive,910002,3,dispersed_slots,9072,56,discovery,1008,951,16,0,41,510,498,0,48.69487430342227,133.27653034542027,0.3653672118955755,47.77449949390761,0.01890085604862053,-35.88678173857578,4.83084070470459e-14
REF_0273,REFERENCE_HIGH_DRIVE,high_drive,910003,0,localized_ledger_cells,2268,14,validation,252,239,13,0,0,146,106,0,189.75943562788143,41.499563078128375,4.572564662202211,185.87473475677567,0.020471713874211078,338.01930817763446,7.53013633443974e-13
REF_0274,REFERENCE_HIGH_DRIVE,high_drive,910003,0,dispersed_slots,2268,14,validation,252,211,1,1,39,132,120,0,38.669233912151746,62.99367869189517,0.6138589572024307,37.873668117613185,0.020573611474846303,14.34478913240832,1.5344934092123708e-13
REF_0275,REFERENCE_HIGH_DRIVE,high_drive,910003,1,localized_ledger_cells,3402,21,validation,378,345,33,0,0,211,167,0,215.80563841569918,42.72004649559979,5.051624614639111,211.48637873021698,0.02001458218233459,388.8912303357986,5.709143873431196e-13
REF_0276,REFERENCE_HIGH_DRIVE,high_drive,910003,1,dispersed_slots,3402,21,validation,378,334,3,1,40,207,171,0,115.43621391953478,94.08385594602015,1.2269502855597816,113.07515127181802,0.020453396447691462,136.78857189304944,3.053868093109386e-13
REF_0277,REFERENCE_HIGH_DRIVE,high_drive,910003,2,localized_ledger_cells,5346,33,validation,594,568,26,0,0,313,281,0,144.47404925367647,59.904663387699316,2.4117329283473183,141.7695351405442,0.018719722518356977,229.04343511965368,2.4322230514086946e-13
REF_0278,REFERENCE_HIGH_DRIVE,high_drive,910003,2,dispersed_slots,5346,33,validation,594,548,6,1,39,305,289,0,21.104883412463845,116.12680807714838,0.18173997685739282,20.668951005037705,0.020655523127348474,-73.9170412522207,3.553010675498964e-14
REF_0279,REFERENCE_HIGH_DRIVE,high_drive,910003,3,localized_ledger_cells,9072,56,validation,1008,972,36,0,0,541,467,0,96.58696756871885,115.81054069182068,0.8340084330125269,94.70466460750364,0.019488167074672866,77.36339444561702,9.582040433404648e-14
REF_0280,REFERENCE_HIGH_DRIVE,high_drive,910003,3,dispersed_slots,9072,56,validation,1008,956,9,1,42,498,510,0,69.40336937846111,139.61207122215592,0.49711582079477845,68.22101763299102,0.017035941569675746,-0.8053324652337075,6.885254898656856e-14
REF_0281,REFERENCE_HIGH_DRIVE,high_drive,910004,0,localized_ledger_cells,2268,14,final,252,227,25,0,0,139,113,0,389.57242176573106,41.96479708605237,9.28331479756425,381.63873906741355,0.020365103521338128,737.18004644541,1.545922308594171e-12
REF_0282,REFERENCE_HIGH_DRIVE,high_drive,910004,0,dispersed_slots,2268,14,final,252,210,0,0,42,137,115,0,31.208442923749185,88.95991787946383,0.3508146552701975,30.605060438720123,0.019333950319254684,-26.54303203196545,1.238430274751952e-13
REF_0283,REFERENCE_HIGH_DRIVE,high_drive,910004,1,localized_ledger_cells,3402,21,final,378,349,29,0,0,212,166,0,154.22591079352065,53.04108354569859,2.9076689329064003,150.72057401058598,0.022728585390736713,255.41073804134274,4.0800505500931387e-13
REF_0284,REFERENCE_HIGH_DRIVE,high_drive,910004,1,dispersed_slots,3402,21,final,378,336,0,1,41,200,178,0,40.382331988427346,107.98113300593617,0.37397581285063347,39.69848041560199,0.016934425010951083,-27.2164690290815,1.0683156610695065e-13
REF_0285,REFERENCE_HIGH_DRIVE,high_drive,910004,2,localized_ledger_cells,5346,33,final,594,562,32,0,0,302,292,0,66.88379541899349,74.52105877690984,0.8975153670215601,65.32176494012799,0.02335439352806096,59.246532061077126,1.1259898218685771e-13
REF_0286,REFERENCE_HIGH_DRIVE,high_drive,910004,2,dispersed_slots,5346,33,final,594,553,1,1,39,307,287,0,61.6955430319671,121.95463528467036,0.5058892832400786,60.66838291751586,0.016648854422417824,1.4364507792638364,1.0386455055886717e-13
