split,source,isotope,Z,N,A,N_minus_Z,m_measured_u,B_u,R,S,M,Theta,V,pairing_sign,z_residue_mod_R,intercept,bw_volume_A,bw_surface_A_to_two_thirds,bw_coulomb_ZZminus1_over_A_third,bw_asymmetry_NmZ_squared_over_A,bw_pairing_over_sqrt_A,sam_volume_A_over_SM,sam_surface_A23_over_RV,sam_coulomb_ZZminus1_over_A13_SMV,sam_asymmetry_NmZ2_over_A_STheta,sam_pairing_over_MsqrtA,sam_z_residue_over_RM,sam_abs_NmZ_over_AR,untyped_A,untyped_Z,untyped_N_minus_Z,untyped_ZZminus1,untyped_NmZ_squared,confidence_lane
train_cr240_lane_a_non_anchor,09a_PARTICLE_MASS_CHAIN/CR240_NEUTRON_REST_MASS_CHANNEL/CR240_extended_kernel_predictions.csv,Mg-24,12,12,24,0,23.98504169703,0.014958302970001114,12,8,126,18,27,1,11,1.0,24.0,8.320335292207616,45.76184410714189,0.0,0.20412414523193154,0.023809523809523808,0.025680047198171657,0.001681431661785049,0.0,0.0016200328986661233,0.007275132275132275,0.0,24.0,12.0,0.0,132.0,0.0,LANE_A_HARD_MEASURED
train_cr240_lane_a_non_anchor,09a_PARTICLE_MASS_CHAIN/CR240_NEUTRON_REST_MASS_CHANNEL/CR240_extended_kernel_predictions.csv,Mg-25,12,13,25,1,24.9858369759,0.014163024100000143,12,8,126,18,27,0,11,1.0,25.0,8.549879733383484,45.1433649922648,0.04,0.0,0.0248015873015873,0.026388517695628038,0.0016587068265823339,0.0002777777777777778,0.0,0.007275132275132275,0.0033333333333333335,25.0,12.0,1.0,132.0,1.0,LANE_A_HARD_MEASURED
train_cr240_lane_a_non_anchor,09a_PARTICLE_MASS_CHAIN/CR240_NEUTRON_REST_MASS_CHANNEL/CR240_extended_kernel_predictions.csv,Mg-26,12,14,26,2,25.982592969,0.017407031000001183,12,8,126,18,27,1,11,1.0,26.0,8.776382955329126,44.557021157824806,0.15384615384615385,0.19611613513818404,0.025793650793650792,0.027087601713978785,0.0016371627409547621,0.0010683760683760685,0.0015564772630014608,0.007275132275132275,0.00641025641025641,26.0,12.0,2.0,132.0,4.0,LANE_A_HARD_MEASURED
train_cr240_lane_a_non_anchor,09a_PARTICLE_MASS_CHAIN/CR240_NEUTRON_REST_MASS_CHANNEL/CR240_extended_kernel_predictions.csv,Al-27,13,14,27,1,26.98153853,0.018461469999998315,12,8,126,18,27,0,0,1.0,27.0,8.999999999999998,52.0,0.037037037037037035,0.0,0.026785714285714284,0.027777777777777773,0.0019106407995296885,0.000257201646090535,0.0,0.0,0.0030864197530864196,27.0,13.0,1.0,156.0,1.0,LANE_A_HARD_MEASURED
train_cr240_lane_a_non_anchor,09a_PARTICLE_MASS_CHAIN/CR240_NEUTRON_REST_MASS_CHANNEL/CR240_extended_kernel_predictions.csv,Si-28,14,14,28,0,27.976926535,0.023073464999999516,12,8,126,18,27,1,1,1.0,28.0,9.220872584116892,59.93567179675981,0.0,0.1889822365046136,0.027777777777777776,0.028459483284311395,0.0022022219208098106,0.0,0.0014998590198778859,0.0006613756613756613,0.0,28.0,14.0,0.0,182.0,0.0,LANE_A_HARD_MEASURED
train_cr240_lane_a_non_anchor,09a_PARTICLE_MASS_CHAIN/CR240_NEUTRON_REST_MASS_CHANNEL/CR240_extended_kernel_predictions.csv,P-31,15,16,31,1,30.9737619985,0.026238001500001218,12,8,126,18,27,0,2,1.0,31.0,9.868272403218972,66.8495872476124,0.03225806451612903,0.0,0.030753968253968252,0.03045763087413263,0.0024562605543655353,0.00022401433691756272,0.0,0.0013227513227513227,0.002688172043010753,31.0,15.0,1.0,210.0,1.0,LANE_A_HARD_MEASURED
train_cr240_lane_a_non_anchor,09a_PARTICLE_MASS_CHAIN/CR240_NEUTRON_REST_MASS_CHANNEL/CR240_extended_kernel_predictions.csv,S-32,16,16,32,0,31.9720711744,0.027928825600000096,12,8,126,18,27,1,3,1.0,32.0,10.079368399158984,75.5952629936924,0.0,0.17677669529663687,0.031746031746031744,0.031109161725799334,0.002777603725517798,0.0,0.0014029896452114037,0.001984126984126984,0.0,32.0,16.0,0.0,240.0,0.0,LANE_A_HARD_MEASURED
train_cr240_lane_a_non_anchor,09a_PARTICLE_MASS_CHAIN/CR240_NEUTRON_REST_MASS_CHANNEL/CR240_extended_kernel_predictions.csv,Cl-35,17,18,35,1,34.96885268,0.03114732000000231,12,8,126,18,27,0,4,1.0,35.0,10.699874805650794,83.15331277534332,0.02857142857142857,0.0,0.034722222222222224,0.033024304955712326,0.0030553098462427737,0.0001984126984126984,0.0,0.0026455026455026454,0.002380952380952381,35.0,17.0,1.0,272.0,1.0,LANE_A_HARD_MEASURED
train_cr240_lane_a_non_anchor,09a_PARTICLE_MASS_CHAIN/CR240_NEUTRON_REST_MASS_CHANNEL/CR240_extended_kernel_predictions.csv,Ar-40,18,22,40,4,39.9623831224,0.03761687760000143,12,8,126,18,27,1,5,1.0,40.0,11.696070952851462,89.47494278931372,0.4,0.15811388300841897,0.03968253968253968,0.036098984422381054,0.00328758608132399,0.002777777777777778,0.0012548720873684044,0.0033068783068783067,0.008333333333333333,40.0,18.0,4.0,306.0,16.0,LANE_A_HARD_MEASURED
train_cr240_lane_a_non_anchor,09a_PARTICLE_MASS_CHAIN/CR240_NEUTRON_REST_MASS_CHANNEL/CR240_extended_kernel_predictions.csv,Ca-40,20,20,40,0,39.962590866,0.03740913400000068,12,8,126,18,27,1,7,1.0,40.0,11.696070952851462,111.11267405208892,0.0,0.15811388300841897,0.03968253968253968,0.036098984422381054,0.004082623238245478,0.0,0.0012548720873684044,0.004629629629629629,0.0,40.0,20.0,0.0,380.0,0.0,LANE_A_HARD_MEASURED
