galaxy,R_kpc,R_norm,Vobs_kms,Vbar_kms,Vdark_kms,X_substrate_over_matter,dark_fraction_v2
UGC05721,6.740,1.0000,79.50,27.87,74.45,7.1371,0.8771
NGC1003,1.250,0.0413,47.00,40.34,24.11,0.3572,0.2632
NGC1003,2.080,0.0688,59.50,46.10,37.61,0.6657,0.3997
NGC1003,2.900,0.0959,71.60,54.06,46.95,0.7541,0.4299
NGC1003,3.730,0.1233,77.60,56.89,52.77,0.8605,0.4625
NGC1003,4.560,0.1508,83.40,58.78,59.17,1.0134,0.5033
NGC1003,5.390,0.1782,89.70,59.35,67.26,1.2843,0.5622
NGC1003,6.220,0.2057,93.80,56.21,75.09,1.7845,0.6409
NGC1003,7.040,0.2328,99.00,54.53,82.63,2.2967,0.6967
NGC1003,7.870,0.2603,103.00,53.90,87.77,2.6516,0.7261
NGC1003,8.700,0.2877,100.00,52.77,84.95,2.5917,0.7216
NGC1003,9.540,0.3155,98.30,51.39,83.80,2.6593,0.7267
NGC1003,10.340,0.3419,98.40,49.75,84.90,2.9121,0.7444
NGC1003,11.210,0.3707,94.50,48.83,80.91,2.7459,0.7330
NGC1003,11.980,0.3962,94.90,48.37,81.65,2.8495,0.7402
NGC1003,12.850,0.4249,95.30,47.83,82.43,2.9696,0.7481
NGC1003,13.720,0.4537,96.90,47.26,84.60,3.2046,0.7622
NGC1003,14.490,0.4792,97.20,46.64,85.28,3.3431,0.7698
NGC1003,15.360,0.5079,100.00,45.94,88.82,3.7376,0.7889
NGC1003,16.130,0.5334,104.00,45.14,93.69,4.3086,0.8116
NGC1003,17.000,0.5622,104.00,45.03,93.74,4.3334,0.8125
NGC1003,17.780,0.5880,105.00,43.66,95.49,4.7826,0.8271
NGC1003,18.650,0.6167,109.00,42.65,100.31,5.5330,0.8469
NGC1003,19.520,0.6455,110.00,40.86,102.13,6.2465,0.8620
NGC1003,20.290,0.6710,107.00,40.11,99.20,6.1150,0.8595
NGC1003,21.160,0.6997,106.00,39.41,98.40,6.2326,0.8617
NGC1003,21.930,0.7252,106.00,38.27,98.85,6.6699,0.8696
NGC1003,22.800,0.7540,108.00,37.27,101.37,7.3968,0.8809
NGC1003,23.670,0.7827,109.00,35.93,102.91,8.2037,0.8913
NGC1003,24.440,0.8082,110.00,36.07,103.92,8.3028,0.8925
NGC1003,25.310,0.8370,110.00,35.47,104.12,8.6170,0.8960
NGC1003,26.080,0.8624,110.00,34.78,104.36,9.0003,0.9000
NGC1003,26.950,0.8912,113.00,35.67,107.22,9.0336,0.9003
NGC1003,27.730,0.9170,114.00,38.51,107.30,7.7646,0.8859
NGC1003,28.600,0.9458,112.00,39.09,104.96,7.2107,0.8782
NGC1003,29.470,0.9745,113.00,41.25,105.20,6.5059,0.8668
NGC1003,30.240,1.0000,115.00,43.51,106.45,5.9852,0.8568
NGC3726,3.500,0.1076,102.00,97.74,29.16,0.0890,0.0817
NGC3726,5.240,0.1611,125.00,115.96,46.68,0.1620,0.1394
NGC3726,6.980,0.2146,145.00,126.13,71.52,0.3215,0.2433
NGC3726,8.720,0.2681,164.00,131.38,98.16,0.5582,0.3582
NGC3726,10.470,0.3220,162.00,126.70,100.96,0.6349,0.3884
NGC3726,12.190,0.3748,160.00,123.44,101.80,0.6802,0.4048
NGC3726,13.940,0.4287,156.00,121.92,97.33,0.6373,0.3892
NGC3726,16.030,0.4929,146.00,117.37,86.83,0.5473,0.3537
NGC3726,22.300,0.6857,158.00,100.17,122.19,1.4878,0.5980
NGC3726,27.520,0.8462,168.00,88.41,142.86,2.6111,0.7231
NGC3726,30.080,0.9250,169.00,83.94,146.68,3.0537,0.7533
NGC3726,32.520,1.0000,167.00,80.47,146.34,3.3073,0.7678
NGC0801,1.170,0.0196,123.00,129.89,0.00,0.0000,0.0000
NGC0801,1.560,0.0261,142.00,149.00,0.00,0.0000,0.0000
NGC0801,1.960,0.0328,205.00,164.37,122.51,0.5555,0.3571
NGC0801,2.730,0.0456,228.00,187.22,130.12,0.4830,0.3257
NGC0801,3.520,0.0588,238.00,199.22,130.21,0.4271,0.2993
NGC0801,10.590,0.1770,229.00,191.74,125.21,0.4264,0.2989
NGC0801,17.650,0.2951,225.00,176.28,139.83,0.6292,0.3862
NGC0801,24.610,0.4114,220.00,167.10,143.10,0.7333,0.4231
NGC0801,31.670,0.5294,222.00,166.11,147.29,0.7862,0.4402
NGC0801,38.740,0.6476,219.00,155.88,153.83,0.9738,0.4934
NGC0801,45.800,0.7656,214.00,142.22,159.90,1.2641,0.5583
NGC0801,52.860,0.8837,216.00,133.70,169.65,1.6101,0.6169
NGC0801,59.820,1.0000,216.00,130.34,172.24,1.7462,0.6359
UGC02487,9.930,0.1235,377.00,250.66,281.60,1.2621,0.5579
UGC02487,10.050,0.1250,377.00,250.86,281.43,1.2586,0.5572
UGC02487,10.350,0.1288,378.00,251.56,282.14,1.2579,0.5571
UGC02487,15.070,0.1875,367.00,240.55,277.17,1.3276,0.5704
UGC02487,20.090,0.2499,364.00,229.52,282.52,1.5152,0.6024
UGC02487,25.120,0.3125,375.00,218.78,304.57,1.9381,0.6596
UGC02487,30.140,0.3750,383.00,209.54,320.60,2.3408,0.7007
UGC02487,35.170,0.4375,378.00,195.23,323.68,2.7489,0.7333
UGC02487,40.190,0.5000,364.00,182.48,314.96,2.9791,0.7487
UGC02487,45.210,0.5625,349.00,172.27,303.52,3.1044,0.7564
UGC02487,50.240,0.6250,338.00,163.26,295.96,3.2862,0.7667
UGC02487,55.260,0.6875,332.00,155.95,293.09,3.5324,0.7794
UGC02487,60.280,0.7499,330.00,150.37,293.75,3.8161,0.7924
UGC02487,65.310,0.8125,329.00,144.44,295.60,4.1881,0.8073
UGC02487,70.330,0.8750,330.00,139.23,299.19,4.6176,0.8220
UGC02487,75.350,0.9374,332.00,134.03,303.74,5.1354,0.8370
UGC02487,80.380,1.0000,333.00,129.07,306.97,5.6565,0.8498
