galaxy,n_points,R_outer_kpc,quality,bin_0.0-0.2,bin_0.2-0.4,bin_0.4-0.6,bin_0.6-0.8,bin_0.8-1.0
UGC07866,7,2.32,2,1.8283,2.7933,2.0808,1.945,2.0809
UGC08286,17,8.04,1,5.384,5.0998,4.576,5.0474,5.624
UGC08490,30,10.15,1,2.8429,3.9721,4.9035,6.2546,6.9461
UGC08550,11,5.36,1,3.4116,3.415,5.0867,6.5031,4.6025
UGC08699,41,25.7,2,0.2665,1.2443,1.7755,2.6832,3.7499
UGC08837,8,4.2,2,0.0874,0.9283,0.7846,1.3745,1.7574
UGC09037,22,27.96,2,0.0,0.2117,0.6176,1.2066,1.377
UGC09133,68,108.31,1,0.2871,1.5024,2.7947,3.3324,3.9484
UGC09992,5,3.89,2,,1.8768,,1.3005,1.0606
UGC10310,7,7.74,1,3.625,3.4236,3.5075,2.3966,2.2618
UGC11455,36,41.93,1,0.2289,0.4386,0.7326,1.0864,1.9115
UGC11557,12,10.56,2,0.0,0.0,0.3452,0.2269,0.5003
UGC11820,10,15.82,1,4.4674,4.4853,3.3151,2.9384,3.8534
UGC11914,65,9.83,1,0.4289,0.4308,0.5375,0.6215,1.3191
UGC12506,31,49.99,2,3.9715,2.4476,2.8638,3.2406,3.2568
UGC12632,15,10.66,1,4.5979,5.3642,5.3786,3.7698,3.0883
UGC12732,16,15.4,1,5.0168,5.5013,5.2798,5.0299,3.613
UGCA281,7,1.08,3,3.8172,1.6573,2.1279,2.1488,2.5218
UGCA442,8,6.33,1,3.6429,2.5123,3.5355,4.9715,7.6832
UGCA444,36,2.62,2,11.4183,2.9283,2.0838,3.108,4.3164
