row_index,candidate_id,bin,operator_class,route_combination,spin_or_hand_class,numeric_signature_key
44,QP093A-0107,antimatter_conjugate_rows,V4_1_SINGLE_WRITE,"anti(plus_single_write[p=2,g=2])",fermion_half_write,antimatter_conjugate_rows|2|2|negative|2|conjugate_axis|360.00|negative_credit|depth=2|-0.4166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666668|360.4166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667|365.4224537037037037037037037037037037037037037037037037037037037037037037037037037037037037037037038|45.67780671296296296296296296296296296296296296296296296296296296296296296296296296296296296296296298|319.7446469907407407407407407407407407407407407407407407407407407407407407407407407407407407407407409
45,QP093A-0108,antimatter_conjugate_rows,V4_1_SINGLE_WRITE,"anti(minus_single_write[p=2,g=2])",fermion_half_write,antimatter_conjugate_rows|2|2|positive|2|conjugate_axis|432.0|positive_debit|depth=2|0.5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001|431.5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|437.4930555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555556|54.68663194444444444444444444444444444444444444444444444444444444444444444444444444444444444444444445|382.8064236111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
46,QP093A-0109,antimatter_conjugate_rows,V4_1_SINGLE_WRITE,"anti(plus_single_write[p=3,g=2])",fermion_half_write,antimatter_conjugate_rows|3|2|negative|3|conjugate_axis|540.00|negative_credit|depth=2|-0.9375|540.9375|552.2070312499999999999999999999999999999999999999999999999999999999999999999999999999999999999999998|69.02587890624999999999999999999999999999999999999999999999999999999999999999999999999999999999999998|483.1811523437499999999999999999999999999999999999999999999999999999999999999999999999999999999999999
47,QP093A-0110,antimatter_conjugate_rows,V4_1_SINGLE_WRITE,"anti(minus_single_write[p=3,g=2])",fermion_half_write,antimatter_conjugate_rows|3|2|positive|3|conjugate_axis|648.0|positive_debit|depth=2|1.125|646.875|660.3515624999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998|82.54394531249999999999999999999999999999999999999999999999999999999999999999999999999999999999999998|577.8076171874999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
48,QP093A-0111,antimatter_conjugate_rows,V4_1_SINGLE_WRITE,"anti(plus_single_write[p=4,g=2])",fermion_half_write,antimatter_conjugate_rows|4|2|negative|4|conjugate_axis|720.00|negative_credit|depth=2|-1.666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666|721.6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667|741.7129629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629632|92.7141203703703703703703703703703703703703703703703703703703703703703703703703703703703703703703704|648.9988425925925925925925925925925925925925925925925925925925925925925925925925925925925925925925928
49,QP093A-0112,antimatter_conjugate_rows,V4_1_SINGLE_WRITE,"anti(minus_single_write[p=4,g=2])",fermion_half_write,antimatter_conjugate_rows|4|2|positive|4|conjugate_axis|864.0|positive_debit|depth=2|2.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|862.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|885.9444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444446|110.7430555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555556|775.201388888888888888888888888888888888888888888888888888888888888888888888888888888888888888888889
50,QP093A-0113,antimatter_conjugate_rows,V4_1_SINGLE_WRITE,"anti(plus_single_write[p=6,g=2])",fermion_half_write,antimatter_conjugate_rows|6|2|negative|6|conjugate_axis|1080.00|negative_credit|depth=2|-3.750|1083.750|1128.906250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|141.113281250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|987.792968750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
51,QP093A-0114,antimatter_conjugate_rows,V4_1_SINGLE_WRITE,"anti(minus_single_write[p=6,g=2])",fermion_half_write,antimatter_conjugate_rows|6|2|positive|6|conjugate_axis|1296.0|positive_debit|depth=2|4.50|1291.50|1345.312500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|168.164062500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|1177.148437500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
52,QP093A-0116,bound_composite_rows,OCTET_COMPOSITE,color_triad[1+1+2],fermion_baryon_half_write,bound_composite_rows|1+1+2|3|positive|2|triadic_charge_axis|216|positive_debit|depth=3|0.02864583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333334|215.9713541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667|218.9709563078703703703703703703703703703703703703703703703703703703703703703703703703703703703703704|27.3713695384837962962962962962962962962962962962962962962962962962962962962962962962962962962962963|191.5995867693865740740740740740740740740740740740740740740740740740740740740740740740740740740740741
53,QP093A-0117,bound_composite_rows,OCTET_COMPOSITE,color_triad[1+1+3],fermion_baryon_half_write,bound_composite_rows|1+1+3|3|neutral|0|triadic_charge_axis|396|positive_debit|depth=3|0.2434895833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333334|395.7565104166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667|395.7565104166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667|49.46956380208333333333333333333333333333333333333333333333333333333333333333333333333333333333333334|346.2869466145833333333333333333333333333333333333333333333333333333333333333333333333333333333333334
54,QP093A-0119,bound_composite_rows,OCTET_COMPOSITE,color_triad[1+1+6],fermion_baryon_half_write,bound_composite_rows|1+1+6|3|neutral|0|triadic_charge_axis|1368|positive_debit|depth=3|0.8411458333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333334|1367.158854166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667|1367.158854166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667|170.8948567708333333333333333333333333333333333333333333333333333333333333333333333333333333333333334|1196.263997395833333333333333333333333333333333333333333333333333333333333333333333333333333333333334
55,QP093A-0120,bound_composite_rows,OCTET_COMPOSITE,color_triad[1+1+8],fermion_baryon_half_write,bound_composite_rows|1+1+8|3|positive|2|triadic_charge_axis|2376|positive_debit|depth=3|0.3151041666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667|2375.684895833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333|2408.680519386574074074074074074074074074074074074074074074074074074074074074074074074074074074074074|301.0850649233217592592592592592592592592592592592592592592592592592592592592592592592592592592592592|2107.595454463252314814814814814814814814814814814814814814814814814814814814814814814814814814814815
