signature,closure_depth,q_abs,observed_fraction,tensor_fraction,source_disposition,source_subbucket,typed_guard_allowed
1+2+4,3,0,193417/256,193417/2048,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
1+2+6,0,1,1968,619270833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333/2500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
1+2+8,3,1,2483790364583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,781574658994321469907407407407407407407407407407407407407407407407407407407407407407407407407407407/2500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
1+2+9,0,1,4128,5195833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331/10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
1+2+12,0,1,7152,9002083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333329/10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
1+3+3,3,2,1710226779513888888888888888888888888888888888888888888888888888888888888888888888888888888888888889/2500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8669899646146797839506172839506172839506172839506172839506172839506172839506172839506172839506172841/100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
1+3+4,3,1,2340197482638888888888888888888888888888888888888888888888888888888888888888888888888888888888888889/2500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1178224427023051697530864197530864197530864197530864197530864197530864197530864197530864197530864197/10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
1+3+6,3,2,414054904513888888888888888888888888888888888888888888888888888888888888888888888888888888888888889/250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2099028335382908950617283950617283950617283950617283950617283950617283950617283950617283950617283951/10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
1+3+8,0,0,-666,0,REJECTED,TRIAD_SURFACE_REJECTED,false
1+3+9,3,2,819108615451388888888888888888888888888888888888888888888888888888888888888888888888888888888888889/250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,415242561999662422839506172839506172839506172839506172839506172839506172839506172839506172839506173/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
