cell_id,Z,symbol,name,PARTICLE,MATTER,ELEMENT,GRAVITY,CLOCK,LIGHT,ACTION
SIS-051,51,Sb,Antimony,170,121.76,51,3783.031250,stable,252,5/2
SIS-052,52,Te,Tellurium,173,127.6,52,3857.166667,stable,238,0
SIS-053,53,I,Iodine,176,126.9,53,3931.302083,stable,206,5/2
SIS-054,54,Xe,Xenon,180,131.29,54,4005.562500,stable,467,0
SIS-055,55,Cs,Caesium,183,132.91,55,4079.697917,stable,852,7/2
SIS-056,56,Ba,Barium,186,137.33,56,4153.833333,stable,553,3/2
SIS-057,57,La,Lanthanum,190,138.91,57,4228.093750,stable,550,7/2
SIS-058,58,Ce,Cerium,193,140.12,58,4302.229167,stable,569,0
SIS-059,59,Pr,Praseodymium,196,140.91,59,4376.364583,stable,422,5/2
SIS-060,60,Nd,Neodymium,200,144.24,60,4450.625000,stable,463,0
SIS-061,61,Pm,Promethium,208,145.0,61,4525.385417,radioactive,467,5/2
SIS-062,62,Sm,Samarium,211,150.36,62,4599.520833,stable,488,0
SIS-063,63,Eu,Europium,215,151.96,63,4673.781250,stable,459,5/2
SIS-064,64,Gd,Gadolinium,218,157.25,64,4747.916667,stable,363,0
SIS-065,65,Tb,Terbium,222,158.93,65,4822.177083,stable,432,3/2
SIS-066,66,Dy,Dysprosium,225,162.5,66,4896.312500,stable,421,0
SIS-067,67,Ho,Holmium,228,164.93,67,4970.447917,stable,410,7/2
SIS-068,68,Er,Erbium,232,167.26,68,5044.708333,stable,386,0
SIS-069,69,Tm,Thulium,235,168.93,69,5118.843750,stable,372,1/2
SIS-070,70,Yb,Ytterbium,239,173.05,70,5193.104167,stable,399,0
SIS-071,71,Lu,Lutetium,242,174.97,71,5267.239583,stable,452,7/2
SIS-072,72,Hf,Hafnium,246,178.49,72,5341.500000,stable,286,0
SIS-073,73,Ta,Tantalum,255,180.95,73,5416.385417,stable,271,7/2
SIS-074,74,W,Tungsten,259,183.84,74,5490.645833,stable,401,0
SIS-075,75,Re,Rhenium,262,186.21,75,5564.781250,stable,346,5/2
SIS-076,76,Os,Osmium,266,190.23,76,5639.041667,stable,290,0
SIS-077,77,Ir,Iridium,269,192.22,77,5713.177083,stable,380,3/2
SIS-078,78,Pt,Platinum,273,195.08,78,5787.437500,stable,266,1/2
SIS-079,79,Au,Gold,276,196.97,79,5861.572917,stable,268,3/2
SIS-080,80,Hg,Mercury,280,200.59,80,5935.833333,stable,254,1/2
SIS-081,81,Tl,Thallium,283,204.38,81,6009.968750,stable,535,1/2
SIS-082,82,Pb,Lead,287,207.2,82,6084.229167,stable,405,0
SIS-083,83,Bi,Bismuth,290,208.98,83,6158.364583,stable,306,9/2
SIS-084,84,Po,Polonium,294,209.0,84,6232.625000,radioactive,255,0
SIS-085,85,At,Astatine,304,210.0,85,6307.635417,radioactive,-,9/2
SIS-086,86,Rn,Radon,308,222.0,86,6381.895833,radioactive,705,0
SIS-087,87,Fr,Francium,311,223.0,87,6456.031250,radioactive,-,1/2
SIS-088,88,Ra,Radium,315,226.0,88,6530.291667,radioactive,482,0
SIS-089,89,Ac,Actinium,318,227.0,89,6604.427083,radioactive,-,3/2
SIS-090,90,Th,Thorium,322,232.04,90,6678.687500,radioactive,401,0
SIS-091,91,Pa,Protactinium,326,231.04,91,6752.947917,radioactive,-,3/2
SIS-092,92,U,Uranium,329,238.03,92,6827.083333,radioactive,386,0
SIS-093,93,Np,Neptunium,333,237.0,93,6901.343750,radioactive,392,5/2
SIS-094,94,Pu,Plutonium,336,244.0,94,6975.479167,radioactive,414,0
SIS-095,95,Am,Americium,340,243.0,95,7049.739583,radioactive,408,5/2
SIS-096,96,Cm,Curium,344,247.0,96,7124.000000,radioactive,-,0
SIS-097,97,Bk,Berkelium,355,247.0,97,7199.135417,radioactive,-,3/2
SIS-098,98,Cf,Californium,359,251.0,98,7273.395833,radioactive,-,0
SIS-099,99,Es,Einsteinium,363,252.0,99,7347.656250,radioactive,-,7/2
SIS-100,100,Fm,Fermium,366,257.0,100,7421.791667,radioactive,-,0
SIS-101,101,Md,Mendelevium,370,258.0,101,7496.052083,radioactive,-,9/2
SIS-102,102,No,Nobelium,374,259.0,102,7570.312500,radioactive,-,0
SIS-103,103,Lr,Lawrencium,377,266.0,103,7644.447917,radioactive,-,-
SIS-104,104,Rf,Rutherfordium,381,267.0,104,7718.708333,radioactive,-,-
SIS-105,105,Db,Dubnium,385,268.0,105,7792.968750,radioactive,-,-
SIS-106,106,Sg,Seaborgium,388,269.0,106,7867.104167,radioactive,-,-
SIS-107,107,Bh,Bohrium,392,270.0,107,7941.364583,radioactive,-,-
SIS-108,108,Hs,Hassium,396,277.0,108,8015.625000,radioactive,-,-
SIS-109,109,Mt,Meitnerium,408,278.0,109,8090.885417,radioactive,-,-
SIS-110,110,Ds,Darmstadtium,412,281.0,110,8165.145833,radioactive,-,-
SIS-111,111,Rg,Roentgenium,416,282.0,111,8239.406250,radioactive,-,-
SIS-112,112,Cn,Copernicium,420,285.0,112,8313.666667,radioactive,-,-
SIS-113,113,Nh,Nihonium,423,286.0,113,8387.802083,radioactive,-,-
SIS-114,114,Fl,Flerovium,427,289.0,114,8462.062500,radioactive,-,-
SIS-115,115,Mc,Moscovium,431,290.0,115,8536.322917,radioactive,-,-
SIS-116,116,Lv,Livermorium,435,293.0,116,8610.583333,radioactive,-,-
SIS-117,117,Ts,Tennessine,438,294.0,117,8684.718750,radioactive,-,-
SIS-118,118,Og,Oganesson,442,294.0,118,8758.979167,radioactive,-,-
SIS-119,119,Z119,SAM frontier,446,-,119,8833.239583,-,-,-
SIS-120,120,Z120,SAM frontier,450,-,120,8907.500000,-,-,-
SIS-121,121,Z121,SAM frontier,463,-,121,8982.885417,-,-,-
SIS-122,122,Z122,SAM frontier,467,-,122,9057.145833,-,-,-
SIS-123,123,Z123,SAM frontier,471,-,123,9131.406250,-,-,-
SIS-124,124,Z124,SAM frontier,475,-,124,9205.666667,-,-,-
SIS-125,125,Z125,SAM frontier,479,-,125,9279.927083,-,-,-
SIS-126,126,Z126,SAM frontier,483,-,126,9354.187500,-,-,-
