galaxy,n_points,R_outer_kpc,rho_half,rho_90,c_SAM,f_halo_inner,f_halo_outer,slope_outer_log_X_log_r,M_halo_outer_measured,M_halo_outer_sealed_X_inf,Vbar_outer_kms,Vobs_outer_kms,config
NGC3726,12,32.52,0.30771148049573094,0.7969652238715864,3.2497974998819505,0.08172179450211466,0.7678335347269533,2.183803601091737,161916161769.02103,155686062108.13065,80.46670460507252,167.0,rising_edge_halo
NGC3741,21,7.0,1.0,0.08353539155947587,1.0,0.5729706893537673,0.9299450904392765,0.49247908065792156,4029901160.4520907,965389976.5398486,13.657430212159241,51.6,late_saturating_halo
NGC3769,12,37.16,0.1444787274320567,0.37388445614629306,6.921434163865162,0.0,0.8363657177539353,0.08747849094723183,92271686937.41557,57408163437.53298,45.7104599626825,113.0,early_saturating_halo
NGC3877,13,11.35,0.21260234091687838,,4.703617070665145,0.0,0.3375788785406673,-0.14234620489431776,25443929417.844128,158770644467.67084,137.54784494858507,169.0,early_saturating_halo
NGC3893,10,19.05,0.2713202425707248,,3.685681505092017,0.012871110582639669,0.6738002402380867,0.7964319204044639,83233609595.41121,128138113090.69476,95.38021335685929,167.0,early_saturating_halo
NGC3917,17,14.86,0.09973618552582457,0.19585091791463893,10.026451229589798,0.0,0.7380725504821781,0.6559299968513461,47862859669.69781,54014172008.537735,70.11502192825728,137.0,early_saturating_halo
NGC3949,7,7.07,0.804402009162924,,1.243159500609178,0.14814564082226195,0.5022362207205631,2.4691682572561287,23579820714.453457,74316094702.13979,119.23351584181354,169.0,late_saturating_halo
NGC3953,8,15.68,0.25645073033350885,,3.89938448878473,0.3641071029577852,0.4519368566792861,0.41293510990782345,76162358481.34467,293711087070.67114,159.16726673534353,215.0,early_saturating_halo
NGC3972,10,8.72,0.1312840195165234,0.8988289482223951,7.617073301706306,0.2595538401693706,0.7118506933615505,0.4884235966982113,25915204446.500862,33358800481.739918,71.93058424620224,134.0,early_saturating_halo
NGC3992,9,46.02,1.0,0.7467229011571586,1.0,0.6132611529331425,0.760699023482704,1.1095976083853814,457189039707.6434,457356170158.07825,115.93660573779103,237.0,late_saturating_halo
NGC4010,12,10.47,0.14576784215193794,,6.860223662758702,0.6527777777777777,0.6501251612469767,0.7029482694468278,23556076868.151165,40313065079.17162,72.16326697150012,122.0,early_saturating_halo
NGC4013,36,31.01,0.3489586883455296,0.7182980580640309,2.865668726407599,0.3461339424548515,0.7677864134948097,1.954192963501412,159985151543.1618,153870016523.77524,81.92052642653123,170.0,rising_edge_halo
NGC4051,7,12.19,0.39331976285750203,,2.5424605993223266,0.0246226350659108,0.3244517685505576,-0.17533695111579956,21526645471.656006,142531118719.9709,125.75336397090933,153.0,baryon_dominated_inner_closure
NGC4068,6,2.33,0.4294364791547738,,2.3286331006816696,0.0,0.629743707315406,0.8256317659477275,598945696.4921377,1119832791.458087,25.49560060088799,41.9,rising_edge_halo
NGC4085,7,6.2,0.9215359312459498,,1.08514488268294,0.0,0.4427036764705882,1.1993868355235957,11803811900.27227,47252245270.14052,101.52710377037258,136.0,late_saturating_halo
NGC4088,12,21.48,0.8394290577822343,,1.1912858993015956,0.0,0.5329295415510635,3.7248794446644373,80582774041.77255,224585616467.5104,118.91604265194836,174.0,late_saturating_halo
NGC4100,24,22.76,1.0,0.754816209514977,1.0,0.44490970138888886,0.7209100213599146,0.5974091491629526,96446664880.22302,118734660308.86488,83.998058013266,159.0,late_saturating_halo
NGC4138,7,18.58,0.25605335214615116,0.8988894644935186,3.905436080482227,0.08329702662214042,0.7251269742222222,1.119501885222613,70482602884.87785,84962467383.86806,78.6425017404711,150.0,early_saturating_halo
NGC4157,17,29.61,0.473235214695753,0.9286518017817094,2.1131140898779237,0.0,0.7125509852447042,1.8421854200486028,167894880777.95163,215382024045.21234,99.1864029491946,185.0,rising_edge_halo
NGC4183,23,21.02,1.0,0.06192171864725296,1.0,0.6515509756988114,0.804751276529094,1.205385458148829,50221643194.34725,38747578528.59511,49.931262251218925,113.0,late_saturating_halo
NGC4214,14,5.63,1.0,0.08620524370143336,1.0,0.8211466277087899,0.8998373165895979,1.038148363923537,7652126190.620124,2708639420.6551642,25.508681855399743,80.6,late_saturating_halo
NGC4217,19,16.72,0.7364205943672596,,1.3579196557630366,0.0,0.4985685068173211,2.128786501969044,61410235789.72822,196405954384.28796,126.04505317544199,178.0,late_saturating_halo
NGC4389,6,5.32,,,,0.0,0.1473760991735537,,2205787671.9112935,40580862251.45842,101.57139951777764,110.0,disturbed_or_non_closed
NGC4559,32,20.97,0.2838061037624016,,3.523532393218666,0.0933252017264026,0.6611494633147376,0.34267205547381724,45649039952.82394,74399033947.06471,69.27093510268215,119.0,early_saturating_halo
NGC5005,18,11.47,0.9408910524991636,,1.062822308006685,0.0,0.4219029893912424,1.453927792243962,79014612331.36708,344288609502.5756,201.48663124386195,265.0,late_saturating_halo
NGC5033,22,44.59,0.1642006490210132,0.5038238634536585,6.090109911027375,0.0,0.795889063671387,0.7569022306704778,316987252395.26056,258513159363.0712,88.55013116873403,196.0,early_saturating_halo
NGC5055,28,54.59,0.2836588488351283,0.7085319581789505,3.525361553523163,0.0,0.7391272714981071,0.981753836975607,277542093675.0596,311505295525.03076,87.85020660191984,172.0,early_saturating_halo
NGC5371,19,46.24,0.03328931081816277,,30.039672658359642,0.3780777391975308,0.5892305990874827,2.1080293729941566,287410062761.6017,637150285720.5197,136.5144569267299,213.0,early_saturating_halo
NGC5585,24,10.96,0.011384982209932221,0.45535125439325197,87.83500769352132,0.35426020408163245,0.791894058826179,0.5331799767518663,16128438470.928251,13478353297.623062,40.78305530486896,89.4,early_saturating_halo
NGC5907,19,50.33,1.0,0.783227708929608,1.0,0.6507629214341865,0.7403990719713512,1.0693017195471852,396789332780.0396,442412595705.22046,109.03524246774525,214.0,late_saturating_halo
NGC5985,33,34.72,1.0,0.4567381215494105,1.0,0.6883234058597599,0.7610731330255464,0.6179788249916816,499040132619.7479,498197094154.9096,139.30841600563838,285.0,late_saturating_halo
NGC6015,44,29.23,0.01586191958353185,0.48964447773903746,63.04407198219686,0.30522709779805607,0.8309628289473685,0.96598694810573,130477982751.55725,84404377740.69208,62.49347805971435,152.0,early_saturating_halo
NGC6195,23,36.43,0.7384016082107774,,1.354276573724023,0.0,0.5005315238945073,1.922904376031097,256566804804.33212,814149637282.7659,173.85578592615204,246.0,late_saturating_halo
NGC6503,31,23.5,0.050907191205748895,0.3312656700648296,19.643590155236673,0.575479709900489,0.860987247637051,0.9536923162072057,62215687895.11987,31943680282.661118,42.8770760430326,115.0,early_saturating_halo
NGC6674,15,72.41,0.04509385325165392,0.405578566942197,22.175971399457257,0.3366757364030541,0.8497706821596885,1.2543572233184703,837858477474.3717,471032355327.9018,93.7978132474313,242.0,early_saturating_halo
NGC6789,4,0.71,1.0,1.0,1.0,0.8091599813674241,0.898788608504013,1.40218420521932,541289285.6395507,193833298.82048222,19.215497651635257,60.4,late_saturating_halo
NGC6946,58,20.4,0.479186545953497,,2.086869943333187,0.0,0.6250359664361612,1.1944470022057332,70309864840.6965,134130636884.15709,94.30083255199818,154.0,rising_edge_halo
NGC7331,36,36.31,0.5279789722183834,,1.8940148237312349,0.0,0.6757843448555892,1.9406832461146222,323167690859.21356,493038586654.29095,135.51705269079608,238.0,rising_edge_halo
NGC7793,46,7.87,0.041485355786539155,,24.104891498230135,0.0,0.6120771677113859,-0.037692270479512596,9234050685.320084,18610521228.54466,56.55337390465753,90.8,early_saturating_halo
NGC7814,18,19.53,0.30626527159012795,0.7757297312771394,3.265143301452379,0.0,0.7533894025679099,1.3415115685820755,156671117901.1884,163082849289.608,106.27219259994591,214.0,rising_edge_halo
PGC51017,6,3.63,0.2198477295457009,0.12651529759211794,4.548602808254723,0.8007814396192742,0.08398280032249411,0.313411981936379,23737708.99646824,823339967.8207636,17.51470810490429,18.3,early_saturating_halo
UGC00128,22,53.75,1.0,0.0389291959690195,1.0,0.6258166854430217,0.8898762624000001,1.0474654667501428,173767183514.65158,68382693463.70885,41.48112100703162,125.0,late_saturating_halo
UGC00191,9,9.98,1.0,0.07694749967219738,1.0,0.7305442892137671,0.7657286611914893,0.6711790153867463,12492553658.179316,12154094253.374287,40.58472865500027,83.85,late_saturating_halo
UGC00634,4,18.01,1.0,1.0,1.0,0.7275007977800902,0.8515615273120606,0.5364058525982355,41208453740.9525,22842513159.48951,41.41729228233058,107.5,late_saturating_halo
UGC00731,12,10.91,1.0,1.0,1.0,0.9643715759678597,0.7509037466056057,-1.256173465573869,10402495675.450083,10973561150.991304,36.88315265809039,73.9,late_saturating_halo
UGC00891,5,7.39,1.0,0.3602441661116293,1.0,0.5508235899295438,0.8576643813917724,1.2803392308923784,5989103746.300201,3160713818.0454836,24.051213067119917,63.75,late_saturating_halo
UGC01230,11,36.54,1.0,0.06097893484274974,1.0,0.41181205999387827,0.8062331888019606,1.0996526244835596,72668017109.40244,55537861089.42527,45.33952028859591,103.0,late_saturating_halo
UGC01281,23,4.99,1.0,1.0,1.0,0.7789915231284518,0.8193797121951069,0.14413480140163903,3077867574.6528063,2157537603.2072287,24.182184558058438,56.9,late_saturating_halo
UGC02023,5,3.78,0.5342414996133433,0.9724957163976844,1.8718126553698071,0.32311017060655234,0.6970528338886576,2.2177147162401645,2118126015.8896604,2927386809.224094,32.36389423416162,58.8,rising_edge_halo
UGC02259,8,8.14,1.0,1.0,1.0,0.8988022089406172,0.8489322407407407,0.26465316411224055,13014338444.887247,7364579870.776187,34.980692531738136,90.0,late_saturating_halo
UGC02455,8,4.03,,,,0.0,0.18988474872346142,,662055573.0066428,8982108353.415907,54.903905598782316,61.0,disturbed_or_non_closed
UGC02487,17,80.38,1.0,0.3506403770448384,1.0,0.5579241444040274,0.8497719004590176,0.9365179565618695,1761077548003.2366,990043797706.8416,129.06836843316802,333.0,late_saturating_halo
UGC02885,19,74.07,0.028019453283358604,0.6198227574954633,35.68949007987686,0.4224111586132761,0.7621266938426197,0.9252754936551719,1165578938644.2405,1156877426183.298,145.34132612577883,298.0,early_saturating_halo
UGC02916,43,38.0,0.01799468997355612,,55.57194936225842,0.6790588769446684,0.5636285491895852,0.10397668427690057,163144852182.44513,401664862246.3618,119.5657354763479,181.0,early_saturating_halo
UGC02953,115,62.39,0.004817170718702067,0.0027125787308762764,207.5907329000453,0.9136323950075899,0.8589211779573962,1.2178883415339858,921819201096.4425,481483472242.645,102.16445355406155,272.0,early_saturating_halo
UGC03205,48,40.04,0.00839915626381816,0.6235319460042794,119.0595779611572,0.48060091099659374,0.8242005520661158,1.5226022936006005,371374411710.266,251897410315.77414,92.24257845485457,220.0,early_saturating_halo
UGC03546,30,29.23,0.3212275028021309,0.8285786997815808,3.1130584749960777,0.0,0.7524522384493543,1.52280265824322,190485541654.88235,199282518106.79556,96.02555165163072,193.0,rising_edge_halo
UGC03580,47,27.06,0.005441740707463866,0.47572586584500715,183.7647278247574,0.551635839211763,0.8438547235952133,1.2634158751755953,81635394096.55167,48035993643.27922,48.998875191171486,124.0,early_saturating_halo
UGC04278,25,6.69,1.0,0.16099936225783815,1.0,0.6932573876992933,0.7594323861102854,-1.1526825261896394,10173041806.966434,10247690398.348259,45.51625863359158,92.8,late_saturating_halo
UGC04305,22,5.52,0.12480131832721614,,8.01273587013002,0.0,0.0,-2.409597563385329,0.0,4507504545.782172,33.23266465392145,33.0,early_saturating_halo
UGC04325,8,5.59,1.0,1.0,1.0,0.866266818706799,0.7743351010779659,0.018129367780066425,8426021983.603471,7808808513.498306,43.46634272629801,91.5,late_saturating_halo
UGC04483,8,1.21,1.0,0.4562462552725647,1.0,0.6245054974513732,0.6946352708148351,0.4993344329147832,114449151.92366268,159993279.47806397,13.372875532210715,24.2,late_saturating_halo
UGC04499,9,8.18,0.12353735065419913,0.2469544506579899,8.094717870380437,0.3438133136094674,0.712011542453659,0.09318784318412329,7475798904.88292,9615520060.58253,39.87276514113361,74.3,early_saturating_halo
UGC05005,11,28.61,0.033170906738502405,0.2279200701851418,30.146899748123914,0.3624147443519621,0.8110240804984518,0.03920973289396865,52983245958.18095,39258924620.296646,43.08011838423846,99.1,early_saturating_halo
UGC05253,73,53.29,0.004618115655486718,0.0025876986189825465,216.53853532488174,0.7069027641944114,0.7763312389529502,0.5810932372669138,457135990635.0052,418823271523.29156,103.10011736171786,218.0,early_saturating_halo
UGC05414,6,4.11,1.0,0.903488060185991,1.0,0.5625268292682927,0.6990944466254284,0.6646619510862336,2518570207.467723,3447271845.4048104,33.680883301956314,61.4,late_saturating_halo
UGC05716,12,12.37,1.0,1.0,1.0,0.8382614595923267,0.8421013101939216,-0.17644152889143455,13514963951.117323,8058536826.79712,29.68314168008501,74.7,late_saturating_halo
UGC05721,23,6.74,1.0,0.13865057220121718,1.0,0.4865331496786042,0.8771062299750801,-0.10753894316147346,8687323515.488585,3870711354.6714544,27.869685143539026,79.5,late_saturating_halo
UGC05750,11,22.85,0.06969037265786741,0.13954105966713426,14.3491842827319,0.04253381893860575,0.7239035470289357,-0.4470730297495224,23942007403.084473,29038073714.446484,41.4579111871305,78.9,early_saturating_halo
UGC05764,10,3.62,1.0,1.0,1.0,0.9522259713868105,0.8201929510323251,-0.691385738535235,1718958293.244918,1198348510.5849693,21.159426977118258,49.9,late_saturating_halo
UGC05829,11,6.91,1.0,0.8036668971401246,1.0,0.8951899196493791,0.7022293219661875,-0.7450759221372454,5309393133.313646,7159372742.331276,37.43390041125824,68.6,late_saturating_halo
UGC05918,8,4.46,1.0,1.0,1.0,0.8717944049578096,0.8037028657997728,-0.3514784895436118,1650403146.310897,1281845270.1219046,19.715917427297164,44.5,late_saturating_halo
UGC05986,15,9.41,1.0,0.185571775161884,1.0,0.4006632002298189,0.8296064852825574,0.781761682469222,20781120589.94492,13573036135.68524,44.168261795094445,107.0,late_saturating_halo
UGC05999,5,16.22,1.0,0.3249551141440565,1.0,0.5659916184104496,0.7234572499999999,-0.6479274598322733,27283706459.79572,33164991659.672028,52.58733212476176,100.0,late_saturating_halo
UGC06399,9,7.85,1.0,0.1558303355125506,1.0,0.6500186166753381,0.8053455151060236,0.10951919042167456,11279757393.202833,8669799396.73232,38.648826631606816,87.6,late_saturating_halo
UGC06446,17,10.22,1.0,1.0,1.0,0.767363911033082,0.7930179971664633,-0.41740352881442794,12090342859.534378,10034951510.391987,36.44171510782663,80.1,late_saturating_halo
UGC06614,13,64.59,0.2811872643218421,0.48697865670891327,3.5563488353989503,0.0,0.786959065023068,0.550204977702287,491832708190.9411,423404475310.13446,94.1589695674289,204.0,early_saturating_halo
UGC06628,7,7.69,0.4371182128749464,,2.2877106708113453,0.40347307251143566,0.0,-1.9735602677993793,0.0,11813120564.666552,45.58120116890296,42.3,intermediate
UGC06667,9,7.85,1.0,1.0,1.0,0.9661608909491775,0.8793256441223285,-0.6852755033548528,11787472288.422686,5144143265.215966,29.77064997610902,85.7,late_saturating_halo
UGC06786,45,34.05,0.007594625599246186,0.342971049217498,131.67206031845154,0.6083759328125,0.8615772439972148,1.0207876360604073,303679791100.95306,155151609056.24158,78.50299051628542,211.0,early_saturating_halo
UGC06787,71,37.19,0.16589217967363212,0.46395176433330637,6.0280116999327475,0.0,0.8744343344867359,1.3035824297845024,491669633587.77563,224514403169.3479,90.35987715795103,255.0,early_saturating_halo
UGC06818,8,6.98,0.3945781833147825,0.5787301582792643,2.5343519796233394,0.29455456936226154,0.8119346618828767,1.4833102902937143,7293937221.890252,5372504873.698824,32.26467650542928,74.4,rising_edge_halo
UGC06917,11,10.47,1.0,0.2836552106243725,1.0,0.5485895127602266,0.7427093864134405,0.019798050461349147,22276717486.41567,24540496621.80562,56.30344261233055,111.0,late_saturating_halo
UGC06923,6,5.16,0.37382871804764223,,2.6750218795992984,0.16600981557689382,0.650970609118456,0.2513607850327018,5136797390.319722,8758307211.376202,47.91283335391469,81.1,baryon_dominated_inner_closure
UGC06930,10,16.61,1.0,0.1782355698060556,1.0,0.5373026212446818,0.7483843106995884,0.29848262364594186,33711762837.632034,36043057645.68894,54.17421342299305,108.0,late_saturating_halo
UGC06973,9,7.85,0.8957396120665915,,1.1163958660853077,0.0,0.4671249067901234,4.724533529820865,27624049048.457184,100209028981.8341,131.3969292639672,180.0,late_saturating_halo
UGC06983,17,15.68,1.0,0.15444110131748018,1.0,0.48886664854630413,0.7974237732514097,-0.1034193064525065,34540441024.80638,27903218318.579098,49.05923103759373,109.0,late_saturating_halo
UGC07089,12,9.16,1.0,0.8873201305168436,1.0,0.5378395641125431,0.7231680361078568,0.8503815712908603,9636677121.818405,11730902889.853544,41.61832529066974,79.1,late_saturating_halo
UGC07125,13,18.68,0.1052776200530485,,9.49869496951117,0.3203912156310096,0.6368947723296005,-0.39249093144208363,11651278813.553415,21123483136.554825,39.10758046721888,64.9,early_saturating_halo
UGC07151,11,5.5,1.0,0.2539283316415791,1.0,0.4757667679803293,0.66498873664414,-0.029074770474537662,4937721226.438127,7910406581.862909,44.10468002377979,76.2,late_saturating_halo
UGC07232,4,0.82,1.0,0.8309201974923731,1.0,0.5067439396192741,0.7632655475206612,1.842203926016533,281730917.8755194,277873695.57605255,21.408360516396392,44.0,late_saturating_halo
UGC07261,7,6.67,1.0,0.26763535563454044,1.0,0.8175298597413982,0.7418187908917134,0.26513091425598934,6662429445.861457,7373718316.5795145,38.6675781501764,76.1,late_saturating_halo
