native_id,partition_mode,generator_exponents,generator_exponent_alphaH,generator_exponent_D,depth,charge_sign,charge_magnitude,native_charge_axis,operator_class,route_class,native_mass_or_weight,native_mass_fraction,source_support,source_support_decimal,tensor_support,tensor_support_decimal,retained_support,retained_support_decimal,selector_rule,address_signature,route_combination,construction_hash
SAMN63-0025,1,alpha_H^0*D^0,0,0,1,neutral,0,neutral,OUTER_BINARY_NEUTRAL,outer_binary_neutral,1.5,3/2,3/2,1.5,3/16,0.1875,21/16,1.3125,DEPTH_0_1_ALL_PARTITION_MODES,p=1|d=1|q=neutral:0,"neutral_single_write[p=1,g=1]",ef34688268c47cde7ae5726bbbe282bbfd9cb0fb1bdac96ea1f9228d8fe191b3
SAMN63-0026,1,alpha_H^0*D^0,0,0,1,positive,1,plus,V4_1_SINGLE_WRITE,single_write,15,15,725/48,15.104166666666666666666666666666666666666666666667,725/384,1.888020833333333333333333333333333333333333333333,5075/384,13.216145833333333333333333333333333333333333333333,DEPTH_0_1_ALL_PARTITION_MODES,p=1|d=1|q=positive:1,"positive_single_write[p=1,g=1]",f852041cf4cf247096d2496b8c941cbad4cac872063a878da0e8a77c9e987eb1
SAMN63-0027,1,alpha_H^0*D^0,0,0,1,negative,1,minus,V4_1_SINGLE_WRITE,single_write,18,18,145/8,18.125,145/64,2.265625,1015/64,15.859375,DEPTH_0_1_ALL_PARTITION_MODES,p=1|d=1|q=negative:1,"negative_single_write[p=1,g=1]",e0dd8c889c6ef475ff79ad381917db449b5ac085f8aebd362a28bf29b544d909
SAMN63-0028,2,alpha_H^1*D^0,1,0,1,neutral,0,neutral,OUTER_BINARY_NEUTRAL,outer_binary_neutral,3,3,3,3,3/8,0.375,21/8,2.625,DEPTH_0_1_ALL_PARTITION_MODES,p=2|d=1|q=neutral:0,"neutral_single_write[p=2,g=1]",4b654e56c6c6abca027589b63a42238815b355bf8447537435a47d01c90215b2
SAMN63-0029,2,alpha_H^1*D^0,1,0,1,positive,2,plus,V4_1_SINGLE_WRITE,single_write,30,30,725/24,30.208333333333333333333333333333333333333333333333,725/192,3.776041666666666666666666666666666666666666666667,5075/192,26.432291666666666666666666666666666666666666666667,DEPTH_0_1_ALL_PARTITION_MODES,p=2|d=1|q=positive:2,"positive_single_write[p=2,g=1]",d1bbf14fa4e18367e70a2265b16274312d3ea86e368a9a03b8b8e374a2aa131f
SAMN63-0030,2,alpha_H^1*D^0,1,0,1,negative,2,minus,V4_1_SINGLE_WRITE,single_write,36,36,145/4,36.25,145/32,4.53125,1015/32,31.71875,DEPTH_0_1_ALL_PARTITION_MODES,p=2|d=1|q=negative:2,"negative_single_write[p=2,g=1]",1b6c50771a1a65a7f6aaef5048d96d1d374bba1a97187e5ca5c2f4d2361baba9
SAMN63-0031,3,alpha_H^0*D^1,0,1,1,neutral,0,neutral,OUTER_BINARY_NEUTRAL,outer_binary_neutral,4.5,9/2,9/2,4.5,9/16,0.5625,63/16,3.9375,DEPTH_0_1_ALL_PARTITION_MODES,p=3|d=1|q=neutral:0,"neutral_single_write[p=3,g=1]",f5ace500ea9ce35da0b273937212b24128487ea2e521ea23b7a7acd16d7978ba
SAMN63-0032,3,alpha_H^0*D^1,0,1,1,positive,3,plus,V4_1_SINGLE_WRITE,single_write,45,45,725/16,45.3125,725/128,5.6640625,5075/128,39.6484375,DEPTH_0_1_ALL_PARTITION_MODES,p=3|d=1|q=positive:3,"positive_single_write[p=3,g=1]",2343075c61c3dde13025738b42357d6f990074da54e486a68b87f15dc5abb405
SAMN63-0033,3,alpha_H^0*D^1,0,1,1,negative,3,minus,V4_1_SINGLE_WRITE,single_write,54,54,435/8,54.375,435/64,6.796875,3045/64,47.578125,DEPTH_0_1_ALL_PARTITION_MODES,p=3|d=1|q=negative:3,"negative_single_write[p=3,g=1]",055554d0cdb766e984ffe69e3972e5c4254045e183ba616c46f079f013f649ee
SAMN63-0034,4,alpha_H^2*D^0,2,0,1,neutral,0,neutral,OUTER_BINARY_NEUTRAL,outer_binary_neutral,6,6,6,6,3/4,0.75,21/4,5.25,DEPTH_0_1_ALL_PARTITION_MODES,p=4|d=1|q=neutral:0,"neutral_single_write[p=4,g=1]",368a56092f435f368171f7997d1fcd4811b5af1ccf0c291703411a0d9d03b59f
SAMN63-0035,4,alpha_H^2*D^0,2,0,1,positive,4,plus,V4_1_SINGLE_WRITE,single_write,60,60,725/12,60.416666666666666666666666666666666666666666666667,725/96,7.552083333333333333333333333333333333333333333333,5075/96,52.864583333333333333333333333333333333333333333333,DEPTH_0_1_ALL_PARTITION_MODES,p=4|d=1|q=positive:4,"positive_single_write[p=4,g=1]",8beabca58b517444f9111a54867eb3785427f69703f13e805e19f161b66079bd
SAMN63-0036,4,alpha_H^2*D^0,2,0,1,negative,4,minus,V4_1_SINGLE_WRITE,single_write,72,72,145/2,72.5,145/16,9.0625,1015/16,63.4375,DEPTH_0_1_ALL_PARTITION_MODES,p=4|d=1|q=negative:4,"negative_single_write[p=4,g=1]",478ddd53f6632b488196936b1fe11af15c5ce5e83dcb4dfa913f1f5f977237ff
