qp_template_id,qp_source_row_id,qp_template_class,qp_partition_labels,charge_orientation,closure_depth,native_signature_id,payload_status,source_disposition,source_stability,source_closure
TPL_264fb3a35bb7c91c6c2c0a6b,TOK_040a0d0c564e1b2ea0cdab36,UNARY,8,negative,1,TYPEDRAW_298490a5085857d43370d266,PAYLOAD,LEGAL_LOCAL_TEMPLATE,antimatter_conjugate_rows,CLOSED_CONJUGATE_WRITE
TPL_268964936ad998911fe2b4a3,TOK_1d99e2e36eb3ebb446b3314c,TRIAD,1|3|3,negative,3,TYPEDRAW_a164148cff5d1df0fbc87f1e,PAYLOAD,LEGAL_LOCAL_TEMPLATE,bound_composite_rows,CLOSED_THREE_OWNER_WRITE
TPL_2a2ac1f930ab6527b23fbf2e,TOK_ad517642e42bf56332968b52,TRIAD,2|6|12,negative,3,TYPEDRAW_b650cede6a7089dbcd462895,PAYLOAD,LEGAL_LOCAL_TEMPLATE,bound_composite_rows,CLOSED_THREE_OWNER_WRITE
TPL_2b40a36eeb0a2bce4c36c52c,TOK_cf1919031d51013b58e30306,UNARY,12,negative,0,TYPEDRAW_bff902fe96b4f6815f254b72,PAYLOAD,LEGAL_LOCAL_TEMPLATE,stable_matter_rows,CLOSED_WRITE
TPL_2d23dfae6b23a11264d1d05f,TOK_47ff254a92f849976af51aec,UNARY,6,negative,0,TYPEDRAW_71524edd075bc2de36a01286,PAYLOAD,LEGAL_LOCAL_TEMPLATE,stable_matter_rows,CLOSED_WRITE
TPL_2d394f367b2d6e35c80a4e5d,TOK_643a6a64933184da460d3cbf,TRIAD,2|8|12,negative,3,TYPEDRAW_019212fc2b7117883b37e2ec,PAYLOAD,LEGAL_LOCAL_TEMPLATE,bound_composite_rows,CLOSED_THREE_OWNER_WRITE
TPL_2e4581c512dbb08c9467c6ea,TOK_a4c6eebaab11bb3f7e22324c,TRIAD,4|4|8,positive,3,TYPEDRAW_53ba56af0049d24ed0088253,PAYLOAD,LEGAL_LOCAL_TEMPLATE,bound_composite_rows,CLOSED_THREE_OWNER_WRITE
TPL_2ea2c2651533431af8aaec43,TOK_052ff3596fba526808a95b7c,TRIAD,1|2|12,negative,0,TYPEDRAW_df48b885043a7e7467f9cc33,PAYLOAD,LEGAL_LOCAL_TEMPLATE,bound_composite_rows,CLOSED_THREE_OWNER_WRITE
TPL_31debbdfc40006aa6e7667fa,TOK_b63487955cac196a8ca675d6,UNARY,6,positive,1,TYPEDRAW_deaadfa9cedab08df7870c02,PAYLOAD,LEGAL_LOCAL_TEMPLATE,stable_matter_rows,CLOSED_WRITE
TPL_343545ca202c27d63a8b1460,TOK_0353a54ae1805c0bc7b82689,UNARY,2,negative,2,TYPEDRAW_c52fba08e1f610303f5e822e,PAYLOAD,LEGAL_LOCAL_TEMPLATE,stable_matter_rows,CLOSED_WRITE
TPL_347302764fefff0008a50834,TOK_7b27e0a9dfce8e2e96f9138f,TRIAD,8|8|12,neutral,3,TYPEDRAW_41d517111f749e3af268a613,PAYLOAD,LEGAL_LOCAL_TEMPLATE,bound_composite_rows,CLOSED_THREE_OWNER_WRITE
TPL_34fd7e6c0b05e56e4d5685c4,TOK_0f61b84793eb7beaba5f092f,UNARY,12,positive,2,TYPEDRAW_319b4e6ab1e370d8fe62c926,PAYLOAD,LEGAL_LOCAL_TEMPLATE,unstable_resonance_rows,CLOSED_WRITE
TPL_356e41da629869e782a06896,TOK_09cf970a470433ed5b3a7deb,UNARY,4,positive,1,TYPEDRAW_2ce88f109132f3fb367ed048,PAYLOAD,LEGAL_LOCAL_TEMPLATE,antimatter_conjugate_rows,CLOSED_CONJUGATE_WRITE
TPL_39075f06581ac823a7f31508,TOK_d224ae8f18f72f3ed90611cb,UNARY,3,neutral,0,TYPEDRAW_99328adaf951b2e974ac3625,PAYLOAD,LEGAL_LOCAL_TEMPLATE,stable_matter_rows,CLOSED_WRITE
TPL_393b7fe680e4eaf70789ab04,TOK_8befa32bcd79c87cf9e337f6,TRIAD,2|2|3,neutral,3,TYPEDRAW_ed195f1bdd324796e6883c85,PAYLOAD,LEGAL_LOCAL_TEMPLATE,bound_composite_rows,CLOSED_THREE_OWNER_WRITE
TPL_3a5e14c691462e4f7ad89b17,TOK_e343a45c099e487fcc6b274f,UNARY,6,negative,2,TYPEDRAW_1521df454de23c9edac649b9,PAYLOAD,LEGAL_LOCAL_TEMPLATE,stable_matter_rows,CLOSED_WRITE
TPL_3d32edb33bacf4c806344558,TOK_a2363c1d6dbe4c3b0d70093d,UNARY,9,positive,0,TYPEDRAW_3d1cab896c44f5fe7a701b59,PAYLOAD,LEGAL_LOCAL_TEMPLATE,stable_matter_rows,CLOSED_WRITE
TPL_3d64f46078c980fa451b06cd,TOK_378b1fe43d4d985a6f57bec2,UNARY,8,positive,0,TYPEDRAW_138bb62d0d5fcd3d54f2e253,PAYLOAD,LEGAL_LOCAL_TEMPLATE,antimatter_conjugate_rows,CLOSED_CONJUGATE_WRITE
TPL_3ded66214e90e6e41768a269,TOK_e325a200be540a01d08aa453,TRIAD,3|9|12,negative,0,TYPEDRAW_8fe89b36883449881ede69f1,PAYLOAD,LEGAL_LOCAL_TEMPLATE,bound_composite_rows,CLOSED_THREE_OWNER_WRITE
TPL_41a1c0dd7481d8d9364fc31e,TOK_c3afc5fa4a7b2f9380869f09,UNARY,12,neutral,2,TYPEDRAW_94e715fba841af7c8f10acbf,PAYLOAD,LEGAL_LOCAL_TEMPLATE,unstable_resonance_rows,CLOSED_WRITE
TPL_41b859cf6877d67709682f22,TOK_4f175f8df4ca8c0582fc9459,UNARY,4,negative,1,TYPEDRAW_fe049b72244926287c0ed55e,PAYLOAD,LEGAL_LOCAL_TEMPLATE,stable_matter_rows,CLOSED_WRITE
TPL_42f5e69f1291c6009c6378af,TOK_29bc09acc7ce50ec0fc6c010,PAIR,6|12,negative,3,TYPEDRAW_6976e3fd27bf85377e321b3c,PAYLOAD,LEGAL_LOCAL_TEMPLATE,unstable_resonance_rows,CLOSED_PAIR_WRITE
TPL_4332e5dee9a3972236b02f7d,TOK_35b399b42dc5524877c44c5c,REJECTED,2|3|4,neutral,0,TYPEDRAW_64729903820090434104fab1,REJECTED,REJECTED,bound_composite_rows,REJECT_NEGATIVE_OBSERVED_SURFACE
TPL_448dccb7b39167e2ea34d5bf,TOK_e4971acf5cb491fef0ba8f42,UNARY,2,neutral,1,TYPEDRAW_4083c5f72a72b06dfe2c1cad,PAYLOAD,LEGAL_LOCAL_TEMPLATE,stable_matter_rows,CLOSED_WRITE
