Z,N,A,P_address,G_CR220,GR_CR220,kappa_floor_fraction,kappa_floor_decimal,neutron_excess_N_minus_Z,neutron_excess_term_fraction,neutron_excess_term_decimal,G_from_Z_kappa_floor_plus_excess_fraction,G_from_Z_kappa_floor_plus_excess_decimal,GR_from_formula_fraction,GR_from_formula_decimal,kappa_effective_fraction,kappa_effective_decimal,kappa_delta_from_floor_fraction,kappa_delta_from_floor_decimal,formula_matches_G,formula_matches_GR,kappa_eff_matches_G_over_Z,kappa_kind
28,32,60,28p+32n+28e,259.5364583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,2076.291666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,4,1/16,0.0625,49831/192,259.5364583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,49831/24,2076.291666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,49831/5376,9.269159226190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476,1/448,0.002232142857142857142857142857142857142857142857142857142857142857142857142857142857142857142857142857,True,True,True,effective_element_quotient
29,33,62,29p+33n+29e,268.8033854166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,2150.427083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,4,1/16,0.0625,206441/768,268.8033854166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,206441/96,2150.427083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,206441/22272,9.269082255747126436781609195402298850574712643678160919540229885057471264367816091954022988505747126,1/464,0.002155172413793103448275862068965517241379310344827586206896551724137931034482758620689655172413793103,True,True,True,effective_element_quotient
30,35,65,30p+35n+30e,278.0859374999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,2224.687499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,5,5/64,0.078125,35595/128,278.0859375,35595/16,2224.6875,2373/256,9.26953125,1/384,0.002604166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,True,True,True,effective_element_quotient
31,36,67,31p+36n+31e,287.3528645833333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,2298.822916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,5,5/64,0.078125,220687/768,287.3528645833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,220687/96,2298.822916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,220687/23808,9.269447244623655913978494623655913978494623655913978494623655913978494623655913978494623655913978495,5/1984,0.002520161290322580645161290322580645161290322580645161290322580645161290322580645161290322580645161290,True,True,True,effective_element_quotient
32,37,69,32p+37n+32e,296.6197916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,2372.958333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,5,5/64,0.078125,56951/192,296.6197916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,56951/24,2372.958333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,56951/6144,9.269368489583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,5/2048,0.00244140625,True,True,True,effective_element_quotient
33,38,71,33p+38n+33e,305.8867187499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,2447.093749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,5,5/64,0.078125,78307/256,305.88671875,78307/32,2447.09375,78307/8448,9.269294507575757575757575757575757575757575757575757575757575757575757575757575757575757575757575758,5/2112,0.002367424242424242424242424242424242424242424242424242424242424242424242424242424242424242424242424242,True,True,True,effective_element_quotient
34,39,73,34p+39n+34e,315.1536458333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,2521.229166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,5,5/64,0.078125,121019/384,315.1536458333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,121019/48,2521.229166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,121019/13056,9.269224877450980392156862745098039215686274509803921568627450980392156862745098039215686274509803922,5/2176,0.002297794117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235,True,True,True,effective_element_quotient
35,40,75,35p+40n+35e,324.4205729166666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,2595.364583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,5,5/64,0.078125,249155/768,324.4205729166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,249155/96,2595.364583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,49831/5376,9.269159226190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476,1/448,0.002232142857142857142857142857142857142857142857142857142857142857142857142857142857142857142857142857,True,True,True,effective_element_quotient
36,42,78,36p+42n+36e,333.7031249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,2669.624999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,6,3/32,0.09375,21357/64,333.703125,21357/8,2669.625,2373/256,9.26953125,1/384,0.002604166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,True,True,True,effective_element_quotient
37,46,83,37p+46n+37e,343.0169270833333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,2744.135416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,9,9/64,0.140625,263437/768,343.0169270833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,263437/96,2744.135416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,263437/28416,9.270727759009009009009009009009009009009009009009009009009009009009009009009009009009009009009009009,9/2368,0.003800675675675675675675675675675675675675675675675675675675675675675675675675675675675675675675675676,True,True,True,effective_element_quotient
