bin_index,label,ell_center,X_data,X_sig,X_model,residual,residual_over_sigma
124,deep_EE_39,2625.5,2.068882056370924e-06,4.143049942016063e-07,2.1811060003261758e-06,-1.1222394395525167e-07,-0.27087277615736877
125,deep_EE_40,2825.5,1.480660412633081e-06,3.813767961616792e-07,1.1459675434979224e-06,3.346928691351585e-07,0.8775910661152818
126,deep_EE_41,3025.5,4.348979188189406e-07,3.923871369744024e-07,6.338329688404162e-07,-1.9893505002147556e-07,-0.5069866753416363
127,deep_EE_42,3325.5,-4.200747425077997e-07,2.645573204336167e-07,2.8046504926476557e-07,-7.005397917725653e-07,-2.647969788265021
128,deep_EE_43,3725.5,3.085118862127652e-08,2.889257597005075e-07,8.826671718550015e-08,-5.7415528564223626e-08,-0.19872069774511963
129,deep_EE_44,4125.5,-1.180042343492692e-07,2.996072596809806e-07,2.9118986831350317e-08,-1.471232211806195e-07,-0.49105359241720353
130,wide_TT_00,600.5,0.03842381526989862,0.001176261687681123,0.03907685389845177,-0.0006530386285531556,-0.5551814153197091
131,wide_TT_01,650.5,0.02749368491769768,0.000809014666540217,0.027801323259662235,-0.00030763834196455633,-0.3802629973078038
132,wide_TT_02,700.5,0.02392375063505024,0.0006540438471770262,0.024195021875459608,-0.0002712712404093695,-0.41476002194688655
133,wide_TT_03,750.5,0.02504468989949673,0.0006154120449600352,0.025117730532424935,-7.304063292820628e-05,-0.11868573832179305
134,wide_TT_04,800.5,0.02409004921915941,0.0005558324717624545,0.024965560469283516,-0.0008755112501241044,-1.5751351254236736
135,wide_TT_05,850.5,0.02091009889128618,0.0004684640900047585,0.021023564818549566,-0.0001134659272633877,-0.2422083777269569
136,wide_TT_06,900.5,0.01457625727969222,0.0003310944289494741,0.01477548796279663,-0.00019923068310440974,-0.6017337221183291
137,wide_TT_07,950.5,0.009251258626710623,0.0002240340660234471,0.009390746657366158,-0.00013948803065553551,-0.6226197342726302
138,wide_TT_08,1000.5,0.007064533434475306,0.0001608094538747737,0.006706732352096257,0.00035780108237904937,2.225000295428389
