ledger_slot,kind,w9_block,w9_role,w9_coordinate,k18_offset,k18_role,microcycle_q,residue_r,dimension,side,fiber_residue,fiber_j,ternary_coordinate,ternary_rank,route_parity_0,route_parity_1
77,matter,4,oriented_face,"[-1,-1,1]",5,edge,0,5,2,1,5,12,"[0,0,-1]",1,5,11
78,matter,4,oriented_face,"[-1,-1,1]",6,edge,1,0,0,0,0,13,"[0,0,0]",0,6,0
79,matter,4,oriented_face,"[-1,-1,1]",7,edge,1,1,1,1,1,13,"[0,0,0]",0,7,1
80,matter,4,oriented_face,"[-1,-1,1]",8,edge,1,2,2,0,2,13,"[0,0,0]",0,8,2
81,matter,4,oriented_face,"[-1,-1,1]",9,edge,1,3,0,1,3,13,"[0,0,0]",0,9,3
82,matter,4,oriented_face,"[-1,-1,1]",10,edge,1,4,1,0,4,13,"[0,0,0]",0,10,4
83,matter,4,oriented_face,"[-1,-1,1]",11,edge,1,5,2,1,5,13,"[0,0,0]",0,11,5
84,matter,4,oriented_face,"[-1,-1,1]",12,point,2,0,0,0,0,14,"[0,0,1]",1,0,6
85,matter,4,oriented_face,"[-1,-1,1]",13,point,2,1,1,1,1,14,"[0,0,1]",1,1,7
86,matter,4,oriented_face,"[-1,-1,1]",14,point,2,2,2,0,2,14,"[0,0,1]",1,2,8
87,matter,4,oriented_face,"[-1,-1,1]",15,point,2,3,0,1,3,14,"[0,0,1]",1,3,9
88,matter,4,oriented_face,"[-1,-1,1]",16,point,2,4,1,0,4,14,"[0,0,1]",1,4,10
89,matter,4,oriented_face,"[-1,-1,1]",17,point,2,5,2,1,5,14,"[0,0,1]",1,5,11
90,matter,5,oriented_face,"[1,-1,1]",0,edge,0,0,0,0,0,15,"[0,1,-1]",2,6,0
91,matter,5,oriented_face,"[1,-1,1]",1,edge,0,1,1,1,1,15,"[0,1,-1]",2,7,1
92,matter,5,oriented_face,"[1,-1,1]",2,edge,0,2,2,0,2,15,"[0,1,-1]",2,8,2
93,matter,5,oriented_face,"[1,-1,1]",3,edge,0,3,0,1,3,15,"[0,1,-1]",2,9,3
94,matter,5,oriented_face,"[1,-1,1]",4,edge,0,4,1,0,4,15,"[0,1,-1]",2,10,4
95,matter,5,oriented_face,"[1,-1,1]",5,edge,0,5,2,1,5,15,"[0,1,-1]",2,11,5
96,matter,5,oriented_face,"[1,-1,1]",6,edge,1,0,0,0,0,16,"[0,1,0]",1,0,6
97,matter,5,oriented_face,"[1,-1,1]",7,edge,1,1,1,1,1,16,"[0,1,0]",1,1,7
98,matter,5,oriented_face,"[1,-1,1]",8,edge,1,2,2,0,2,16,"[0,1,0]",1,2,8
99,matter,5,oriented_face,"[1,-1,1]",9,edge,1,3,0,1,3,16,"[0,1,0]",1,3,9
100,matter,5,oriented_face,"[1,-1,1]",10,edge,1,4,1,0,4,16,"[0,1,0]",1,4,10
101,matter,5,oriented_face,"[1,-1,1]",11,edge,1,5,2,1,5,16,"[0,1,0]",1,5,11
102,matter,5,oriented_face,"[1,-1,1]",12,point,2,0,0,0,0,17,"[0,1,1]",2,6,0
103,matter,5,oriented_face,"[1,-1,1]",13,point,2,1,1,1,1,17,"[0,1,1]",2,7,1
104,matter,5,oriented_face,"[1,-1,1]",14,point,2,2,2,0,2,17,"[0,1,1]",2,8,2
105,matter,5,oriented_face,"[1,-1,1]",15,point,2,3,0,1,3,17,"[0,1,1]",2,9,3
106,matter,5,oriented_face,"[1,-1,1]",16,point,2,4,1,0,4,17,"[0,1,1]",2,10,4
107,matter,5,oriented_face,"[1,-1,1]",17,point,2,5,2,1,5,17,"[0,1,1]",2,11,5
108,matter,6,oriented_face,"[-1,1,1]",0,edge,0,0,0,0,0,18,"[1,-1,-1]",3,0,6
109,matter,6,oriented_face,"[-1,1,1]",1,edge,0,1,1,1,1,18,"[1,-1,-1]",3,1,7
110,matter,6,oriented_face,"[-1,1,1]",2,edge,0,2,2,0,2,18,"[1,-1,-1]",3,2,8
111,matter,6,oriented_face,"[-1,1,1]",3,edge,0,3,0,1,3,18,"[1,-1,-1]",3,3,9
112,matter,6,oriented_face,"[-1,1,1]",4,edge,0,4,1,0,4,18,"[1,-1,-1]",3,4,10
113,matter,6,oriented_face,"[-1,1,1]",5,edge,0,5,2,1,5,18,"[1,-1,-1]",3,5,11
114,matter,6,oriented_face,"[-1,1,1]",6,edge,1,0,0,0,0,19,"[1,-1,0]",2,6,0
115,matter,6,oriented_face,"[-1,1,1]",7,edge,1,1,1,1,1,19,"[1,-1,0]",2,7,1
116,matter,6,oriented_face,"[-1,1,1]",8,edge,1,2,2,0,2,19,"[1,-1,0]",2,8,2
117,matter,6,oriented_face,"[-1,1,1]",9,edge,1,3,0,1,3,19,"[1,-1,0]",2,9,3
118,matter,6,oriented_face,"[-1,1,1]",10,edge,1,4,1,0,4,19,"[1,-1,0]",2,10,4
119,matter,6,oriented_face,"[-1,1,1]",11,edge,1,5,2,1,5,19,"[1,-1,0]",2,11,5
120,matter,6,oriented_face,"[-1,1,1]",12,point,2,0,0,0,0,20,"[1,-1,1]",3,0,6
121,matter,6,oriented_face,"[-1,1,1]",13,point,2,1,1,1,1,20,"[1,-1,1]",3,1,7
122,matter,6,oriented_face,"[-1,1,1]",14,point,2,2,2,0,2,20,"[1,-1,1]",3,2,8
123,matter,6,oriented_face,"[-1,1,1]",15,point,2,3,0,1,3,20,"[1,-1,1]",3,3,9
124,matter,6,oriented_face,"[-1,1,1]",16,point,2,4,1,0,4,20,"[1,-1,1]",3,4,10
125,matter,6,oriented_face,"[-1,1,1]",17,point,2,5,2,1,5,20,"[1,-1,1]",3,5,11
126,matter,7,oriented_face,"[1,1,1]",0,edge,0,0,0,0,0,21,"[1,0,-1]",2,6,0
127,matter,7,oriented_face,"[1,1,1]",1,edge,0,1,1,1,1,21,"[1,0,-1]",2,7,1
128,matter,7,oriented_face,"[1,1,1]",2,edge,0,2,2,0,2,21,"[1,0,-1]",2,8,2
129,matter,7,oriented_face,"[1,1,1]",3,edge,0,3,0,1,3,21,"[1,0,-1]",2,9,3
130,matter,7,oriented_face,"[1,1,1]",4,edge,0,4,1,0,4,21,"[1,0,-1]",2,10,4
131,matter,7,oriented_face,"[1,1,1]",5,edge,0,5,2,1,5,21,"[1,0,-1]",2,11,5
132,matter,7,oriented_face,"[1,1,1]",6,edge,1,0,0,0,0,22,"[1,0,0]",1,0,6
133,matter,7,oriented_face,"[1,1,1]",7,edge,1,1,1,1,1,22,"[1,0,0]",1,1,7
134,matter,7,oriented_face,"[1,1,1]",8,edge,1,2,2,0,2,22,"[1,0,0]",1,2,8
135,matter,7,oriented_face,"[1,1,1]",9,edge,1,3,0,1,3,22,"[1,0,0]",1,3,9
136,matter,7,oriented_face,"[1,1,1]",10,edge,1,4,1,0,4,22,"[1,0,0]",1,4,10
137,matter,7,oriented_face,"[1,1,1]",11,edge,1,5,2,1,5,22,"[1,0,0]",1,5,11
138,matter,7,oriented_face,"[1,1,1]",12,point,2,0,0,0,0,23,"[1,0,1]",2,6,0
139,matter,7,oriented_face,"[1,1,1]",13,point,2,1,1,1,1,23,"[1,0,1]",2,7,1
140,matter,7,oriented_face,"[1,1,1]",14,point,2,2,2,0,2,23,"[1,0,1]",2,8,2
141,matter,7,oriented_face,"[1,1,1]",15,point,2,3,0,1,3,23,"[1,0,1]",2,9,3
142,matter,7,oriented_face,"[1,1,1]",16,point,2,4,1,0,4,23,"[1,0,1]",2,10,4
143,matter,7,oriented_face,"[1,1,1]",17,point,2,5,2,1,5,23,"[1,0,1]",2,11,5
144,ledger_shadow,8,closure_cell,,0,edge,0,0,0,0,0,24,"[1,1,-1]",3,0,6
145,ledger_shadow,8,closure_cell,,1,edge,0,1,1,1,1,24,"[1,1,-1]",3,1,7
146,ledger_shadow,8,closure_cell,,2,edge,0,2,2,0,2,24,"[1,1,-1]",3,2,8
147,ledger_shadow,8,closure_cell,,3,edge,0,3,0,1,3,24,"[1,1,-1]",3,3,9
148,ledger_shadow,8,closure_cell,,4,edge,0,4,1,0,4,24,"[1,1,-1]",3,4,10
149,ledger_shadow,8,closure_cell,,5,edge,0,5,2,1,5,24,"[1,1,-1]",3,5,11
150,ledger_shadow,8,closure_cell,,6,edge,1,0,0,0,0,25,"[1,1,0]",2,6,0
151,ledger_shadow,8,closure_cell,,7,edge,1,1,1,1,1,25,"[1,1,0]",2,7,1
152,ledger_shadow,8,closure_cell,,8,edge,1,2,2,0,2,25,"[1,1,0]",2,8,2
153,ledger_shadow,8,closure_cell,,9,edge,1,3,0,1,3,25,"[1,1,0]",2,9,3
154,ledger_shadow,8,closure_cell,,10,edge,1,4,1,0,4,25,"[1,1,0]",2,10,4
155,ledger_shadow,8,closure_cell,,11,edge,1,5,2,1,5,25,"[1,1,0]",2,11,5
156,ledger_shadow,8,closure_cell,,12,point,2,0,0,0,0,26,"[1,1,1]",3,0,6
157,ledger_shadow,8,closure_cell,,13,point,2,1,1,1,1,26,"[1,1,1]",3,1,7
158,ledger_shadow,8,closure_cell,,14,point,2,2,2,0,2,26,"[1,1,1]",3,2,8
159,ledger_shadow,8,closure_cell,,15,point,2,3,0,1,3,26,"[1,1,1]",3,3,9
160,ledger_shadow,8,closure_cell,,16,point,2,4,1,0,4,26,"[1,1,1]",3,4,10
161,ledger_shadow,8,closure_cell,,17,point,2,5,2,1,5,26,"[1,1,1]",3,5,11
