Z,symbol,symbol_match_cr119,name_match_cr119,particle_expected_cr119,particle_observed_hh001,particle_match_cr119,element_expected_cr119,element_observed_hh001,element_match_cr119,gravity_expected_cr119_qA,gravity_observed_hh001,gravity_match_cr119,graviton_expected_cr119_qA_over_8,graviton_observed_hh001,graviton_match_cr119,gravity_over_8_match,courtroom_backed_row_pass,known_label_status,known_label_used_as_construction_input
33,As,True,True,104,104,True,33,33,True,2447.093749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,2447.093750,True,305.8867187499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,305.886719,True,True,True,KNOWN_Z_DOWNSTREAM,no
34,Se,True,True,107,107,True,34,34,True,2521.229166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,2521.229167,True,315.1536458333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,315.153646,True,True,True,KNOWN_Z_DOWNSTREAM,no
35,Br,True,True,110,110,True,35,35,True,2595.364583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,2595.364583,True,324.4205729166666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,324.420573,True,True,True,KNOWN_Z_DOWNSTREAM,no
36,Kr,True,True,114,114,True,36,36,True,2669.624999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,2669.625000,True,333.7031249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,333.703125,True,True,True,KNOWN_Z_DOWNSTREAM,no
37,Rb,True,True,120,120,True,37,37,True,2744.135416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,2744.135417,True,343.0169270833333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,343.016927,True,True,True,KNOWN_Z_DOWNSTREAM,no
38,Sr,True,True,123,123,True,38,38,True,2818.270833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,2818.270833,True,352.2838541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,352.283854,True,True,True,KNOWN_Z_DOWNSTREAM,no
39,Y,True,True,126,126,True,39,39,True,2892.406249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,2892.406250,True,361.5507812499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,361.550781,True,True,True,KNOWN_Z_DOWNSTREAM,no
40,Zr,True,True,130,130,True,40,40,True,2966.666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,2966.666667,True,370.8333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,370.833333,True,True,True,KNOWN_Z_DOWNSTREAM,no
41,Nb,True,True,133,133,True,41,41,True,3040.802083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,3040.802083,True,380.1002604166666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,380.100260,True,True,True,KNOWN_Z_DOWNSTREAM,no
42,Mo,True,True,136,136,True,42,42,True,3114.937499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,3114.937500,True,389.3671874999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,389.367188,True,True,True,KNOWN_Z_DOWNSTREAM,no
43,Tc,True,True,139,139,True,43,43,True,3189.072916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,3189.072917,True,398.6341145833333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,398.634115,True,True,True,KNOWN_Z_DOWNSTREAM,no
44,Ru,True,True,143,143,True,44,44,True,3263.333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,3263.333333,True,407.9166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,407.916667,True,True,True,KNOWN_Z_DOWNSTREAM,no
45,Rh,True,True,146,146,True,45,45,True,3337.468749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,3337.468750,True,417.1835937499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,417.183594,True,True,True,KNOWN_Z_DOWNSTREAM,no
46,Pd,True,True,149,149,True,46,46,True,3411.604166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,3411.604167,True,426.4505208333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,426.450521,True,True,True,KNOWN_Z_DOWNSTREAM,no
47,Ag,True,True,152,152,True,47,47,True,3485.739583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,3485.739583,True,435.7174479166666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,435.717448,True,True,True,KNOWN_Z_DOWNSTREAM,no
48,Cd,True,True,156,156,True,48,48,True,3559.999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,3560.000000,True,444.9999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,445.000000,True,True,True,KNOWN_Z_DOWNSTREAM,no
49,In,True,True,163,163,True,49,49,True,3634.635416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,3634.635417,True,454.3294270833333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,454.329427,True,True,True,KNOWN_Z_DOWNSTREAM,no
50,Sn,True,True,166,166,True,50,50,True,3708.770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,3708.770833,True,463.5963541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,463.596354,True,True,True,KNOWN_Z_DOWNSTREAM,no
51,Sb,True,True,170,170,True,51,51,True,3783.031249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,3783.031250,True,472.8789062499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,472.878906,True,True,True,KNOWN_Z_DOWNSTREAM,no
52,Te,True,True,173,173,True,52,52,True,3857.166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,3857.166667,True,482.1458333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,482.145833,True,True,True,KNOWN_Z_DOWNSTREAM,no
53,I,True,True,176,176,True,53,53,True,3931.302083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,3931.302083,True,491.4127604166666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,491.412760,True,True,True,KNOWN_Z_DOWNSTREAM,no
54,Xe,True,True,180,180,True,54,54,True,4005.562499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,4005.562500,True,500.6953124999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,500.695312,True,True,True,KNOWN_Z_DOWNSTREAM,no
55,Cs,True,True,183,183,True,55,55,True,4079.697916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,4079.697917,True,509.9622395833333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,509.962240,True,True,True,KNOWN_Z_DOWNSTREAM,no
56,Ba,True,True,186,186,True,56,56,True,4153.833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,4153.833333,True,519.2291666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,519.229167,True,True,True,KNOWN_Z_DOWNSTREAM,no
57,La,True,True,190,190,True,57,57,True,4228.093749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,4228.093750,True,528.5117187499999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,528.511719,True,True,True,KNOWN_Z_DOWNSTREAM,no
58,Ce,True,True,193,193,True,58,58,True,4302.229166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,4302.229167,True,537.7786458333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,537.778646,True,True,True,KNOWN_Z_DOWNSTREAM,no
59,Pr,True,True,196,196,True,59,59,True,4376.364583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,4376.364583,True,547.0455729166666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,547.045573,True,True,True,KNOWN_Z_DOWNSTREAM,no
60,Nd,True,True,200,200,True,60,60,True,4450.624999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,4450.625000,True,556.3281249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,556.328125,True,True,True,KNOWN_Z_DOWNSTREAM,no
61,Pm,True,True,208,208,True,61,61,True,4525.385416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,4525.385417,True,565.6731770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,565.673177,True,True,True,KNOWN_Z_DOWNSTREAM,no
62,Sm,True,True,211,211,True,62,62,True,4599.520833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,4599.520833,True,574.9401041666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,574.940104,True,True,True,KNOWN_Z_DOWNSTREAM,no
63,Eu,True,True,215,215,True,63,63,True,4673.781249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,4673.781250,True,584.2226562499999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,584.222656,True,True,True,KNOWN_Z_DOWNSTREAM,no
