sob_id,Z,N,A,prediction_clock,reference_clock,clock_match,known_symbol,known_name,revealed_isotope_anchor,atomic_mass_u_reveal,matter_label,name_symbol_reveal_status,atomic_mass_reveal_status,reveal_source,prediction_hash_basis
SOB57,57,76,133,stable,stable,True,La,Lanthanum,La-133,132.908218,Matter 132.908,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB58,58,77,135,stable,stable,True,Ce,Cerium,Ce-135,134.909161,Matter 134.909,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB59,59,78,137,stable,stable,True,Pr,Praseodymium,Pr-137,136.910679,Matter 136.911,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB60,60,80,140,stable,stable,True,Nd,Neodymium,Nd-140,139.909546,Matter 139.910,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB61,61,86,147,radioactive,radioactive,True,Pm,Promethium,Pm-147,146.915145,Matter 146.915,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB62,62,87,149,stable,stable,True,Sm,Samarium,Sm-149,148.917191,Matter 148.917,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB63,63,89,152,stable,stable,True,Eu,Europium,Eu-152,151.921751,Matter 151.922,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB64,64,90,154,stable,stable,True,Gd,Gadolinium,Gd-154,153.920873,Matter 153.921,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB65,65,92,157,stable,stable,True,Tb,Terbium,Tb-157,156.924032,Matter 156.924,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB66,66,93,159,stable,stable,True,Dy,Dysprosium,Dy-159,158.925746,Matter 158.926,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB67,67,94,161,stable,stable,True,Ho,Holmium,Ho-161,160.927862,Matter 160.928,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB68,68,96,164,stable,stable,True,Er,Erbium,Er-164,163.929208,Matter 163.929,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB69,69,97,166,stable,stable,True,Tm,Thulium,Tm-166,165.933562,Matter 165.934,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB70,70,99,169,stable,stable,True,Yb,Ytterbium,Yb-169,168.935184,Matter 168.935,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB71,71,100,171,stable,stable,True,Lu,Lutetium,Lu-171,170.937919,Matter 170.938,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB72,72,102,174,stable,stable,True,Hf,Hafnium,Hf-174,173.940048,Matter 173.940,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB73,73,109,182,stable,stable,True,Ta,Tantalum,Ta-182,181.950155,Matter 181.950,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB74,74,111,185,stable,stable,True,W,Tungsten,W-185,184.953421,Matter 184.953,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB75,75,112,187,stable,stable,True,Re,Rhenium,Re-187,186.955752,Matter 186.956,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
