scenario_id,seed,door,anchor,p_level,geometry,group,carrier_count,quadrupole_change_norm,peak_source_norm,power_proxy,power_per_carrier,incoherent_power_expectation,coherence_gain,qnm_response_peak,trace_relative_error,all_carrier_coarse_power,all_carrier_coarse_response,power_convergence_relative_error,response_convergence_relative_error
REF_0152,910003,validation,middle_drive,3,dispersed_slots,return_only,2,2.3754609483919324,1.4668363914385996,0.008278305775002784,0.004139152887501392,0.04925319051199907,0.16807653857441016,0.684447421077216,4.0380554403365793e-16,,,,
REF_0152,910003,validation,middle_drive,3,dispersed_slots,dual,16,1.478129782557002,1.3832294462318908,0.11278433913244126,0.007049021195777579,0.14864781636643823,0.7587352568598227,0.5928278822052024,6.289713965430669e-16,,,,
REF_0153,910004,final,middle_drive,0,localized_ledger_cells,all_carriers,252,87.25252458332243,60.22099036794428,135.7024167080839,0.5385016536035075,13.279123022777405,10.219230326830797,27.20276654312731,9.835205969898777e-16,133.01630257277327,27.285619189054508,0.019794151058406345,0.0030457433730441447
REF_0153,910004,final,middle_drive,0,localized_ledger_cells,escape_only,222,71.23742696230961,50.223741995474896,89.57651389080516,0.40349781031894216,11.395823468552072,7.860468718035218,22.7061646242307,7.5921905029196335e-16,,,,
REF_0153,910004,final,middle_drive,0,localized_ledger_cells,return_only,0,,,,,,,,,,,,
REF_0153,910004,final,middle_drive,0,localized_ledger_cells,dual,30,17.439307069271045,10.956637529734682,5.245478758494988,0.17484929194983292,1.8832995542253328,2.7852599161542506,4.952848440066537,6.379198198754525e-16,,,,
REF_0154,910004,final,middle_drive,0,dispersed_slots,all_carriers,252,12.888128479735252,11.983921156523474,11.00245843762399,0.04366054935565075,29.9435773670328,0.3674396783911814,4.884689172101769,9.643940954920413e-16,10.79380682822713,4.897836255182152,0.01896408976046254,0.00269148816171771
REF_0154,910004,final,middle_drive,0,dispersed_slots,escape_only,210,11.520677533179871,10.944605785925829,8.018538293821035,0.03818351568486207,23.927306200951925,0.33512081245075653,4.637950043860014,5.500158190576201e-16,,,,
REF_0154,910004,final,middle_drive,0,dispersed_slots,return_only,0,,,,,,,,,,,,
REF_0154,910004,final,middle_drive,0,dispersed_slots,dual,0,,,,,,,,,,,,
REF_0155,910004,final,middle_drive,1,localized_ledger_cells,all_carriers,378,78.6432211979825,53.599026787861085,45.91165455583376,0.1214594035868618,16.452712306319007,2.7905219334687104,24.394514054755575,7.963302528207339e-16,44.89901526972316,24.468333464380777,0.022056257739069753,0.0030260660023605154
REF_0155,910004,final,middle_drive,1,localized_ledger_cells,escape_only,340,62.10638293654439,43.13358768392238,24.90226308551587,0.07324195025151727,12.010680443917709,2.0733432382781065,19.736606467981602,8.232348960275766e-16,,,,
REF_0155,910004,final,middle_drive,1,localized_ledger_cells,return_only,0,,,,,,,,,,,,
REF_0155,910004,final,middle_drive,1,localized_ledger_cells,dual,38,17.488664594888068,11.245103143786505,4.712314871458332,0.12400828609100874,4.442031862401299,1.0608467065139244,5.063618123566102,6.702748662148468e-16,,,,
REF_0156,910004,final,middle_drive,1,dispersed_slots,all_carriers,378,9.845629568821849,7.948953978131587,11.672690007985405,0.030880132296257686,36.04236345518714,0.32386028242844034,3.356289831169158,9.498935919077004e-16,11.479788953949196,3.365844400182996,0.016525843991765713,0.0028467651765670112
REF_0156,910004,final,middle_drive,1,dispersed_slots,escape_only,333,10.457927070135387,8.276390849168788,8.654205971560408,0.025988606521202426,28.654103253173403,0.30202327028335696,3.7459359149565263,1.5142922128192847e-15,,,,
REF_0156,910004,final,middle_drive,1,dispersed_slots,return_only,1,1.543726159297477,1.0995822777275939,0.052966939590233374,0.052966939590233374,0.052966939590233374,1.0,0.5053087197815679,3.833663819313629e-16,,,,
REF_0156,910004,final,middle_drive,1,dispersed_slots,dual,0,,,,,,,,,,,,
REF_0157,910004,final,middle_drive,2,localized_ledger_cells,all_carriers,594,80.45833452110145,57.02428675516069,24.886239413604816,0.04189602594882966,22.331336326020125,1.1144088759528357,26.260878240997148,6.136555716321864e-16,24.339157501461543,26.339448403238848,0.021983309854529263,0.00299190916315359
REF_0157,910004,final,middle_drive,2,localized_ledger_cells,escape_only,559,65.71088668232987,48.19970393772116,16.36321433585348,0.029272297559666333,20.704430767949958,0.7903242798243653,22.286583597221234,5.649542963679787e-16,,,,
REF_0157,910004,final,middle_drive,2,localized_ledger_cells,return_only,0,,,,,,,,,,,,
