scenario_id,lane,anchor,seed,p_level,geometry,atom_count,ledger_count,door,history_010,history_110,history_101,carriers_escape_only,carriers_return_only,carriers_dual,dual_escape_before_closure,dual_fraction_escape_before_closure,dual_median_margin,root_failures,direction_failures
REF_0160,REFERENCE_MIDDLE_DRIVE,middle_drive,910004,3,dispersed_slots,9072,56,final,218343,25143,13,956,0,12,12,1.0,0.17255533238164844,0,0
REF_0257,REFERENCE_HIGH_DRIVE,high_drive,910001,0,localized_ledger_cells,2268,14,discovery,3446,23496,60,230,0,22,16,0.7272727272727273,0.06895111417284738,0,0
REF_0258,REFERENCE_HIGH_DRIVE,high_drive,910001,0,dispersed_slots,2268,14,discovery,1747,454,2,213,2,0,0,,,0,0
REF_0259,REFERENCE_HIGH_DRIVE,high_drive,910001,1,localized_ledger_cells,3402,21,discovery,12621,35402,94,339,0,39,30,0.7692307692307693,0.04263765298514954,0,0
REF_0260,REFERENCE_HIGH_DRIVE,high_drive,910001,1,dispersed_slots,3402,21,discovery,9886,1660,2,337,0,2,1,0.5,0.07479925269778676,0,0
REF_0261,REFERENCE_HIGH_DRIVE,high_drive,910001,2,localized_ledger_cells,5346,33,discovery,54032,61903,58,568,0,26,19,0.7307692307692307,0.049246419688032006,0,0
REF_0262,REFERENCE_HIGH_DRIVE,high_drive,910001,2,dispersed_slots,5346,33,discovery,47054,5875,2,557,0,2,1,0.5,0.34304519569333536,0,0
REF_0263,REFERENCE_HIGH_DRIVE,high_drive,910001,3,localized_ledger_cells,9072,56,discovery,269579,128703,159,945,0,63,52,0.8253968253968254,0.09895804400372299,0,0
REF_0264,REFERENCE_HIGH_DRIVE,high_drive,910001,3,dispersed_slots,9072,56,discovery,219428,26814,17,952,1,16,15,0.9375,0.07156823221873765,0,0
REF_0265,REFERENCE_HIGH_DRIVE,high_drive,910002,0,localized_ledger_cells,2268,14,discovery,3673,23955,45,235,0,17,15,0.8823529411764706,0.026520559828099977,0,0
REF_0266,REFERENCE_HIGH_DRIVE,high_drive,910002,0,dispersed_slots,2268,14,discovery,1708,432,0,215,0,0,0,,,0,0
REF_0267,REFERENCE_HIGH_DRIVE,high_drive,910002,1,localized_ledger_cells,3402,21,discovery,12864,36619,34,358,0,20,14,0.7,0.03228698773858696,0,0
REF_0268,REFERENCE_HIGH_DRIVE,high_drive,910002,1,dispersed_slots,3402,21,discovery,9632,1631,4,338,2,2,2,1.0,0.2565336183932061,0,0
REF_0269,REFERENCE_HIGH_DRIVE,high_drive,910002,2,localized_ledger_cells,5346,33,discovery,56292,61149,62,565,0,29,24,0.8275862068965517,0.03990152870676411,0,0
REF_0270,REFERENCE_HIGH_DRIVE,high_drive,910002,2,dispersed_slots,5346,33,discovery,46787,5959,6,554,2,4,4,1.0,0.4742838779070979,0,0
REF_0271,REFERENCE_HIGH_DRIVE,high_drive,910002,3,localized_ledger_cells,9072,56,discovery,255674,134243,67,961,0,47,40,0.851063829787234,0.0736622244336047,0,0
REF_0272,REFERENCE_HIGH_DRIVE,high_drive,910002,3,dispersed_slots,9072,56,discovery,219161,26960,16,951,0,16,16,1.0,0.09109428404011055,0,0
REF_0273,REFERENCE_HIGH_DRIVE,high_drive,910003,0,localized_ledger_cells,2268,14,validation,3364,24205,29,239,0,13,10,0.7692307692307693,0.03525706046025334,0,0
REF_0274,REFERENCE_HIGH_DRIVE,high_drive,910003,0,dispersed_slots,2268,14,validation,1681,420,2,211,1,1,0,0.0,-0.04515480842923125,0,0
REF_0275,REFERENCE_HIGH_DRIVE,high_drive,910003,1,localized_ledger_cells,3402,21,validation,16210,35717,66,345,0,33,24,0.7272727272727273,0.038542742150667664,0,0
REF_0276,REFERENCE_HIGH_DRIVE,high_drive,910003,1,dispersed_slots,3402,21,validation,9487,1562,4,334,1,3,3,1.0,0.0688575790462096,0,0
REF_0277,REFERENCE_HIGH_DRIVE,high_drive,910003,2,localized_ledger_cells,5346,33,validation,58147,59353,60,568,0,26,19,0.7307692307692307,0.017637301661636684,0,0
REF_0278,REFERENCE_HIGH_DRIVE,high_drive,910003,2,dispersed_slots,5346,33,validation,46304,5824,7,548,1,6,6,1.0,0.22108124990124622,0,0
REF_0279,REFERENCE_HIGH_DRIVE,high_drive,910003,3,localized_ledger_cells,9072,56,validation,257942,132403,86,972,0,36,27,0.75,0.03635700221532545,0,0
REF_0280,REFERENCE_HIGH_DRIVE,high_drive,910003,3,dispersed_slots,9072,56,validation,218902,26673,11,956,1,9,9,1.0,0.022486881388033453,0,0
REF_0281,REFERENCE_HIGH_DRIVE,high_drive,910004,0,localized_ledger_cells,2268,14,final,4075,23829,53,227,0,25,20,0.8,0.05673900351362704,0,0
REF_0282,REFERENCE_HIGH_DRIVE,high_drive,910004,0,dispersed_slots,2268,14,final,1723,410,0,210,0,0,0,,,0,0
REF_0283,REFERENCE_HIGH_DRIVE,high_drive,910004,1,localized_ledger_cells,3402,21,final,10638,35484,84,349,0,29,25,0.8620689655172413,0.03110035081994056,0,0
REF_0284,REFERENCE_HIGH_DRIVE,high_drive,910004,1,dispersed_slots,3402,21,final,9578,1597,1,336,1,0,0,,,0,0
REF_0285,REFERENCE_HIGH_DRIVE,high_drive,910004,2,localized_ledger_cells,5346,33,final,65005,60724,93,562,0,32,23,0.71875,0.022406387716529252,0,0
REF_0286,REFERENCE_HIGH_DRIVE,high_drive,910004,2,dispersed_slots,5346,33,final,46877,5932,2,553,1,1,1,1.0,0.06265250364543817,0,0
REF_0287,REFERENCE_HIGH_DRIVE,high_drive,910004,3,localized_ledger_cells,9072,56,final,299189,130981,69,976,0,32,26,0.8125,0.05292605580824272,0,0
REF_0288,REFERENCE_HIGH_DRIVE,high_drive,910004,3,dispersed_slots,9072,56,final,219471,26842,10,958,0,10,10,1.0,0.0882860960924603,0,0
