scenario_id,seed,door,anchor,p_level,geometry,carrier_atom_index,tau_escape,tau_closure,dual,margin,escape_before_closure
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,987,1.1816654437782717,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,988,1.018628510091773,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,989,1.1137610365527308,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1134,1.103154057851313,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1135,1.0677982493728138,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1136,1.0182693840808525,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1137,1.091699841693739,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1138,1.085044214044487,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1139,1.006910230922088,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1140,1.1786602966973732,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1141,1.1441717393681614,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1142,1.1661866679609574,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1143,1.018142374997197,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1144,1.0736232893561777,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1145,1.0961039653089273,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1146,1.0748026557824488,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1147,1.2085196879883,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1148,1.0400696711995039,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1149,1.096711070319472,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1150,1.0887903887445844,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1151,1.064638161691775,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1296,1.0595554262976208,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1297,1.019218883634423,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1298,1.200562068958206,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1299,1.0077279300313222,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1300,1.2074070373428896,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1301,1.0070199788715257,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1302,1.1684115367757926,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1303,1.0350505551150917,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1304,1.2185704163946554,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1305,1.0468517072335572,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1306,1.0404954270725995,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1307,1.1218221145149272,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1308,1.0096486966375409,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1309,1.133459305555462,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1310,1.0175981446404165,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1311,1.1153716289128255,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1312,1.0221211157005854,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1313,1.004274930971249,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1458,1.000970699121794,1.1374406153006618,True,0.13646991617886783,True
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1459,1.0672455711790718,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1460,1.0612345328107295,1.5056985867653196,True,0.4444640539545901,True
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1461,1.0184185375939165,1.0021975057876062,True,-0.016221031806310293,False
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1462,1.029339304590124,1.106593940813056,True,0.07725463622293205,True
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1463,1.0793427170055025,1.0819215589526578,True,0.002578841947155297,True
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1464,1.00433752406623,1.0395750389417486,True,0.03523751487551863,True
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1465,1.0191036750243967,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1466,1.039605447171212,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1467,1.0084823403653473,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1468,1.002326754750797,1.0899775730252514,True,0.08765081827445442,True
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1469,1.0446326312476657,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1470,1.0202662720422069,1.042019165154997,True,0.02175289311279016,True
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1471,1.0025630689452072,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1472,1.060377187707033,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1473,1.054243412830786,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1474,1.0336314227209726,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1475,1.0748009353693675,1.0267345065867488,True,-0.048066428782618686,False
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1620,1.010919854809643,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1621,1.0030608074250011,1.0078780055543035,True,0.004817198129302369,True
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1622,1.184413195824206,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1623,1.0097477132673163,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1624,1.107221207842926,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1625,1.130302582763207,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1626,1.041064264395871,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1627,1.0159663330383495,1.0104273703935434,True,-0.0055389626448061335,False
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1628,1.0177070991161798,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1629,1.0002980404755277,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1630,1.0160830912469265,1.0716133663326701,True,0.0555302750857436,True
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1631,1.0631463273214337,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1632,1.0018941035599056,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1633,1.0743115586421794,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1634,1.2634992784519596,1.053925447025435,True,-0.20957383142652475,False
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1635,1.0183421665907275,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1636,1.2211641315964954,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1637,1.085448267908717,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1782,1.0004697982206068,1.4191716436343853,True,0.41870184541377853,True
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1783,1.038799943436615,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1784,1.0125401858398817,1.0104878243205206,True,-0.0020523615193610567,False
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1785,1.0007476200135983,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1786,1.1594836982005603,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1787,1.0077316525307225,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1788,1.0748783279699836,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1789,1.238836306518536,1.0186810451800028,True,-0.22015526133853314,False
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1790,1.100967308250759,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1791,1.0058950216004376,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1792,1.155137710943805,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1793,1.0471477884369023,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1794,1.0139778887072026,1.0543759594642523,True,0.04039807075704971,True
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1795,1.07209415800655,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1796,1.0131580566570761,1.2148982794277146,True,0.2017402227706384,True
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1797,1.1076394677335344,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1798,1.0299390844071041,1.0286642874871887,True,-0.0012747969199153886,False
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1799,1.1286780845217805,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1944,1.0105737883214232,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1945,1.002890228989898,1.0311690357930985,True,0.028278806803200496,True
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1946,1.0144151125642082,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1947,1.0670338129571775,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1948,1.0026752450524299,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1949,1.0556195236143964,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1950,1.0044185988932242,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1951,1.0064299464806226,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1952,1.017939279900716,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1953,1.0023441880457966,1.0747367112802948,True,0.07239252323449819,True
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1954,1.0024605513276441,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1955,1.0819735366045364,1.0181044338748535,True,-0.06386910272968294,False
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1956,1.1137157454202935,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1957,1.0111222527856825,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1958,1.0258360313332133,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1959,1.0072174560820457,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1960,1.0137249419656058,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,1961,1.1089085876496512,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,2106,1.127194576658539,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,2107,1.0543572640091412,1.0438167222937267,True,-0.01054054171541452,False
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,2108,1.0073506101062577,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,2109,1.002103677245529,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,2110,1.00451132322182,1.070736524441358,True,0.06622520121953812,True
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,2111,1.0122548780815208,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,2112,1.0002521506368254,1.426967297680008,True,0.4267151470431827,True
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,2113,1.1253963707662962,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,2114,1.0326064140914326,1.0584645244903612,True,0.025858110398928602,True
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,2115,1.1172509727330038,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,2116,1.0634433471316385,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,2117,1.03874919865207,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,2118,1.0245060220394606,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,2119,1.0023338676902966,1.0442704056986116,True,0.04193653800831498,True
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,2120,1.068157541063485,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,2121,1.0004438953655068,1.583496450077078,True,0.5830525547115712,True
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,2122,1.0983339297088008,,False,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,2123,1.0182540760300043,1.0172906230708776,True,-0.0009634529591266983,False
REF_0002,910001,discovery,low_drive,0,dispersed_slots,0,1.0085922396244342,,False,,
REF_0002,910001,discovery,low_drive,0,dispersed_slots,1,1.0012618805782978,,False,,
REF_0002,910001,discovery,low_drive,0,dispersed_slots,2,1.0007810684534064,,False,,
REF_0002,910001,discovery,low_drive,0,dispersed_slots,3,1.0016800276791713,,False,,
REF_0002,910001,discovery,low_drive,0,dispersed_slots,4,1.0098376806637788,,False,,
REF_0002,910001,discovery,low_drive,0,dispersed_slots,5,1.0015913910565786,,False,,
REF_0002,910001,discovery,low_drive,0,dispersed_slots,6,1.0026181359378796,,False,,
REF_0002,910001,discovery,low_drive,0,dispersed_slots,7,1.0036927139200458,,False,,
REF_0002,910001,discovery,low_drive,0,dispersed_slots,8,1.0009151126748606,,False,,
REF_0002,910001,discovery,low_drive,0,dispersed_slots,9,1.001316110136699,,False,,
REF_0002,910001,discovery,low_drive,0,dispersed_slots,10,1.0046733495862128,,False,,
REF_0002,910001,discovery,low_drive,0,dispersed_slots,11,1.0029874178600409,,False,,
REF_0002,910001,discovery,low_drive,0,dispersed_slots,12,1.0452640855250337,,False,,
REF_0002,910001,discovery,low_drive,0,dispersed_slots,13,1.0021114714640333,,False,,
REF_0002,910001,discovery,low_drive,0,dispersed_slots,14,1.0030855599220132,,False,,
