scenario_id,history_code,expected,observed,matched
REF_0142,111,824,824,True
REF_0143,001,4837,4837,True
REF_0143,010,253342,253342,True
REF_0143,011,3669,3669,True
REF_0143,100,1499,1499,True
REF_0143,101,120,120,True
REF_0143,110,124413,124413,True
REF_0143,111,20480,20480,True
REF_0144,001,1803,1803,True
REF_0144,010,217971,217971,True
REF_0144,011,1876,1876,True
REF_0144,100,140,140,True
REF_0144,101,23,23,True
REF_0144,110,25182,25182,True
REF_0144,111,2945,2945,True
REF_0145,001,37,37,True
REF_0145,010,3293,3293,True
REF_0145,011,156,156,True
REF_0145,100,895,895,True
REF_0145,101,40,40,True
REF_0145,110,22904,22904,True
REF_0145,111,3396,3396,True
REF_0146,001,25,25,True
REF_0146,010,1671,1671,True
REF_0146,011,15,15,True
REF_0146,100,37,37,True
REF_0146,101,2,2,True
REF_0146,110,379,379,True
REF_0146,111,68,68,True
REF_0147,001,77,77,True
REF_0147,010,16042,16042,True
REF_0147,011,308,308,True
REF_0147,100,1227,1227,True
REF_0147,101,93,93,True
REF_0147,110,33519,33519,True
REF_0147,111,5297,5297,True
REF_0148,001,109,109,True
REF_0148,010,9440,9440,True
REF_0148,011,70,70,True
REF_0148,100,68,68,True
REF_0148,101,4,4,True
REF_0148,110,1430,1430,True
REF_0148,111,230,230,True
REF_0149,001,180,180,True
REF_0149,010,57445,57445,True
REF_0149,011,1183,1183,True
REF_0149,100,1090,1090,True
REF_0149,101,101,101,True
REF_0149,110,55308,55308,True
REF_0149,111,9381,9381,True
REF_0150,001,506,506,True
REF_0150,010,46046,46046,True
REF_0150,011,424,424,True
REF_0150,100,132,132,True
REF_0150,101,7,7,True
REF_0150,110,5335,5335,True
REF_0150,111,828,828,True
REF_0151,001,462,462,True
REF_0151,010,255344,255344,True
REF_0151,011,4105,4105,True
REF_0151,100,1642,1642,True
REF_0151,101,120,120,True
REF_0151,110,122741,122741,True
REF_0151,111,20380,20380,True
REF_0152,001,1832,1832,True
REF_0152,010,217720,217720,True
REF_0152,011,1873,1873,True
REF_0152,100,212,212,True
REF_0152,101,18,18,True
REF_0152,110,24960,24960,True
REF_0152,111,2848,2848,True
REF_0153,001,39,39,True
REF_0153,010,4001,4001,True
REF_0153,011,147,147,True
REF_0153,100,1125,1125,True
REF_0153,101,75,75,True
REF_0153,110,22434,22434,True
REF_0153,111,3555,3555,True
REF_0154,001,46,46,True
REF_0154,010,1719,1719,True
REF_0154,011,9,9,True
REF_0154,100,20,20,True
REF_0154,101,0,0,True
REF_0154,110,367,367,True
REF_0154,111,69,69,True
REF_0155,001,72,72,True
REF_0155,010,10484,10484,True
REF_0155,011,291,291,True
REF_0155,100,1339,1339,True
REF_0155,101,127,127,True
REF_0155,110,33131,33131,True
REF_0155,111,5740,5740,True
REF_0156,001,127,127,True
REF_0156,010,9545,9545,True
REF_0156,011,66,66,True
REF_0156,100,36,36,True
REF_0156,101,1,1,True
REF_0156,110,1457,1457,True
REF_0156,111,221,221,True
REF_0157,001,712,712,True
REF_0157,010,64235,64235,True
REF_0157,011,1260,1260,True
REF_0157,100,1294,1294,True
REF_0157,101,126,126,True
REF_0157,110,56808,56808,True
REF_0157,111,9100,9100,True
REF_0158,001,571,571,True
REF_0158,010,46613,46613,True
REF_0158,011,469,469,True
REF_0158,100,68,68,True
REF_0158,101,2,2,True
REF_0158,110,5419,5419,True
REF_0158,111,856,856,True
REF_0159,001,3687,3687,True
REF_0159,010,296434,296434,True
REF_0159,011,4360,4360,True
REF_0159,100,1517,1517,True
REF_0159,101,103,103,True
REF_0159,110,122151,122151,True
REF_0159,111,18476,18476,True
REF_0160,001,1798,1798,True
REF_0160,010,218343,218343,True
REF_0160,011,1850,1850,True
REF_0160,100,127,127,True
REF_0160,101,13,13,True
REF_0160,110,25143,25143,True
REF_0160,111,2829,2829,True
REF_0257,001,34,34,True
REF_0257,010,3446,3446,True
REF_0257,011,82,82,True
REF_0257,100,986,986,True
REF_0257,101,60,60,True
REF_0257,110,23496,23496,True
REF_0257,111,2570,2570,True
REF_0258,001,20,20,True
REF_0258,010,1747,1747,True
REF_0258,011,5,5,True
REF_0258,100,30,30,True
REF_0258,101,2,2,True
REF_0258,110,454,454,True
REF_0258,111,24,24,True
REF_0259,001,61,61,True
REF_0259,010,12621,12621,True
REF_0259,011,152,152,True
REF_0259,100,1278,1278,True
REF_0259,101,94,94,True
REF_0259,110,35402,35402,True
REF_0259,111,3538,3538,True
REF_0260,001,77,77,True
REF_0260,010,9886,9886,True
REF_0260,011,26,26,True
REF_0260,100,63,63,True
REF_0260,101,2,2,True
REF_0260,110,1660,1660,True
REF_0260,111,90,90,True
REF_0261,001,173,173,True
REF_0261,010,54032,54032,True
REF_0261,011,372,372,True
REF_0261,100,1277,1277,True
REF_0261,101,58,58,True
REF_0261,110,61903,61903,True
REF_0261,111,5652,5652,True
REF_0262,001,303,303,True
REF_0262,010,47054,47054,True
REF_0262,011,165,165,True
REF_0262,100,115,115,True
REF_0262,101,2,2,True
REF_0262,110,5875,5875,True
REF_0262,111,337,337,True
REF_0263,001,1149,1149,True
REF_0263,010,269579,269579,True
REF_0263,011,1522,1522,True
REF_0263,100,4081,4081,True
REF_0263,101,159,159,True
REF_0263,110,128703,128703,True
REF_0263,111,10371,10371,True
REF_0264,001,1091,1091,True
REF_0264,010,219428,219428,True
REF_0264,011,703,703,True
REF_0264,100,203,203,True
REF_0264,101,17,17,True
REF_0264,110,26814,26814,True
REF_0264,111,1121,1121,True
REF_0265,001,27,27,True
REF_0265,010,3673,3673,True
REF_0265,011,74,74,True
REF_0265,100,935,935,True
REF_0265,101,45,45,True
REF_0265,110,23955,23955,True
REF_0265,111,1989,1989,True
REF_0266,001,27,27,True
REF_0266,010,1708,1708,True
REF_0266,011,5,5,True
REF_0266,100,20,20,True
REF_0266,101,0,0,True
REF_0266,110,432,432,True
REF_0266,111,40,40,True
REF_0267,001,251,251,True
REF_0267,010,12864,12864,True
REF_0267,011,180,180,True
REF_0267,100,868,868,True
REF_0267,101,34,34,True
REF_0267,110,36619,36619,True
REF_0267,111,3316,3316,True
REF_0268,001,95,95,True
REF_0268,010,9632,9632,True
REF_0268,011,26,26,True
REF_0268,100,32,32,True
REF_0268,101,4,4,True
REF_0268,110,1631,1631,True
REF_0268,111,89,89,True
REF_0269,001,726,726,True
REF_0269,010,56292,56292,True
REF_0269,011,306,306,True
REF_0269,100,1148,1148,True
REF_0269,101,62,62,True
REF_0269,110,61149,61149,True
REF_0269,111,5275,5275,True
REF_0270,001,310,310,True
REF_0270,010,46787,46787,True
REF_0270,011,178,178,True
REF_0270,100,66,66,True
REF_0270,101,6,6,True
REF_0270,110,5959,5959,True
REF_0270,111,330,330,True
REF_0271,001,3027,3027,True
REF_0271,010,255674,255674,True
REF_0271,011,1337,1337,True
REF_0271,100,1552,1552,True
REF_0271,101,67,67,True
REF_0271,110,134243,134243,True
REF_0271,111,10650,10650,True
REF_0272,001,1005,1005,True
REF_0272,010,219161,219161,True
REF_0272,011,686,686,True
REF_0272,100,147,147,True
REF_0272,101,16,16,True
REF_0272,110,26960,26960,True
REF_0272,111,1167,1167,True
REF_0273,001,24,24,True
REF_0273,010,3364,3364,True
REF_0273,011,85,85,True
REF_0273,100,906,906,True
REF_0273,101,29,29,True
REF_0273,110,24205,24205,True
REF_0273,111,2095,2095,True
REF_0274,001,16,16,True
REF_0274,010,1681,1681,True
REF_0274,011,5,5,True
REF_0274,100,37,37,True
REF_0274,101,2,2,True
REF_0274,110,420,420,True
REF_0274,111,27,27,True
REF_0275,001,53,53,True
REF_0275,010,16210,16210,True
REF_0275,011,140,140,True
REF_0275,100,1254,1254,True
REF_0275,101,66,66,True
REF_0275,110,35717,35717,True
REF_0275,111,3099,3099,True
REF_0276,001,67,67,True
REF_0276,010,9487,9487,True
REF_0276,011,23,23,True
REF_0276,100,68,68,True
REF_0276,101,4,4,True
REF_0276,110,1562,1562,True
REF_0276,111,98,98,True
REF_0277,001,112,112,True
REF_0277,010,58147,58147,True
REF_0277,011,481,481,True
REF_0277,100,1131,1131,True
REF_0277,101,60,60,True
REF_0277,110,59353,59353,True
REF_0277,111,5336,5336,True
REF_0278,001,304,304,True
REF_0278,010,46304,46304,True
REF_0278,011,166,166,True
REF_0278,100,132,132,True
REF_0278,101,7,7,True
REF_0278,110,5824,5824,True
REF_0278,111,339,339,True
REF_0279,001,260,260,True
REF_0279,010,257942,257942,True
REF_0279,011,1507,1507,True
REF_0279,100,1676,1676,True
REF_0279,101,86,86,True
REF_0279,110,132403,132403,True
REF_0279,111,10718,10718,True
REF_0280,001,1018,1018,True
REF_0280,010,218902,218902,True
REF_0280,011,691,691,True
REF_0280,100,219,219,True
REF_0280,101,11,11,True
REF_0280,110,26673,26673,True
REF_0280,111,1135,1135,True
REF_0281,001,19,19,True
REF_0281,010,4075,4075,True
REF_0281,011,73,73,True
REF_0281,100,1147,1147,True
REF_0281,101,53,53,True
REF_0281,110,23829,23829,True
REF_0281,111,2160,2160,True
REF_0282,001,29,29,True
REF_0282,010,1723,1723,True
REF_0282,011,5,5,True
REF_0282,100,20,20,True
REF_0282,101,0,0,True
REF_0282,110,410,410,True
REF_0282,111,26,26,True
REF_0283,001,41,41,True
REF_0283,010,10638,10638,True
REF_0283,011,137,137,True
REF_0283,100,1382,1382,True
REF_0283,101,84,84,True
REF_0283,110,35484,35484,True
REF_0283,111,3387,3387,True
REF_0284,001,61,61,True
REF_0284,010,9578,9578,True
REF_0284,011,33,33,True
REF_0284,100,36,36,True
REF_0284,101,1,1,True
REF_0284,110,1597,1597,True
REF_0284,111,81,81,True
REF_0285,001,365,365,True
REF_0285,010,65005,65005,True
REF_0285,011,490,490,True
REF_0285,100,1327,1327,True
REF_0285,101,93,93,True
REF_0285,110,60724,60724,True
REF_0285,111,5184,5184,True
REF_0286,001,332,332,True
REF_0286,010,46877,46877,True
REF_0286,011,205,205,True
REF_0286,100,68,68,True
REF_0286,101,2,2,True
REF_0286,110,5932,5932,True
REF_0286,111,343,343,True
REF_0287,001,1992,1992,True
REF_0287,010,299189,299189,True
REF_0287,011,1605,1605,True
REF_0287,100,1551,1551,True
REF_0287,101,69,69,True
REF_0287,110,130981,130981,True
REF_0287,111,9646,9646,True
REF_0288,001,1074,1074,True
REF_0288,010,219471,219471,True
REF_0288,011,722,722,True
REF_0288,100,130,130,True
REF_0288,101,10,10,True
REF_0288,110,26842,26842,True
REF_0288,111,1130,1130,True
