ell,Dl_planck,sigma_planck,Dl_SAM_theory,residual,z_score
1940,-2.463516e+01,1.076382e+02,1.063995e+01,3.527511e+01,0.3277
1941,-9.154475e+01,1.079555e+02,1.060497e+01,1.021497e+02,0.9462
1942,1.639397e+02,1.082737e+02,1.056928e+01,-1.533704e+02,-1.4165
1943,3.505431e+01,1.085928e+02,1.053289e+01,-2.452142e+01,-0.2258
1944,5.676968e+01,1.089129e+02,1.049580e+01,-4.627388e+01,-0.4249
1945,9.429894e+01,1.092340e+02,1.045802e+01,-8.384093e+01,-0.7675
1946,-7.690698e+01,1.095559e+02,1.041954e+01,8.732652e+01,0.7971
1947,-5.274919e+01,1.098788e+02,1.038046e+01,6.312965e+01,0.5745
1948,2.648388e+02,1.102027e+02,1.034070e+01,-2.544981e+02,-2.3094
1949,-2.807679e+01,1.105276e+02,1.030033e+01,3.837713e+01,0.3472
1950,1.499323e+02,1.108534e+02,1.025930e+01,-1.396730e+02,-1.2600
1951,-1.410829e+02,1.111801e+02,1.021766e+01,1.513006e+02,1.3609
1952,-1.003845e+02,1.115078e+02,1.017543e+01,1.105600e+02,0.9915
1953,-5.221504e+00,1.118365e+02,1.013267e+01,1.535418e+01,0.1373
1954,-1.432267e+02,1.121662e+02,1.008938e+01,1.533161e+02,1.3669
1955,-1.922270e+02,1.124968e+02,1.004549e+01,2.022725e+02,1.7980
1956,2.869515e+00,1.128284e+02,1.000105e+01,7.131532e+00,0.0632
1957,-3.982312e+01,1.131610e+02,9.956140e+00,4.977926e+01,0.4399
1958,-7.932828e+01,1.134946e+02,9.910760e+00,8.923904e+01,0.7863
1959,7.185552e+01,1.138292e+02,9.864903e+00,-6.199061e+01,-0.5446
1960,-1.802701e+01,1.141648e+02,9.818489e+00,2.784550e+01,0.2439
1961,-1.425796e+02,1.145014e+02,9.771664e+00,1.523512e+02,1.3306
1962,-1.961675e+02,1.148390e+02,9.724422e+00,2.058919e+02,1.7929
1963,4.618047e+01,1.151775e+02,9.676684e+00,-3.650379e+01,-0.3169
1964,1.707549e+02,1.155171e+02,9.628521e+00,-1.611263e+02,-1.3948
1965,5.322010e+01,1.158577e+02,9.579926e+00,-4.364018e+01,-0.3767
1966,9.318273e+01,1.161994e+02,9.530970e+00,-8.365176e+01,-0.7199
1967,5.395400e+01,1.165420e+02,9.481573e+00,-4.447243e+01,-0.3816
1968,1.077472e+02,1.168856e+02,9.431879e+00,-9.831530e+01,-0.8411
1969,-5.341377e+01,1.172303e+02,9.381735e+00,6.279551e+01,0.5357
1970,9.743522e+01,1.175760e+02,9.331357e+00,-8.810386e+01,-0.7493
1971,1.596672e+02,1.179228e+02,9.280666e+00,-1.503866e+02,-1.2753
1972,1.328250e+00,1.182706e+02,9.229657e+00,7.901407e+00,0.0668
1973,8.632506e+01,1.186194e+02,9.178325e+00,-7.714674e+01,-0.6504
1974,3.562454e+01,1.189693e+02,9.126739e+00,-2.649780e+01,-0.2227
1975,-4.069326e+00,1.193202e+02,9.074893e+00,1.314422e+01,0.1102
1976,1.215296e+01,1.196722e+02,9.022857e+00,-3.130099e+00,-0.0262
1977,5.341816e+01,1.200252e+02,8.970549e+00,-4.444761e+01,-0.3703
1978,9.710784e+01,1.203793e+02,8.917966e+00,-8.818987e+01,-0.7326
1979,-1.091801e+02,1.207345e+02,8.865324e+00,1.180454e+02,0.9777
1980,1.779480e+02,1.210907e+02,8.812395e+00,-1.691356e+02,-1.3968
1981,-7.030293e+01,1.214480e+02,8.759397e+00,7.906232e+01,0.6510
1982,-2.440201e+01,1.218064e+02,8.706249e+00,3.310825e+01,0.2718
1983,-1.785636e+01,1.221659e+02,8.652946e+00,2.650930e+01,0.2170
1984,-9.440102e+01,1.225264e+02,8.599631e+00,1.030006e+02,0.8406
1985,1.379291e+02,1.228881e+02,8.546224e+00,-1.293829e+02,-1.0529
1986,2.926881e+02,1.232508e+02,8.492720e+00,-2.841954e+02,-2.3058
1987,-8.139555e+01,1.236148e+02,8.439261e+00,8.983481e+01,0.7267
1988,-1.997457e+01,1.239797e+02,8.385769e+00,2.836034e+01,0.2287
1989,6.995428e+01,1.243459e+02,8.332311e+00,-6.162197e+01,-0.4956
1990,4.456469e+01,1.247130e+02,8.278809e+00,-3.628588e+01,-0.2910
1991,2.843047e+00,1.250815e+02,8.225404e+00,5.382357e+00,0.0430
1992,-9.972375e+01,1.254509e+02,8.172018e+00,1.078958e+02,0.8601
1993,1.271423e+01,1.258296e+02,8.118719e+00,-4.595514e+00,-0.0365
1994,1.744412e+02,1.262013e+02,8.065576e+00,-1.663756e+02,-1.3183
1995,-2.521880e+02,1.266769e+02,8.012510e+00,2.602005e+02,2.0540
1996,-1.830106e+02,1.270511e+02,7.959515e+00,1.909702e+02,1.5031
