Z,symbol,name,PARTICLE,MATTER,ELEMENT,GRAVITY,CLOCK,ACTION,XOR_signature,SUM_signature
69,Tm,Thulium,235,166,69,69,0,1,76,540
70,Yb,Ytterbium,239,169,70,70,0,0,70,548
71,Lu,Lutetium,242,171,71,71,0,7,94,562
72,Hf,Hafnium,246,174,72,72,0,0,88,564
73,Ta,Tantalum,255,182,73,73,0,7,78,590
74,W,Tungsten,259,185,74,74,0,0,442,592
75,Re,Rhenium,262,187,75,75,0,5,440,604
76,Os,Osmium,266,190,76,76,0,0,436,608
77,Ir,Iridium,269,192,77,77,0,3,462,618
78,Pt,Platinum,273,195,78,78,0,1,467,625
79,Au,Gold,276,197,79,79,0,3,466,634
80,Hg,Mercury,280,200,80,80,0,1,465,641
81,Tl,Thallium,283,202,81,81,0,1,464,648
82,Pb,Lead,287,205,82,82,0,0,466,656
83,Bi,Bismuth,290,207,83,83,0,9,484,672
84,Po,Polonium,294,210,84,84,1,0,501,673
85,At,Astatine,304,219,85,85,1,9,483,703
86,Rn,Radon,308,222,86,86,1,0,491,703
87,Fr,Francium,311,224,87,87,1,1,471,711
88,Ra,Radium,315,227,88,88,1,0,473,719
89,Ac,Actinium,318,229,89,89,1,3,473,729
90,Th,Thorium,322,232,90,90,1,0,427,735
91,Pa,Protactinium,326,235,91,91,1,3,431,747
92,U,Uranium,329,237,92,92,1,0,421,751
93,Np,Neptunium,333,240,93,93,1,5,441,765
94,Pu,Plutonium,336,242,94,94,1,0,419,767
95,Am,Americium,340,245,95,95,1,5,421,781
96,Cm,Curium,344,248,96,96,1,0,417,785
97,Bk,Berkelium,355,258,97,97,1,3,99,811
98,Cf,Californium,359,261,98,98,1,0,99,817
99,Es,Einsteinium,363,264,99,99,1,7,101,833
100,Fm,Fermium,366,266,100,100,1,0,101,833
101,Md,Mendelevium,370,269,101,101,1,9,119,851
102,No,Nobelium,374,272,102,102,1,0,103,851
103,Lr,Lawrencium,377,274,103,103,1,0,106,858
104,Rf,Rutherfordium,381,277,104,104,1,0,105,867
105,Db,Dubnium,385,280,105,105,1,0,152,876
106,Sg,Seaborgium,388,282,106,106,1,0,159,883
107,Bh,Bohrium,392,285,107,107,1,0,148,892
108,Hs,Hassium,396,288,108,108,1,0,173,901
109,Mt,Meitnerium,408,299,109,109,1,0,178,926
110,Ds,Darmstadtium,412,302,110,110,1,0,179,935
111,Rg,Roentgenium,416,305,111,111,1,0,144,944
112,Cn,Copernicium,420,308,112,112,1,0,145,953
113,Nh,Nihonium,423,310,113,113,1,0,144,960
114,Fl,Flerovium,427,313,114,114,1,0,147,969
115,Mc,Moscovium,431,316,115,115,1,0,146,978
116,Lv,Livermorium,435,319,116,116,1,0,141,987
117,Ts,Tennessine,438,321,117,117,1,0,246,994
118,Og,Oganesson,442,324,118,118,1,0,255,1003
119,,,446,327,119,119,0,0,249,1011
120,,,450,330,120,120,0,0,136,1020
121,,,463,342,121,121,0,0,153,1047
122,,,467,345,122,122,0,0,138,1056
123,,,471,348,123,123,0,0,139,1065
124,,,475,351,124,124,0,0,132,1074
125,,,479,354,125,125,0,0,189,1083
126,,,483,357,126,126,0,0,134,1092
