source,path,status,sha256
CR021,07_BARYON_INVENTORY_AND_COSMOLOGY/CR021_PLANCK_LITE_CMB_DENSITY_AND_BBN_CONTACT/CR021_summary.json,BOUNDARY_PASS,b7be003ea4edf7c55959a778b7e727a566c8ae5f7c2901211342bfc9f4297603
CR022,07_BARYON_INVENTORY_AND_COSMOLOGY/CR022_PRECISION_CMB_EXTENSION_FROM_sam_precision_cmb/CR022_summary.json,BOUNDARY_PASS,ad6f9f48c24f67a5a3286d0311f0f2f1e3134c141a792b31e60cad2f74dd2842
CR023,07_BARYON_INVENTORY_AND_COSMOLOGY/CR023_BARYON_COSMOLOGY_BRANCH_VERDICT/CR023_summary.json,BOUNDARY_PASS,118e924d2c3b57fbcae5dfe17b3b76ba251ad27da27bcd126057badd7c8e7de1
G310,07_BARYON_INVENTORY_AND_COSMOLOGY/_source_artifacts/summaries/G310_output.json,UNKNOWN,611f13b2f9981cf517a73e5153d0a80cfc70267905fe6fcdd180cea7da08264c
G312,07_BARYON_INVENTORY_AND_COSMOLOGY/_source_artifacts/summaries/G312_output.json,UNKNOWN,2c9f7edb777ac0a546e784d80db79f05a6a5d80a5df75297d8dc336b097740ee
G313,07_BARYON_INVENTORY_AND_COSMOLOGY/_source_artifacts/summaries/G313_output.json,UNKNOWN,a64f59cb4db72f70411af5c5a286e660c20a7afe11de7c6222349ded8cf2be46
QP092H,upstream_artifacts/qp092/qp092h_baryon_cmb_carrier_gate/qp092h_summary.json,PASS_QP092H_BARYON_INVENTORY_CMB_CARRIER_COMPRESSION_RULE_GATE__BRANCHES_ADMITTED_ONLY_THROUGH_CARRIER_COMPRESSION__DIRECT_QA_AS_MASS_REJECTED__CMB_SCOPE_BOUNDARIES_PRESERVED,5b8139aa90883b8b3ac210fdad44055fc9cbf23c6f4e16dbef58668a8d2bda49
CR111,14_FOUNDATIONAL_TESTS/CR111_COSMIC_BARYON_OMEGA_B_CLOSURE_APPEAL/CR111_cosmic_baryon_appeal_lock.json,CR111_COSMIC_BARYON_OMEGA_B_STRUCTURAL_CLOSURE_APPEAL_LOCK,82d6913c614be2bd0def5329511ef2094ea134489d70a1cdb855e22dfe84a409
CR114_baryon_bridge,00_governance/CR114_COSMIC_BARYON_BRIDGE_REVEAL/CR114_summary.json,CR114_COSMIC_BARYON_BRIDGE_REVEAL_RETROACTIVELY_SATISFIED_BY_CR018,f503032f082938ddadc75f69783104af80d08cf078fa64e42d29dc177886f978
LC06_runner,16_THE_LAST_CAMPAIGN/LC06_baryon_matter_inventory_replay_runner.py,result-producing runner,164e5bb9fd168a038c27239df3cf156ae631ebfc515c22454d9783135c57f794
LC01_primitive_stack_declared_csv,16_THE_LAST_CAMPAIGN/LC01_primitive_stack_declared.csv,primitive exact values,0d7baaf55074aa760f002b50feb8ff65ed26eca3a2666cf394d8477eef174e58
CR119_matter_table,09a_PARTICLE_MASS_CHAIN/CR119_PARTICLE_MATTER_PERIODIC_VAULT_REVEAL/CR119_courtroom_matter_table.csv,126 rows,e3e48eba9aa81b11447cb76720912a7ed92c7e13844dfab7f94a2e66a79b7b0d
CR119_source_matter_table,09a_PARTICLE_MASS_CHAIN/CR119_PARTICLE_MATTER_PERIODIC_VAULT_REVEAL/source_copies/latest_matter_table.csv,126 rows,966858eef92283027c7d84d2caf1720395e366be8564f09c92856f4045dfdd3f
CR119_particle_table,09a_PARTICLE_MASS_CHAIN/CR119_PARTICLE_MATTER_PERIODIC_VAULT_REVEAL/CR119_courtroom_particle_table.csv,null-conjugate boundary checked,5b937d284d6c0b93a5f875acc5fbf63780fd924c90202743865d845fb1d1fc42
CR119_table_export_summary,09a_PARTICLE_MASS_CHAIN/CR119_PARTICLE_MATTER_PERIODIC_VAULT_REVEAL/source_copies/latest_table_export_summary.json,latest export summary,2b938729cc73b3c01d7400468caab4d811e9d5bf95edef22f52157b340be99dc
CR119_wrong_controls,09a_PARTICLE_MASS_CHAIN/CR119_PARTICLE_MATTER_PERIODIC_VAULT_REVEAL/CR119_wrong_controls.csv,wrong controls,805d9e30ef47e7f3839f862ef922afc4d86fa75041d8def066dca69d5c0ac531
CR119_identity_counts,09a_PARTICLE_MASS_CHAIN/CR119_PARTICLE_MATTER_PERIODIC_VAULT_REVEAL/CR119_identity_counts.csv,identity counts,3cc2119a36e524633fc4c9d6a641ba14af3c01881dda3622b9cd05d35154470d
CR018_derived_rows,07_BARYON_INVENTORY_AND_COSMOLOGY/CR018_A0_CHI_BARYON_INVENTORY_DERIVATION/CR018_derived_rows.csv,baryon derived rows,cdeeade99d077fdd5ec3b4abb6a6ded0cbe535d2d54af269147894f3cba281eb
CR019_inventory_rows,07_BARYON_INVENTORY_AND_COSMOLOGY/CR019_EFFECTIVE_MATTER_INVENTORY_REFINEMENT/CR019_inventory_rows.csv,effective matter inventory rows,3d70e0ab3a2faedcee53e995021cc4f1764a398367523bebba2f532ddbf4f9e6
CR023_component_verdicts,07_BARYON_INVENTORY_AND_COSMOLOGY/CR023_BARYON_COSMOLOGY_BRANCH_VERDICT/CR023_component_verdicts.csv,branch component verdicts,bdedba154ce5a854e5062099d475bc1087e43780088a6805733771a6eb44459e
