ell,Dl_TT_SAM,Dl_TE_SAM,Dl_EE_SAM
332,3.005204e+03,1.100570e+02,1.506503e+01
333,2.974439e+03,1.091767e+02,1.524417e+01
334,2.943926e+03,1.082612e+02,1.542221e+01
335,2.913678e+03,1.073113e+02,1.559900e+01
336,2.883696e+03,1.063270e+02,1.577455e+01
337,2.853987e+03,1.053099e+02,1.594878e+01
338,2.824558e+03,1.042591e+02,1.612162e+01
339,2.795425e+03,1.031761e+02,1.629299e+01
340,2.766593e+03,1.020611e+02,1.646289e+01
341,2.738064e+03,1.009140e+02,1.663110e+01
342,2.709843e+03,9.973475e+01,1.679763e+01
343,2.681940e+03,9.852494e+01,1.696239e+01
344,2.654352e+03,9.728380e+01,1.712524e+01
345,2.627089e+03,9.601209e+01,1.728618e+01
346,2.600156e+03,9.470983e+01,1.744506e+01
347,2.573554e+03,9.337775e+01,1.760189e+01
348,2.547290e+03,9.201588e+01,1.775643e+01
349,2.521378e+03,9.062646e+01,1.790885e+01
350,2.495819e+03,8.920874e+01,1.805898e+01
351,2.470627e+03,8.776422e+01,1.820684e+01
352,2.445810e+03,8.629366e+01,1.835235e+01
353,2.421366e+03,8.479707e+01,1.849544e+01
354,2.397304e+03,8.327668e+01,1.863610e+01
355,2.373638e+03,8.173176e+01,1.877420e+01
356,2.350359e+03,8.016307e+01,1.890974e+01
357,2.327476e+03,7.857135e+01,1.904263e+01
358,2.304996e+03,7.695735e+01,1.917282e+01
359,2.282918e+03,7.532110e+01,1.930015e+01
360,2.261242e+03,7.366406e+01,1.942463e+01
361,2.239975e+03,7.198523e+01,1.954619e+01
362,2.219117e+03,7.028645e+01,1.966475e+01
363,2.198682e+03,6.856834e+01,1.978023e+01
364,2.178656e+03,6.683156e+01,1.989265e+01
365,2.159061e+03,6.507694e+01,2.000193e+01
366,2.139889e+03,6.330530e+01,2.010800e+01
367,2.121147e+03,6.151732e+01,2.021086e+01
368,2.102834e+03,5.971389e+01,2.031036e+01
369,2.084952e+03,5.789576e+01,2.040666e+01
370,2.067514e+03,5.606361e+01,2.049946e+01
371,2.050505e+03,5.421832e+01,2.058898e+01
372,2.033939e+03,5.236057e+01,2.067493e+01
373,2.017811e+03,5.049118e+01,2.075747e+01
374,2.002125e+03,4.861098e+01,2.083651e+01
375,1.986876e+03,4.672055e+01,2.091199e+01
376,1.972070e+03,4.482080e+01,2.098384e+01
377,1.957714e+03,4.291238e+01,2.105205e+01
378,1.943794e+03,4.099606e+01,2.111656e+01
379,1.930323e+03,3.907264e+01,2.117729e+01
380,1.917303e+03,3.714286e+01,2.123424e+01
381,1.904724e+03,3.520741e+01,2.128742e+01
382,1.892595e+03,3.326709e+01,2.133661e+01
383,1.880916e+03,3.132273e+01,2.138203e+01
384,1.869678e+03,2.937521e+01,2.142354e+01
385,1.858881e+03,2.742527e+01,2.146113e+01
386,1.848534e+03,2.547389e+01,2.149489e+01
387,1.838635e+03,2.352179e+01,2.152474e+01
388,1.829169e+03,2.156988e+01,2.155076e+01
389,1.820145e+03,1.961897e+01,2.157287e+01
390,1.811561e+03,1.766987e+01,2.159109e+01
391,1.803417e+03,1.572340e+01,2.160540e+01
392,1.795700e+03,1.378037e+01,2.161574e+01
393,1.788422e+03,1.184151e+01,2.162218e+01
394,1.781570e+03,9.907584e+00,2.162466e+01
395,1.775143e+03,7.979462e+00,2.162310e+01
396,1.769140e+03,6.057881e+00,2.161764e+01
397,1.763555e+03,4.143637e+00,2.160815e+01
398,1.758395e+03,2.237478e+00,2.159470e+01
399,1.753652e+03,3.401855e-01,2.157722e+01
400,1.749325e+03,-1.547477e+00,2.155586e+01
401,1.745416e+03,-3.424753e+00,2.153046e+01
402,1.741915e+03,-5.290882e+00,2.150112e+01
403,1.738823e+03,-7.145133e+00,2.146790e+01
404,1.736141e+03,-8.986726e+00,2.143073e+01
405,1.733852e+03,-1.081493e+01,2.138962e+01
406,1.731957e+03,-1.262907e+01,2.134472e+01
407,1.730455e+03,-1.442829e+01,2.129595e+01
408,1.729339e+03,-1.621186e+01,2.124326e+01
409,1.728595e+03,-1.797907e+01,2.118685e+01
410,1.728236e+03,-1.972913e+01,2.112666e+01
411,1.728233e+03,-2.146153e+01,2.106269e+01
412,1.728600e+03,-2.317549e+01,2.099502e+01
413,1.729330e+03,-2.487052e+01,2.092366e+01
414,1.730416e+03,-2.654589e+01,2.084867e+01
415,1.731843e+03,-2.820103e+01,2.077013e+01
416,1.733624e+03,-2.983538e+01,2.068798e+01
417,1.735739e+03,-3.144814e+01,2.060237e+01
418,1.738194e+03,-3.303883e+01,2.051329e+01
419,1.740973e+03,-3.460671e+01,2.042074e+01
420,1.744086e+03,-3.615123e+01,2.032474e+01
421,1.747516e+03,-3.767174e+01,2.022543e+01
422,1.751255e+03,-3.916753e+01,2.012274e+01
423,1.755313e+03,-4.063802e+01,2.001667e+01
424,1.759673e+03,-4.208264e+01,1.990737e+01
