ell,Dl_planck,sigma_planck,Dl_SAM_theory,residual,z_score
1364,-5.012758e+01,1.815739e+01,-6.107009e+01,-1.094251e+01,-0.6026
1365,-7.034682e+01,1.819024e+01,-6.110800e+01,9.238825e+00,0.5079
1366,-4.504246e+01,1.822311e+01,-6.113236e+01,-1.608990e+01,-0.8829
1367,-6.717706e+01,1.825600e+01,-6.114320e+01,6.033860e+00,0.3305
1368,-4.784583e+01,1.828889e+01,-6.114054e+01,-1.329470e+01,-0.7269
1369,-2.340219e+01,1.832178e+01,-6.112440e+01,-3.772221e+01,-2.0589
1370,-6.319263e+01,1.835465e+01,-6.109487e+01,2.097761e+00,0.1143
1371,-6.475878e+01,1.838750e+01,-6.105199e+01,3.706791e+00,0.2016
1372,-5.551030e+01,1.842032e+01,-6.099576e+01,-5.485452e+00,-0.2978
1373,-5.867223e+01,1.845310e+01,-6.092627e+01,-2.254044e+00,-0.1221
1374,-8.939666e+01,1.848585e+01,-6.084362e+01,2.855304e+01,1.5446
1375,-7.512753e+01,1.851855e+01,-6.074782e+01,1.437971e+01,0.7765
1376,-2.142725e+01,1.855118e+01,-6.063888e+01,-3.921163e+01,-2.1137
1377,-5.749832e+01,1.858376e+01,-6.051697e+01,-3.018652e+00,-0.1624
1378,-5.442043e+01,1.861627e+01,-6.038209e+01,-5.961668e+00,-0.3202
1379,-9.031623e+01,1.864871e+01,-6.023433e+01,3.008190e+01,1.6131
1380,-5.521685e+01,1.868106e+01,-6.007363e+01,-4.856780e+00,-0.2600
1381,-2.004566e+01,1.871334e+01,-5.990020e+01,-3.985454e+01,-2.1297
1382,-4.981722e+01,1.874551e+01,-5.971399e+01,-9.896771e+00,-0.5280
1383,-7.412551e+01,1.877759e+01,-5.951507e+01,1.461044e+01,0.7781
1384,-2.324231e+01,1.880956e+01,-5.930360e+01,-3.606128e+01,-1.9172
1385,-9.311849e-01,1.884143e+01,-5.907972e+01,-5.814853e+01,-3.0862
1386,-6.143013e+01,1.887318e+01,-5.884366e+01,2.586473e+00,0.1370
1387,-9.517647e+01,1.890480e+01,-5.859541e+01,3.658106e+01,1.9350
1388,-6.343899e+01,1.893629e+01,-5.833529e+01,5.103707e+00,0.2695
1389,-2.320254e+01,1.896764e+01,-5.806335e+01,-3.486081e+01,-1.8379
1390,-8.636052e+01,1.899885e+01,-5.777974e+01,2.858078e+01,1.5043
1391,-5.824881e+01,1.902992e+01,-5.748468e+01,7.641332e-01,0.0402
1392,-8.064486e+01,1.906083e+01,-5.717816e+01,2.346670e+01,1.2311
1393,-7.113530e+01,1.909159e+01,-5.686040e+01,1.427490e+01,0.7477
1394,-6.143604e+01,1.912219e+01,-5.653147e+01,4.904570e+00,0.2565
1395,-6.082797e+01,1.915262e+01,-5.619157e+01,4.636396e+00,0.2421
1396,-7.565290e+01,1.918288e+01,-5.584071e+01,1.981219e+01,1.0328
1397,-4.149218e+01,1.921297e+01,-5.547915e+01,-1.398698e+01,-0.7280
1398,-5.177221e+01,1.924289e+01,-5.510690e+01,-3.334688e+00,-0.1733
1399,-1.039567e+02,1.927262e+01,-5.472431e+01,4.923240e+01,2.5545
1400,-4.405612e+01,1.930216e+01,-5.433151e+01,-1.027539e+01,-0.5323
1401,-5.792112e+01,1.933152e+01,-5.392870e+01,3.992414e+00,0.2065
1402,-6.380689e+01,1.936068e+01,-5.351595e+01,1.029094e+01,0.5315
1403,-5.628832e+01,1.938964e+01,-5.309359e+01,3.194733e+00,0.1648
1404,-5.782069e+01,1.941839e+01,-5.266174e+01,5.158944e+00,0.2657
1405,-6.711599e+01,1.944693e+01,-5.222053e+01,1.489546e+01,0.7660
1406,-7.700643e+01,1.947526e+01,-5.177015e+01,2.523628e+01,1.2958
1407,-8.076436e+01,1.950336e+01,-5.131086e+01,2.945350e+01,1.5102
1408,-4.750432e+01,1.953125e+01,-5.084271e+01,-3.338394e+00,-0.1709
1409,-7.045565e+00,1.955891e+01,-5.036597e+01,-4.332040e+01,-2.2149
1410,-5.353286e+01,1.958634e+01,-4.988082e+01,3.652041e+00,0.1865
1411,-6.614407e+01,1.961355e+01,-4.938737e+01,1.675669e+01,0.8543
1412,-7.665848e+01,1.964052e+01,-4.888598e+01,2.777251e+01,1.4140
1413,-1.527906e+01,1.966726e+01,-4.837666e+01,-3.309760e+01,-1.6829
1414,-9.025921e+01,1.969376e+01,-4.785992e+01,4.239930e+01,2.1529
1415,-4.430775e+01,1.972002e+01,-4.733578e+01,-3.028029e+00,-0.1536
1416,-4.567329e+01,1.974603e+01,-4.680457e+01,-1.131287e+00,-0.0573
1417,-5.733763e+01,1.977181e+01,-4.626649e+01,1.107113e+01,0.5599
1418,-2.177962e+01,1.979733e+01,-4.572187e+01,-2.394225e+01,-1.2094
1419,-4.293727e+01,1.982259e+01,-4.517073e+01,-2.233464e+00,-0.1127
1420,-7.165585e+01,1.984760e+01,-4.461349e+01,2.704236e+01,1.3625
1421,-3.362877e+01,1.987236e+01,-4.405032e+01,-1.042155e+01,-0.5244
1422,-6.651534e+01,1.989685e+01,-4.348134e+01,2.303401e+01,1.1577
1423,-4.377898e+01,1.992107e+01,-4.290686e+01,8.721190e-01,0.0438
1424,-4.914489e+01,1.994512e+01,-4.232701e+01,6.817886e+00,0.3418
1425,-6.195882e+01,1.996891e+01,-4.174209e+01,2.021673e+01,1.0124
1426,-4.690220e+01,1.999243e+01,-4.115237e+01,5.749832e+00,0.2876
1427,-3.947148e+01,2.001567e+01,-4.055795e+01,-1.086469e+00,-0.0543
1428,-4.003467e+01,2.003864e+01,-3.995909e+01,7.558088e-02,0.0038
1429,-8.206641e+00,2.006133e+01,-3.935617e+01,-3.114953e+01,-1.5527
1430,-4.779219e+01,2.008375e+01,-3.874923e+01,9.042955e+00,0.4503
1431,-8.972148e+00,2.010589e+01,-3.813867e+01,-2.916652e+01,-1.4506
1432,-3.562893e+01,2.012774e+01,-3.752459e+01,-1.895661e+00,-0.0942
1433,-5.320068e+01,2.014933e+01,-3.690731e+01,1.629336e+01,0.8086
1434,-2.341925e+01,2.017062e+01,-3.628701e+01,-1.286776e+01,-0.6379
1435,-3.135602e+01,2.019163e+01,-3.566401e+01,-4.307991e+00,-0.2134
1436,-2.122212e+01,2.021235e+01,-3.503848e+01,-1.381636e+01,-0.6836
1437,-4.466230e+01,2.023279e+01,-3.441075e+01,1.025155e+01,0.5067
1438,-4.200681e+01,2.025293e+01,-3.378091e+01,8.225902e+00,0.4062
1439,-4.392488e+01,2.027279e+01,-3.314937e+01,1.077552e+01,0.5315
1440,-6.616244e+01,2.029234e+01,-3.251621e+01,3.364623e+01,1.6581
1441,-4.764570e+01,2.031161e+01,-3.188177e+01,1.576393e+01,0.7761
1442,-1.831861e+01,2.033058e+01,-3.124620e+01,-1.292760e+01,-0.6359
1443,-3.696929e+01,2.034924e+01,-3.060977e+01,6.359513e+00,0.3125
1444,-4.259139e+01,2.036762e+01,-2.997279e+01,1.261860e+01,0.6195
1445,-3.888427e+01,2.038569e+01,-2.933536e+01,9.548915e+00,0.4684
1446,-5.412418e+01,2.040348e+01,-2.869772e+01,2.542647e+01,1.2462
1447,-3.951733e+00,2.042096e+01,-2.806027e+01,-2.410853e+01,-1.1806
1448,-4.622495e+01,2.043816e+01,-2.742303e+01,1.880193e+01,0.9199
1449,-5.184580e+01,2.045505e+01,-2.678647e+01,2.505934e+01,1.2251
1450,-4.160251e+01,2.047165e+01,-2.615069e+01,1.545182e+01,0.7548
1451,-7.307459e+00,2.048795e+01,-2.551600e+01,-1.820854e+01,-0.8887
1452,-4.203764e+01,2.050396e+01,-2.488265e+01,1.715499e+01,0.8367
1453,-4.144080e+00,2.051966e+01,-2.425085e+01,-2.010677e+01,-0.9799
1454,-9.602665e+00,2.053507e+01,-2.362086e+01,-1.401819e+01,-0.6826
1455,-2.787189e+01,2.055018e+01,-2.299282e+01,4.879071e+00,0.2374
1456,-3.230562e+01,2.056499e+01,-2.236688e+01,9.938741e+00,0.4833
1457,-1.005479e+01,2.057950e+01,-2.174337e+01,-1.168858e+01,-0.5680
1458,-6.029890e+01,2.059371e+01,-2.112244e+01,3.917646e+01,1.9024
1459,-1.412850e+01,2.060762e+01,-2.050424e+01,-6.375740e+00,-0.3094
1460,-6.956573e+00,2.062124e+01,-1.988909e+01,-1.293252e+01,-0.6271
1461,-5.880426e+01,2.063455e+01,-1.927707e+01,3.952720e+01,1.9156
1462,-5.556286e+01,2.064758e+01,-1.866848e+01,3.689438e+01,1.7869
1463,-1.285701e+01,2.066031e+01,-1.806350e+01,-5.206483e+00,-0.2520
1464,-7.754611e+00,2.067275e+01,-1.746227e+01,-9.707658e+00,-0.4696
1465,-3.843110e+00,2.068490e+01,-1.686496e+01,-1.302185e+01,-0.6295
1466,-2.386598e+01,2.069676e+01,-1.627195e+01,7.594026e+00,0.3669
1467,-1.403880e+01,2.070833e+01,-1.568326e+01,-1.644463e+00,-0.0794
1468,4.743057e+00,2.071961e+01,-1.509920e+01,-1.984226e+01,-0.9577
1469,-2.346594e-01,2.073062e+01,-1.451993e+01,-1.428527e+01,-0.6891
1470,-5.556445e+01,2.074133e+01,-1.394553e+01,4.161892e+01,2.0066
1471,-1.184768e+01,2.075177e+01,-1.337632e+01,-1.528639e+00,-0.0737
1472,1.245085e+01,2.076192e+01,-1.281239e+01,-2.526324e+01,-1.2168
1473,-9.751803e+00,2.077180e+01,-1.225398e+01,-2.502176e+00,-0.1205
1474,7.904179e+00,2.078139e+01,-1.170125e+01,-1.960543e+01,-0.9434
1475,-9.617031e+00,2.079071e+01,-1.115444e+01,-1.537408e+00,-0.0739
