isotope_closure_id,element_closure_id,Z,N,A,proton_count,neutron_count,electron_count,total_particle_count,quark_u_count,quark_d_count,quark_e_count,P_address,quark_address,radix_cycle,radix_slot,shell_period,shell_n,shell_capacity,shell_occupancy,shell_status,ladder_role,ladder_weight,selected_depth_index,residual_twelfths,constant_native_lane,G_fraction,G_decimal,GR_fraction,GR_decimal,retained_7G_fraction,retained_7G_decimal,construction_source
CR222-IZ017N019-CEIL_NEIGHBOR,CR222-EZ017,17,19,36,17,19,17,53,53,55,17,17p+19n+17e,53u+55d+17e,2,5,3,3,18,7,OPEN_SHELL,CEIL_NEIGHBOR,5/12,1,5,CONSTANT_BOUND_LADDER_LANE,121013/768,157.5690104166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,121013/96,1260.552083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,847091/768,1102.983072916666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-IZ018N019-FLOOR_PRIMARY,CR222-EZ018,18,19,37,18,19,18,55,55,56,18,18p+19n+18e,55u+56d+18e,2,6,3,3,18,8,OPEN_SHELL,FLOOR_PRIMARY,1/2,1,6,CONSTANT_HALF_WRITE_LANE,21353/128,166.8203125,21353/16,1334.5625,149471/128,1167.7421875,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-IZ018N020-CEIL_NEIGHBOR,CR222-EZ018,18,20,38,18,20,18,56,56,58,18,18p+20n+18e,56u+58d+18e,2,6,3,3,18,8,OPEN_SHELL,CEIL_NEIGHBOR,1/2,1,6,CONSTANT_HALF_WRITE_LANE,21355/128,166.8359375,21355/16,1334.6875,149485/128,1167.8515625,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-IZ019N020-FLOOR_PRIMARY,CR222-EZ019,19,20,39,19,20,19,58,58,59,19,19p+20n+19e,58u+59d+19e,2,7,3,3,18,9,OPEN_SHELL,FLOOR_PRIMARY,5/12,1,7,CONSTANT_BOUND_LADDER_LANE,135235/768,176.0872395833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,135235/96,1408.697916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,946645/768,1232.610677083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-IZ019N021-CEIL_NEIGHBOR,CR222-EZ019,19,21,40,19,21,19,59,59,61,19,19p+21n+19e,59u+61d+19e,2,7,3,3,18,9,OPEN_SHELL,CEIL_NEIGHBOR,7/12,1,7,CONSTANT_BOUND_LADDER_LANE,135247/768,176.1028645833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,135247/96,1408.822916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,946729/768,1232.720052083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-IZ020N021-FLOOR_PRIMARY,CR222-EZ020,20,21,41,20,21,20,61,61,62,20,20p+21n+20e,61u+62d+20e,2,8,3,3,18,10,OPEN_SHELL,FLOOR_PRIMARY,1/3,1,8,CONSTANT_BOUND_LADDER_LANE,8897/48,185.3541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,8897/6,1482.833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,62279/48,1297.479166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-IZ020N022-CEIL_NEIGHBOR,CR222-EZ020,20,22,42,20,22,20,62,62,64,20,20p+22n+20e,62u+64d+20e,2,8,3,3,18,10,OPEN_SHELL,CEIL_NEIGHBOR,2/3,1,8,CONSTANT_BOUND_LADDER_LANE,35591/192,185.3697916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,35591/24,1482.958333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,249137/192,1297.588541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-IZ021N022-FLOOR_PRIMARY,CR222-EZ021,21,22,43,21,22,21,64,64,65,21,21p+22n+21e,64u+65d+21e,2,9,3,3,18,11,OPEN_SHELL,FLOOR_PRIMARY,1/4,1,9,CONSTANT_BOUND_LADDER_LANE,49823/256,194.62109375,49823/32,1556.96875,348761/256,1362.34765625,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-IZ021N023-CEIL_NEIGHBOR,CR222-EZ021,21,23,44,21,23,21,65,65,67,21,21p+23n+21e,65u+67d+21e,2,9,3,3,18,11,OPEN_SHELL,CEIL_NEIGHBOR,3/4,1,9,CONSTANT_BOUND_LADDER_LANE,49827/256,194.63671875,49827/32,1557.09375,348789/256,1362.45703125,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-IZ022N023-FLOOR_PRIMARY,CR222-EZ022,22,23,45,22,23,22,67,67,68,22,22p+23n+22e,67u+68d+22e,2,10,3,3,18,12,OPEN_SHELL,FLOOR_PRIMARY,1/6,1,10,CONSTANT_BOUND_LADDER_LANE,78293/384,203.8880208333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,78293/48,1631.104166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,548051/384,1427.216145833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
