Z,generated_element_closure_id,cr220_element_closure_id,cr119_element_closure_id,all_compared_fields_match,failed_fields,G_generated,G_CR220,G_CR119,GR_generated,GR_CR220,GR_CR119,construction_role
44,CR222-EZ044,CR220-EZ044,QP094A-EZ044,True,,407.9166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,407.9166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,407.9166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,3263.333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,3263.333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,3263.333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,generated_first_from_constants_then_compared
45,CR222-EZ045,CR220-EZ045,QP094A-EZ045,True,,417.18359375,417.1835937499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,417.1835937499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,3337.46875,3337.468749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,3337.468749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,generated_first_from_constants_then_compared
46,CR222-EZ046,CR220-EZ046,QP094A-EZ046,True,,426.4505208333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,426.4505208333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,426.4505208333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,3411.604166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,3411.604166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,3411.604166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,generated_first_from_constants_then_compared
47,CR222-EZ047,CR220-EZ047,QP094A-EZ047,True,,435.7174479166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,435.7174479166666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,435.7174479166666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,3485.739583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,3485.739583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,3485.739583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,generated_first_from_constants_then_compared
48,CR222-EZ048,CR220-EZ048,QP094A-EZ048,True,,445,444.9999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,444.9999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,3560,3559.999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,3559.999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,generated_first_from_constants_then_compared
49,CR222-EZ049,CR220-EZ049,QP094A-EZ049,True,,454.3294270833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,454.3294270833333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,454.3294270833333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,3634.635416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,3634.635416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,3634.635416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,generated_first_from_constants_then_compared
50,CR222-EZ050,CR220-EZ050,QP094A-EZ050,True,,463.5963541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,463.5963541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,463.5963541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,3708.770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,3708.770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,3708.770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,generated_first_from_constants_then_compared
51,CR222-EZ051,CR220-EZ051,QP094A-EZ051,True,,472.87890625,472.8789062499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,472.8789062499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,3783.03125,3783.031249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,3783.031249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,generated_first_from_constants_then_compared
52,CR222-EZ052,CR220-EZ052,QP094A-EZ052,True,,482.1458333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,482.1458333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,482.1458333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,3857.166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,3857.166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,3857.166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,generated_first_from_constants_then_compared
53,CR222-EZ053,CR220-EZ053,QP094A-EZ053,True,,491.4127604166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,491.4127604166666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,491.4127604166666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,3931.302083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,3931.302083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,3931.302083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,generated_first_from_constants_then_compared
54,CR222-EZ054,CR220-EZ054,QP094A-EZ054,True,,500.6953125,500.6953124999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,500.6953124999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,4005.5625,4005.562499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,4005.562499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,generated_first_from_constants_then_compared
55,CR222-EZ055,CR220-EZ055,QP094A-EZ055,True,,509.9622395833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,509.9622395833333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,509.9622395833333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,4079.697916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,4079.697916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,4079.697916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,generated_first_from_constants_then_compared
56,CR222-EZ056,CR220-EZ056,QP094A-EZ056,True,,519.2291666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,519.2291666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,519.2291666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,4153.833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,4153.833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,4153.833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,generated_first_from_constants_then_compared
57,CR222-EZ057,CR220-EZ057,QP094A-EZ057,True,,528.51171875,528.5117187499999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,528.5117187499999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,4228.09375,4228.093749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,4228.093749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,generated_first_from_constants_then_compared
58,CR222-EZ058,CR220-EZ058,QP094A-EZ058,True,,537.7786458333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,537.7786458333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,537.7786458333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,4302.229166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,4302.229166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,4302.229166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,generated_first_from_constants_then_compared
59,CR222-EZ059,CR220-EZ059,QP094A-EZ059,True,,547.0455729166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,547.0455729166666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,547.0455729166666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,4376.364583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,4376.364583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,4376.364583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,generated_first_from_constants_then_compared
