scenario_id,lane,anchor,seed,p_level,geometry,atom_count,ledger_count,door,carrier_matter_relations,history_100_relations,history_010_relations,history_110_relations,history_101_relations,carriers_with_precollapse_escape,carriers_with_postcollapse_escape,carriers_with_101_closure,dual_postcollapse_carriers,escape_before_closure_count,escape_before_closure_fraction,median_margin,closure_front_q10,closure_front_q50,closure_front_q90,post_escape_before_closure_q10_fraction,post_escape_before_closure_q50_fraction,post_escape_before_closure_q90_fraction
REF_0132,REFERENCE_MIDDLE_DRIVE,middle_drive,910001,1,dispersed_slots,3402,21,discovery,11858,59,9853,1522,6,49,336,6,4,4,1.0,0.2724277702585989,1.0658093365902657,1.2746715465578227,1.663864966402448,0.6071428571428571,0.8898809523809523,0.9880952380952381
REF_0133,REFERENCE_MIDDLE_DRIVE,middle_drive,910001,2,localized_ledger_cells,5346,33,discovery,123579,1244,53496,57447,91,83,594,31,31,21,0.6774193548387096,0.023180225633410823,1.009425973154888,1.0620754380244894,1.1747270496139386,0.44107744107744107,0.6296296296296297,0.9225589225589226
REF_0134,REFERENCE_MIDDLE_DRIVE,middle_drive,910001,2,dispersed_slots,5346,33,discovery,54039,114,46846,5428,3,77,555,3,2,2,1.0,0.5159350155934542,1.1235925389077646,1.3826488628224083,1.8570410259099648,0.8198198198198198,0.9495495495495495,0.9945945945945946
REF_0135,REFERENCE_MIDDLE_DRIVE,middle_drive,910001,3,localized_ledger_cells,9072,56,discovery,416386,4042,267026,119424,198,172,1008,66,66,53,0.803030303030303,0.06244726447086246,1.004844319729974,1.0851274606427022,1.4806307497177635,0.5912698412698413,0.8224206349206349,1.0
REF_0136,REFERENCE_MIDDLE_DRIVE,middle_drive,910001,3,dispersed_slots,9072,56,discovery,250116,201,218266,25053,19,131,962,19,15,15,1.0,0.04371883393858722,1.0045222162915515,1.1069498549058259,1.5880908973642227,0.5956340956340956,0.8544698544698545,0.9906444906444907
REF_0137,REFERENCE_MIDDLE_DRIVE,middle_drive,910002,0,localized_ledger_cells,2268,14,discovery,30711,916,3605,22598,64,59,252,22,22,16,0.7272727272727273,0.02997568892247826,1.010350176596915,1.051053319676376,1.1553214218278198,0.19444444444444445,0.4007936507936508,0.7619047619047619
REF_0138,REFERENCE_MIDDLE_DRIVE,middle_drive,910002,0,dispersed_slots,2268,14,discovery,2245,20,1698,396,0,20,214,0,0,0,,,,,,,,
REF_0139,REFERENCE_MIDDLE_DRIVE,middle_drive,910002,1,localized_ledger_cells,3402,21,discovery,54244,848,12706,34316,54,70,378,26,26,17,0.6538461538461539,0.05368444357566582,1.0129712910185482,1.0736878804846057,1.235904609230714,0.43915343915343913,0.6296296296296297,0.9814814814814815
REF_0140,REFERENCE_MIDDLE_DRIVE,middle_drive,910002,1,dispersed_slots,3402,21,discovery,11563,33,9588,1501,3,32,338,3,2,2,1.0,0.24098499474707136,1.3384945603498952,1.3616400345439998,1.4037812820069384,0.9142011834319527,0.9230769230769231,0.9289940828402367
REF_0141,REFERENCE_MIDDLE_DRIVE,middle_drive,910002,2,localized_ledger_cells,5346,33,discovery,125420,1127,55803,57115,83,83,594,35,35,31,0.8857142857142857,0.04350810858701126,1.0154818628038795,1.052149435016626,1.187622695867665,0.5117845117845118,0.6094276094276094,0.9562289562289562
REF_0142,REFERENCE_MIDDLE_DRIVE,middle_drive,910002,2,dispersed_slots,5346,33,discovery,53879,67,46565,5465,5,57,553,5,3,3,1.0,0.17710582921798323,1.088340706746564,1.1777040584694525,1.3666556523109872,0.759493670886076,0.8625678119349005,0.9349005424954792
REF_0143,REFERENCE_MIDDLE_DRIVE,middle_drive,910002,3,localized_ledger_cells,9072,56,discovery,408360,1499,253342,124413,120,137,1008,61,61,50,0.819672131147541,0.03549284449115109,1.009447849018052,1.0575109204629638,1.201722177478143,0.6626984126984127,0.8075396825396826,0.9851190476190477
REF_0144,REFERENCE_MIDDLE_DRIVE,middle_drive,910002,3,dispersed_slots,9072,56,discovery,249940,140,217971,25182,23,107,963,21,20,20,1.0,0.04706545125787209,1.0139428240161685,1.0482445661648898,1.6142503590757544,0.7133956386292835,0.7975077881619937,0.9927310488058152
REF_0145,REFERENCE_MIDDLE_DRIVE,middle_drive,910003,0,localized_ledger_cells,2268,14,validation,30721,895,3293,22904,40,57,252,18,18,14,0.7777777777777778,0.01991787988937943,1.012964620225132,1.060298898335729,1.1274455481039054,0.1626984126984127,0.4007936507936508,0.6825396825396826
REF_0146,REFERENCE_MIDDLE_DRIVE,middle_drive,910003,0,dispersed_slots,2268,14,validation,2197,37,1671,379,2,33,212,2,1,0,0.0,-0.05303178044635626,1.0722220370838806,1.075229495702032,1.0782369543201833,0.47641509433962265,0.4811320754716981,0.4858490566037736
REF_0147,REFERENCE_MIDDLE_DRIVE,middle_drive,910003,1,localized_ledger_cells,3402,21,validation,56563,1227,16042,33519,93,68,378,38,38,25,0.6578947368421053,0.019363514383232472,1.0141512272420339,1.0377026218141436,1.0985859304446866,0.3968253968253968,0.5291005291005291,0.6904761904761905
REF_0148,REFERENCE_MIDDLE_DRIVE,middle_drive,910003,1,dispersed_slots,3402,21,validation,11351,68,9440,1430,4,58,336,4,3,3,1.0,0.1363693501880079,1.1030349671662016,1.142258472943588,1.4349628314154868,0.7142857142857143,0.7708333333333334,0.9345238095238095
REF_0149,REFERENCE_MIDDLE_DRIVE,middle_drive,910003,2,localized_ledger_cells,5346,33,validation,124688,1090,57445,55308,101,71,594,33,33,24,0.7272727272727273,0.018385235016313395,1.0055315728566478,1.0275882070987254,1.1146021572809786,0.4057239057239057,0.5050505050505051,0.7508417508417509
