candidate_id,bin,route_combination,operator_class,route_class,partition_signature,closure_depth,q_sign,q_abs,native_charge_axis,spin_or_hand_class,color_or_owner_closure,closure_status,stability_status,M_native,surface_sign,surface_depth,surface_packet_address,S_debit_or_credit,M_observed_candidate,qA_source_support,tensor_carrier_support,retained_write_support,matter_row_allowed,known_match,promotion_status,Column1
QP093A-0011,stable_matter_rows,"minus_single_write[p=4,g=0]",V4_1_SINGLE_WRITE,single_write,4,0,negative,4,minus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,6,zero_contact,route_contact,route_contact,0,6,6.166666667,0.770833333,5.395833333,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0012,stable_matter_rows,"neutral_single_write[p=4,g=0]",OUTER_BINARY_NEUTRAL,outer_binary_neutral,4,0,neutral,0,neutral,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_NEUTRAL_CANDIDATE,0.5,zero_contact,route_contact,route_contact,0,0.5,0.5,0.0625,0.4375,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0013,stable_matter_rows,"plus_single_write[p=6,g=0]",V4_1_SINGLE_WRITE,single_write,6,0,positive,6,plus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,7.5,zero_contact,route_contact,route_contact,0,7.5,7.8125,0.9765625,6.8359375,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0014,stable_matter_rows,"minus_single_write[p=6,g=0]",V4_1_SINGLE_WRITE,single_write,6,0,negative,6,minus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,9,zero_contact,route_contact,route_contact,0,9,9.375,1.171875,8.203125,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0015,stable_matter_rows,"neutral_single_write[p=6,g=0]",OUTER_BINARY_NEUTRAL,outer_binary_neutral,6,0,neutral,0,neutral,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_NEUTRAL_CANDIDATE,0.75,zero_contact,route_contact,route_contact,0,0.75,0.75,0.09375,0.65625,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0016,stable_matter_rows,"plus_single_write[p=8,g=0]",V4_1_SINGLE_WRITE,single_write,8,0,positive,8,plus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,10,zero_contact,route_contact,route_contact,0,10,10.55555556,1.319444444,9.236111111,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0017,stable_matter_rows,"minus_single_write[p=8,g=0]",V4_1_SINGLE_WRITE,single_write,8,0,negative,8,minus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,12,zero_contact,route_contact,route_contact,0,12,12.66666667,1.583333333,11.08333333,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0018,stable_matter_rows,"neutral_single_write[p=8,g=0]",OUTER_BINARY_NEUTRAL,outer_binary_neutral,8,0,neutral,0,neutral,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_NEUTRAL_CANDIDATE,1,zero_contact,route_contact,route_contact,0,1,1,0.125,0.875,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0019,stable_matter_rows,"plus_single_write[p=9,g=0]",V4_1_SINGLE_WRITE,single_write,9,0,positive,9,plus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,11.25,zero_contact,route_contact,route_contact,0,11.25,11.953125,1.494140625,10.45898438,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0020,stable_matter_rows,"minus_single_write[p=9,g=0]",V4_1_SINGLE_WRITE,single_write,9,0,negative,9,minus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,13.5,zero_contact,route_contact,route_contact,0,13.5,14.34375,1.79296875,12.55078125,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0021,stable_matter_rows,"neutral_single_write[p=9,g=0]",OUTER_BINARY_NEUTRAL,outer_binary_neutral,9,0,neutral,0,neutral,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_NEUTRAL_CANDIDATE,1.125,zero_contact,route_contact,route_contact,0,1.125,1.125,0.140625,0.984375,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0022,stable_matter_rows,"plus_single_write[p=12,g=0]",V4_1_SINGLE_WRITE,single_write,12,0,positive,12,plus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,15,zero_contact,route_contact,route_contact,0,15,16.25,2.03125,14.21875,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0023,stable_matter_rows,"minus_single_write[p=12,g=0]",V4_1_SINGLE_WRITE,single_write,12,0,negative,12,minus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,18,zero_contact,route_contact,route_contact,0,18,19.5,2.4375,17.0625,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0024,stable_matter_rows,"neutral_single_write[p=12,g=0]",OUTER_BINARY_NEUTRAL,outer_binary_neutral,12,0,neutral,0,neutral,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_NEUTRAL_CANDIDATE,1.5,zero_contact,route_contact,route_contact,0,1.5,1.5,0.1875,1.3125,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0025,stable_matter_rows,"plus_single_write[p=1,g=1]",V4_1_SINGLE_WRITE,single_write,1,1,positive,1,plus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,15,zero_contact,route_contact,route_contact,0,15,15.10416667,1.888020833,13.21614583,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0026,stable_matter_rows,"minus_single_write[p=1,g=1]",V4_1_SINGLE_WRITE,single_write,1,1,negative,1,minus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,18,zero_contact,route_contact,route_contact,0,18,18.125,2.265625,15.859375,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0027,stable_matter_rows,"neutral_single_write[p=1,g=1]",OUTER_BINARY_NEUTRAL,outer_binary_neutral,1,1,neutral,0,neutral,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_NEUTRAL_CANDIDATE,1.5,zero_contact,route_contact,route_contact,0,1.5,1.5,0.1875,1.3125,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0028,stable_matter_rows,"plus_single_write[p=2,g=1]",V4_1_SINGLE_WRITE,single_write,2,1,positive,2,plus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,30,zero_contact,route_contact,route_contact,0,30,30.41666667,3.802083333,26.61458333,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0029,stable_matter_rows,"minus_single_write[p=2,g=1]",V4_1_SINGLE_WRITE,single_write,2,1,negative,2,minus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,36,zero_contact,route_contact,route_contact,0,36,36.5,4.5625,31.9375,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0030,stable_matter_rows,"neutral_single_write[p=2,g=1]",OUTER_BINARY_NEUTRAL,outer_binary_neutral,2,1,neutral,0,neutral,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_NEUTRAL_CANDIDATE,3,zero_contact,route_contact,route_contact,0,3,3,0.375,2.625,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0031,stable_matter_rows,"plus_single_write[p=3,g=1]",V4_1_SINGLE_WRITE,single_write,3,1,positive,3,plus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,45,zero_contact,route_contact,route_contact,0,45,45.9375,5.7421875,40.1953125,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0032,stable_matter_rows,"minus_single_write[p=3,g=1]",V4_1_SINGLE_WRITE,single_write,3,1,negative,3,minus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,54,zero_contact,route_contact,route_contact,0,54,55.125,6.890625,48.234375,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0033,stable_matter_rows,"neutral_single_write[p=3,g=1]",OUTER_BINARY_NEUTRAL,outer_binary_neutral,3,1,neutral,0,neutral,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_NEUTRAL_CANDIDATE,4.5,zero_contact,route_contact,route_contact,0,4.5,4.5,0.5625,3.9375,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0034,stable_matter_rows,"plus_single_write[p=4,g=1]",V4_1_SINGLE_WRITE,single_write,4,1,positive,4,plus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,60,zero_contact,route_contact,route_contact,0,60,61.66666667,7.708333333,53.95833333,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0035,stable_matter_rows,"minus_single_write[p=4,g=1]",V4_1_SINGLE_WRITE,single_write,4,1,negative,4,minus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,72,zero_contact,route_contact,route_contact,0,72,74,9.25,64.75,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0036,stable_matter_rows,"neutral_single_write[p=4,g=1]",OUTER_BINARY_NEUTRAL,outer_binary_neutral,4,1,neutral,0,neutral,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_NEUTRAL_CANDIDATE,6,zero_contact,route_contact,route_contact,0,6,6,0.75,5.25,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0037,stable_matter_rows,"plus_single_write[p=6,g=1]",V4_1_SINGLE_WRITE,single_write,6,1,positive,6,plus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,90,zero_contact,route_contact,route_contact,0,90,93.75,11.71875,82.03125,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0038,stable_matter_rows,"minus_single_write[p=6,g=1]",V4_1_SINGLE_WRITE,single_write,6,1,negative,6,minus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,108,zero_contact,route_contact,route_contact,0,108,112.5,14.0625,98.4375,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0039,stable_matter_rows,"neutral_single_write[p=6,g=1]",OUTER_BINARY_NEUTRAL,outer_binary_neutral,6,1,neutral,0,neutral,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_NEUTRAL_CANDIDATE,9,zero_contact,route_contact,route_contact,0,9,9,1.125,7.875,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0040,stable_matter_rows,"plus_single_write[p=8,g=1]",V4_1_SINGLE_WRITE,single_write,8,1,positive,8,plus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,120,zero_contact,route_contact,route_contact,0,120,126.6666667,15.83333333,110.8333333,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0041,stable_matter_rows,"minus_single_write[p=8,g=1]",V4_1_SINGLE_WRITE,single_write,8,1,negative,8,minus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,144,zero_contact,route_contact,route_contact,0,144,152,19,133,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0042,stable_matter_rows,"neutral_single_write[p=8,g=1]",OUTER_BINARY_NEUTRAL,outer_binary_neutral,8,1,neutral,0,neutral,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_NEUTRAL_CANDIDATE,12,zero_contact,route_contact,route_contact,0,12,12,1.5,10.5,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0043,stable_matter_rows,"plus_single_write[p=9,g=1]",V4_1_SINGLE_WRITE,single_write,9,1,positive,9,plus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,135,zero_contact,route_contact,route_contact,0,135,143.4375,17.9296875,125.5078125,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0044,stable_matter_rows,"minus_single_write[p=9,g=1]",V4_1_SINGLE_WRITE,single_write,9,1,negative,9,minus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,162,zero_contact,route_contact,route_contact,0,162,172.125,21.515625,150.609375,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0045,stable_matter_rows,"neutral_single_write[p=9,g=1]",OUTER_BINARY_NEUTRAL,outer_binary_neutral,9,1,neutral,0,neutral,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_NEUTRAL_CANDIDATE,13.5,zero_contact,route_contact,route_contact,0,13.5,13.5,1.6875,11.8125,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0046,stable_matter_rows,"plus_single_write[p=12,g=1]",V4_1_SINGLE_WRITE,single_write,12,1,positive,12,plus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,180,zero_contact,route_contact,route_contact,0,180,195,24.375,170.625,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0047,stable_matter_rows,"minus_single_write[p=12,g=1]",V4_1_SINGLE_WRITE,single_write,12,1,negative,12,minus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,216,zero_contact,route_contact,route_contact,0,216,234,29.25,204.75,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0048,stable_matter_rows,"neutral_single_write[p=12,g=1]",OUTER_BINARY_NEUTRAL,outer_binary_neutral,12,1,neutral,0,neutral,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_NEUTRAL_CANDIDATE,18,zero_contact,route_contact,route_contact,0,18,18,2.25,15.75,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0049,stable_matter_rows,"plus_single_write[p=1,g=2]",V4_1_SINGLE_WRITE,single_write,1,2,positive,1,plus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,180,zero_contact,route_contact,route_contact,0,180,181.25,22.65625,158.59375,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0050,stable_matter_rows,"minus_single_write[p=1,g=2]",V4_1_SINGLE_WRITE,single_write,1,2,negative,1,minus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,216,zero_contact,route_contact,route_contact,0,216,217.5,27.1875,190.3125,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0051,stable_matter_rows,"neutral_single_write[p=1,g=2]",OUTER_BINARY_NEUTRAL,outer_binary_neutral,1,2,neutral,0,neutral,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_NEUTRAL_CANDIDATE,18,zero_contact,route_contact,route_contact,0,18,18,2.25,15.75,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0052,stable_matter_rows,"plus_single_write[p=2,g=2]",V4_1_SINGLE_WRITE,single_write,2,2,positive,2,plus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,360,zero_contact,route_contact,route_contact,0,360,365,45.625,319.375,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0053,stable_matter_rows,"minus_single_write[p=2,g=2]",V4_1_SINGLE_WRITE,single_write,2,2,negative,2,minus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,432,zero_contact,route_contact,route_contact,0,432,438,54.75,383.25,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0054,stable_matter_rows,"neutral_single_write[p=2,g=2]",OUTER_BINARY_NEUTRAL,outer_binary_neutral,2,2,neutral,0,neutral,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_NEUTRAL_CANDIDATE,36,zero_contact,route_contact,route_contact,0,36,36,4.5,31.5,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0055,stable_matter_rows,"plus_single_write[p=3,g=2]",V4_1_SINGLE_WRITE,single_write,3,2,positive,3,plus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,540,zero_contact,route_contact,route_contact,0,540,551.25,68.90625,482.34375,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0056,stable_matter_rows,"minus_single_write[p=3,g=2]",V4_1_SINGLE_WRITE,single_write,3,2,negative,3,minus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,648,zero_contact,route_contact,route_contact,0,648,661.5,82.6875,578.8125,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0057,stable_matter_rows,"neutral_single_write[p=3,g=2]",OUTER_BINARY_NEUTRAL,outer_binary_neutral,3,2,neutral,0,neutral,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_NEUTRAL_CANDIDATE,54,zero_contact,route_contact,route_contact,0,54,54,6.75,47.25,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0058,stable_matter_rows,"plus_single_write[p=4,g=2]",V4_1_SINGLE_WRITE,single_write,4,2,positive,4,plus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,720,zero_contact,route_contact,route_contact,0,720,740,92.5,647.5,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0059,stable_matter_rows,"minus_single_write[p=4,g=2]",V4_1_SINGLE_WRITE,single_write,4,2,negative,4,minus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,864,zero_contact,route_contact,route_contact,0,864,888,111,777,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0060,stable_matter_rows,"neutral_single_write[p=4,g=2]",OUTER_BINARY_NEUTRAL,outer_binary_neutral,4,2,neutral,0,neutral,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_NEUTRAL_CANDIDATE,72,zero_contact,route_contact,route_contact,0,72,72,9,63,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0061,stable_matter_rows,"plus_single_write[p=6,g=2]",V4_1_SINGLE_WRITE,single_write,6,2,positive,6,plus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,1080,zero_contact,route_contact,route_contact,0,1080,1125,140.625,984.375,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0062,stable_matter_rows,"minus_single_write[p=6,g=2]",V4_1_SINGLE_WRITE,single_write,6,2,negative,6,minus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,1296,zero_contact,route_contact,route_contact,0,1296,1350,168.75,1181.25,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0063,stable_matter_rows,"neutral_single_write[p=6,g=2]",OUTER_BINARY_NEUTRAL,outer_binary_neutral,6,2,neutral,0,neutral,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_NEUTRAL_CANDIDATE,108,zero_contact,route_contact,route_contact,0,108,108,13.5,94.5,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0064,unstable_resonance_rows,"plus_single_write[p=8,g=2]",V4_1_SINGLE_WRITE,single_write,8,2,positive,8,plus,fermion_half_write,owner_closed,CLOSED_WRITE,UNSTABLE_HEAVY_WRITE_CANDIDATE,1440,zero_contact,route_contact,route_contact,0,1440,1520,190,1330,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0065,unstable_resonance_rows,"minus_single_write[p=8,g=2]",V4_1_SINGLE_WRITE,single_write,8,2,negative,8,minus,fermion_half_write,owner_closed,CLOSED_WRITE,UNSTABLE_HEAVY_WRITE_CANDIDATE,1728,zero_contact,route_contact,route_contact,0,1728,1824,228,1596,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0066,unstable_resonance_rows,"neutral_single_write[p=8,g=2]",OUTER_BINARY_NEUTRAL,outer_binary_neutral,8,2,neutral,0,neutral,fermion_half_write,owner_closed,CLOSED_WRITE,UNSTABLE_HEAVY_WRITE_CANDIDATE,144,zero_contact,route_contact,route_contact,0,144,144,18,126,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0067,unstable_resonance_rows,"plus_single_write[p=9,g=2]",V4_1_SINGLE_WRITE,single_write,9,2,positive,9,plus,fermion_half_write,owner_closed,CLOSED_WRITE,UNSTABLE_HEAVY_WRITE_CANDIDATE,1620,zero_contact,route_contact,route_contact,0,1620,1721.25,215.15625,1506.09375,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0068,unstable_resonance_rows,"minus_single_write[p=9,g=2]",V4_1_SINGLE_WRITE,single_write,9,2,negative,9,minus,fermion_half_write,owner_closed,CLOSED_WRITE,UNSTABLE_HEAVY_WRITE_CANDIDATE,1944,zero_contact,route_contact,route_contact,0,1944,2065.5,258.1875,1807.3125,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0069,unstable_resonance_rows,"neutral_single_write[p=9,g=2]",OUTER_BINARY_NEUTRAL,outer_binary_neutral,9,2,neutral,0,neutral,fermion_half_write,owner_closed,CLOSED_WRITE,UNSTABLE_HEAVY_WRITE_CANDIDATE,162,zero_contact,route_contact,route_contact,0,162,162,20.25,141.75,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0070,unstable_resonance_rows,"plus_single_write[p=12,g=2]",V4_1_SINGLE_WRITE,single_write,12,2,positive,12,plus,fermion_half_write,owner_closed,CLOSED_WRITE,UNSTABLE_HEAVY_WRITE_CANDIDATE,2160,zero_contact,route_contact,route_contact,0,2160,2340,292.5,2047.5,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0071,unstable_resonance_rows,"minus_single_write[p=12,g=2]",V4_1_SINGLE_WRITE,single_write,12,2,negative,12,minus,fermion_half_write,owner_closed,CLOSED_WRITE,UNSTABLE_HEAVY_WRITE_CANDIDATE,2592,zero_contact,route_contact,route_contact,0,2592,2808,351,2457,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
QP093A-0072,unstable_resonance_rows,"neutral_single_write[p=12,g=2]",OUTER_BINARY_NEUTRAL,outer_binary_neutral,12,2,neutral,0,neutral,fermion_half_write,owner_closed,CLOSED_WRITE,UNSTABLE_HEAVY_WRITE_CANDIDATE,216,zero_contact,route_contact,route_contact,0,216,216,27,189,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,
