Z,Symbol,N,A,anchor,p,n,e,u,d,G_sub,Q_sub,Q_mass,chi,m_0_baseline_u,GR,retained_7G,released_G,stability,radix_cycle,selected_depth
55,Cs,82,137,Cs-137,55,82,55,192,219,510.10286458,4080.82291667,5078.27604167,0.80358430,137.0000,4080.822917,3570.720052,510.102865,STABLE,7,6
56,Ba,88,144,Ba-144,56,88,56,200,232,519.44791667,4155.58333333,5337.75000000,0.77852716,144.0000,4155.583333,3636.135417,519.447917,STABLE,8,7
57,La,95,152,La-152,57,95,57,209,247,528.80859375,4230.46875000,5634.29166667,0.75084305,152.0000,4230.468750,3701.660156,528.808594,STABLE,9,8
58,Ce,101,159,Ce-159,58,101,58,217,260,538.15364583,4305.22916667,5893.76562500,0.73047173,159.0000,4305.229167,3767.075521,538.153646,STABLE,10,9
59,Pr,108,167,Pr-167,59,108,59,226,275,547.51432292,4380.11458333,6190.30729167,0.70757628,167.0000,4380.114583,3832.600260,547.514323,STABLE,11,10
60,Nd,115,175,Nd-175,60,115,60,235,290,556.87500000,4455.00000000,6486.84895833,0.68677412,175.0000,4455.000000,3898.125000,556.875000,STABLE,12,11
61,Pm,61,122,Pm-122,61,61,61,183,183,565.28255208,4522.26041667,4522.26041667,1.00000000,122.0000,4522.260417,3956.977865,565.282552,UNSTABLE,1,0
62,Sm,67,129,Sm-129,62,67,62,191,196,574.62760417,4597.02083333,4781.73437500,0.96137102,129.0000,4597.020833,4022.393229,574.627604,STABLE,2,1
63,Eu,73,136,Eu-136,63,73,63,199,209,583.97265625,4671.78125000,5041.20833333,0.92671854,136.0000,4671.781250,4087.808594,583.972656,STABLE,3,2
64,Gd,80,144,Gd-144,64,80,64,208,224,593.33333333,4746.66666667,5337.75000000,0.88926358,144.0000,4746.666667,4153.333333,593.333333,STABLE,4,3
65,Tb,86,151,Tb-151,65,86,65,216,237,602.67838542,4821.42708333,5597.22395833,0.86139613,151.0000,4821.427083,4218.748698,602.678385,STABLE,5,4
66,Dy,93,159,Dy-159,66,93,66,225,252,612.03906250,4896.31250000,5893.76562500,0.83076132,159.0000,4896.312500,4284.273438,612.039062,STABLE,6,5
67,Ho,100,167,Ho-167,67,100,67,234,267,621.39973958,4971.19791667,6190.30729167,0.80306157,167.0000,4971.197917,4349.798177,621.399740,STABLE,7,6
68,Er,107,175,Er-175,68,107,68,243,282,630.76041667,5046.08333333,6486.84895833,0.77789438,175.0000,5046.083333,4415.322917,630.760417,STABLE,8,7
69,Tm,115,184,Tm-184,69,115,69,253,299,640.13671875,5121.09375000,6820.45833333,0.75084305,184.0000,5121.093750,4480.957031,640.136719,STABLE,9,8
70,Yb,122,192,Yb-192,70,122,70,262,314,649.49739583,5195.97916667,7117.00000000,0.73007997,192.0000,5195.979167,4546.481771,649.497396,STABLE,10,9
71,Lu,130,201,Lu-201,71,130,71,272,331,658.87369792,5270.98958333,7450.60937500,0.70745751,201.0000,5270.989583,4612.115885,658.873698,STABLE,11,10
