Z,symbol,name,N_sob,A_sob,observed_isotope,N_observed,A_observed,delta_N,delta_A,lambda_gcd,primitive_Z,primitive_N,primitive_lane,lane_ratio_NmZ_over_A,chi,p_count,n_count,e_count,u_count,d_count,Q_sub,Q_mass,delta_Q,channel_role,B_u_u,B_u_MeV,B_smooth_MeV,binding_residual_MeV,clock_role,row_status,notes
11,Na,Sodium,20,31,Na-23,12,23,8,8,1,11,20,"(11,20)",0.2903225806451613,0.7106564473069933,11,20,11,42,51,816.6145833333334,1149.0989583333333,332.4843749999999,substrate-light / mass-heavy,0.010230717999998973,9.529853480521181,10.294832805689339,-0.7649793251681576,clock-stable,engine_diff_from_observed,engine anchor Na-31 differs from observed most-abundant Na-23
12,Mg,Magnesium,23,35,Mg-24,12,24,11,11,1,12,23,"(12,23)",0.3142857142857143,0.6867741223228085,12,23,12,47,58,891.0,1297.3697916666667,406.36979166666674,substrate-light / mass-heavy,0.014958303000000228,13.933571026711606,17.661785968737608,-3.7282149420260016,clock-stable,engine_diff_from_observed,engine anchor Mg-35 differs from observed most-abundant Mg-24
13,Al,Aluminum,13,26,Al-27,14,27,-1,-1,13,1,1,"(1,1)",0.0,1.0,13,13,13,39,39,963.7604166666666,963.7604166666666,0.0,balanced,0.018461468999998232,17.19674949550801,16.935185185185215,0.26156431032279315,clock-stable,engine_diff_from_observed,engine anchor Al-26 differs from observed most-abundant Al-27
14,Si,Silicon,15,29,Si-28,14,28,1,1,1,14,15,"(14,15)",0.034482758620689655,0.9656335243927845,14,15,14,43,44,1038.0208333333333,1074.9635416666667,36.942708333333485,substrate-light / mass-heavy,0.023073464999999516,21.492796569893834,23.616287877975264,-2.12349130808143,clock-stable,engine_diff_from_observed,engine anchor Si-29 differs from observed most-abundant Si-28
15,P,Phosphorus,17,32,P-31,16,31,1,1,1,15,17,"(15,17)",0.0625,0.9377107629619221,15,17,15,47,49,1112.28125,1186.1666666666667,73.88541666666674,substrate-light / mass-heavy,0.026238001999999483,24.440544122283683,23.142501290213318,1.2980428320703652,clock-stable,engine_diff_from_observed,engine anchor P-32 differs from observed most-abundant P-31
16,S,Sulfur,20,36,S-32,16,32,4,4,4,4,5,"(4,5)",0.1111111111111111,0.8892635785989728,16,20,16,52,56,1186.6666666666667,1334.4375,147.77083333333326,substrate-light / mass-heavy,0.02792882600000013,26.015536706514478,29.191726836104426,-3.1761901295899477,clock-stable,engine_diff_from_observed,engine anchor S-36 differs from observed most-abundant S-32
17,Cl,Chlorine,22,39,Cl-35,18,35,4,4,1,17,22,"(17,22)",0.1282051282051282,0.8722272060757377,17,22,17,56,61,1260.9270833333333,1445.640625,184.71354166666674,substrate-light / mass-heavy,0.031147318000002144,29.013543023202306,28.858572293857605,0.1549707293447007,clock-stable,engine_diff_from_observed,engine anchor Cl-39 differs from observed most-abundant Cl-35
18,Ar,Argon,25,43,Ar-40,22,40,3,3,1,18,25,"(18,25)",0.16279069767441862,0.8377582663194252,18,25,18,61,68,1335.3125,1593.9114583333333,258.59895833333326,substrate-light / mass-heavy,0.03761687699999783,35.039899076956516,40.11738389059878,-5.077484813642265,clock-stable,engine_diff_from_observed,engine anchor Ar-43 differs from observed most-abundant Ar-40
19,K,Potassium,28,47,K-39,20,39,8,8,1,19,28,"(19,28)",0.19148936170212766,0.8091563801386551,19,28,19,66,75,1409.6979166666667,1742.1822916666667,332.484375,substrate-light / mass-heavy,0.036293321000002265,33.807014468738046,34.04385411266173,-0.2368396439236804,clock-stable,engine_diff_from_observed,engine anchor K-47 differs from observed most-abundant K-39
20,Ca,Calcium,31,51,Ca-40,20,40,11,11,1,20,31,"(20,31)",0.21568627450980393,0.7850410643391823,20,31,20,71,82,1484.0833333333333,1890.453125,406.36979166666674,substrate-light / mass-heavy,0.03740913400000068,34.84638769764013,38.939085443517364,-4.092697745877231,clock-stable,engine_diff_from_observed,engine anchor Ca-51 differs from observed most-abundant Ca-40
21,Sc,Scandium,35,56,Sc-45,24,45,11,11,7,3,5,"(3,5)",0.25,0.7508430518476887,21,35,21,77,91,1558.59375,2075.7916666666665,517.1979166666665,substrate-light / mass-heavy,0.04409172500000125,41.07118180302564,45.71424049137027,-4.643058688344631,clock-stable,engine_diff_from_observed,engine anchor Sc-56 differs from observed most-abundant Sc-45
22,Ti,Titanium,38,60,Ti-48,26,48,12,12,2,11,19,"(11,19)",0.26666666666666666,0.7342325886375346,22,38,22,82,98,1632.9791666666667,2224.0625,591.0833333333333,substrate-light / mass-heavy,0.05205801999999693,48.49173861365955,51.55282740108155,-3.061088787422001,clock-stable,engine_diff_from_observed,engine anchor Ti-60 differs from observed most-abundant Ti-48
23,V,Vanadium,42,65,V-51,28,51,14,14,1,23,42,"(23,42)",0.2923076923076923,0.7086780298526821,23,42,23,88,107,1707.4895833333333,2409.4010416666665,701.9114583333333,substrate-light / mass-heavy,0.05604299099999821,52.20371559847547,54.839595838488734,-2.6358802400132646,clock-stable,engine_diff_from_observed,engine anchor V-65 differs from observed most-abundant V-51
24,Cr,Chromium,46,70,Cr-52,28,52,18,18,2,12,23,"(12,23)",0.3142857142857143,0.6867741223228085,24,46,24,94,116,1782.0,2594.7395833333335,812.7395833333335,substrate-light / mass-heavy,0.059493768999999475,55.41809495423733,56.19633846986971,-0.7782435156323757,clock-stable,engine_diff_from_observed,engine anchor Cr-70 differs from observed most-abundant Cr-52
25,Mn,Manganese,25,50,Mn-55,30,55,-5,-5,25,1,1,"(1,1)",0.0,1.0,25,25,25,75,75,1853.3854166666667,1853.3854166666667,0.0,balanced,0.061956809000001556,57.71240218826382,59.559278635392644,-1.846876447128821,clock-stable,engine_diff_from_observed,engine anchor Mn-50 differs from observed most-abundant Mn-55
26,Fe,Iron,28,54,Fe-56,30,56,-2,-2,2,13,14,"(13,14)",0.037037037037037035,0.9630878595329909,26,28,26,80,82,1927.7708333333333,2001.65625,73.88541666666674,substrate-light / mass-heavy,0.06506367400000101,60.60642861277844,60.144659376831555,0.4617692359468819,clock-stable,engine_diff_from_observed,engine anchor Fe-54 differs from observed most-abundant Fe-56
27,Co,Cobalt,31,58,Co-59,32,59,-1,-1,1,27,31,"(27,31)",0.06896551724137931,0.9312670487855692,27,31,27,85,89,2002.15625,2149.9270833333335,147.77083333333348,substrate-light / mass-heavy,0.06680571199999719,62.2291267359664,63.54293960548918,-1.3138128695227778,clock-stable,engine_diff_from_observed,engine anchor Co-58 differs from observed most-abundant Co-59
28,Ni,Nickel,35,63,Ni-58,30,58,5,5,7,4,5,"(4,5)",0.1111111111111111,0.8892635785989726,28,35,28,91,98,2076.6666666666665,2335.265625,258.5989583333335,substrate-light / mass-heavy,0.06465758600000271,60.22816003571648,55.95079491474781,4.277365120968668,clock-stable,engine_diff_from_observed,engine anchor Ni-63 differs from observed most-abundant Ni-58
29,Cu,Copper,38,67,Cu-63,34,63,4,4,1,29,38,"(29,38)",0.13432835820895522,0.8661246248733849,29,38,29,96,105,2151.0520833333335,2483.5364583333335,332.484375,substrate-light / mass-heavy,0.07040278800000266,65.57978181592803,66.80927423751518,-1.2294924215871532,clock-stable,engine_diff_from_observed,engine anchor Cu-67 differs from observed most-abundant Cu-63
30,Zn,Zinc,42,72,Zn-64,34,64,8,8,6,5,7,"(5,7)",0.16666666666666666,0.8338953678984591,30,42,30,102,114,2225.5625,2668.875,443.3125,substrate-light / mass-heavy,0.07085798699999657,66.00379699984983,66.00000000000003,0.003796999849797089,clock-stable,engine_diff_from_observed,engine anchor Zn-72 differs from observed most-abundant Zn-64
31,Ga,Gallium,46,77,Ga-69,38,69,8,8,1,31,46,"(31,46)",0.19480519480519481,0.8058517287124847,31,46,31,108,123,2300.0729166666665,2854.2135416666665,554.140625,substrate-light / mass-heavy,0.07442640600000061,69.32775825331707,74.08147865090365,-4.7537203975865765,clock-stable,engine_diff_from_observed,engine anchor Ga-77 differs from observed most-abundant Ga-69
32,Ge,Germanium,50,82,Ge-74,42,74,8,8,2,16,25,"(16,25)",0.21951219512195122,0.7812280455247997,32,50,32,114,132,2374.5833333333335,3039.5520833333335,664.96875,substrate-light / mass-heavy,0.0788222390000044,73.42245076804382,79.97846297510048,-6.556012207056668,clock-stable,engine_diff_from_observed,engine anchor Ge-82 differs from observed most-abundant Ge-74
33,As,Arsenic,55,88,As-75,42,75,13,13,11,3,5,"(3,5)",0.25,0.7508430518476886,33,55,33,121,143,2449.21875,3261.9583333333335,812.7395833333335,substrate-light / mass-heavy,0.07840543800000432,73.03420309466098,79.85010264126934,-6.815899546608364,clock-stable,engine_diff_from_observed,engine anchor As-88 differs from observed most-abundant As-75
34,Se,Selenium,59,93,Se-80,46,80,13,13,1,34,59,"(34,59)",0.26881720430107525,0.7320893030620308,34,59,34,127,152,2523.7291666666665,3447.296875,923.5677083333335,substrate-light / mass-heavy,0.08347822400000382,77.75947333649925,84.00973293219832,-6.250259595699063,clock-stable,engine_diff_from_observed,engine anchor Se-93 differs from observed most-abundant Se-80
35,Br,Bromine,64,99,Br-79,44,79,20,20,1,35,64,"(35,64)",0.29292929292929293,0.7080585253972917,35,64,35,134,163,2598.3645833333335,3669.703125,1071.3385416666665,substrate-light / mass-heavy,0.08166239899999539,76.06804305796462,82.19953145332205,-6.131488395357437,clock-stable,engine_diff_from_observed,engine anchor Br-99 differs from observed most-abundant Br-79
36,Kr,Krypton,69,105,Kr-84,48,84,21,21,3,12,23,"(12,23)",0.3142857142857143,0.6867741223228085,36,69,36,141,174,2673.0,3892.109375,1219.109375,substrate-light / mass-heavy,0.0885022719999995,82.43934441877022,86.95916882133714,-4.519824402566925,clock-stable,engine_diff_from_observed,engine anchor Kr-105 differs from observed most-abundant Kr-84
37,Rb,Rubidium,37,74,Rb-85,48,85,-11,-11,37,1,1,"(1,1)",0.0,1.0,37,37,37,111,111,2743.0104166666665,2743.0104166666665,0.0,balanced,0.08821026200000404,82.16733882592679,86.57729776903355,-4.4099589431067585,clock-stable,engine_diff_from_observed,engine anchor Rb-74 differs from observed most-abundant Rb-85
38,Sr,Strontium,41,79,Sr-88,50,88,-9,-9,1,38,41,"(38,41)",0.0379746835443038,0.9621533749642058,38,41,38,117,120,2817.5208333333335,2928.3489583333335,110.828125,substrate-light / mass-heavy,0.09438774299999864,87.92162594523337,89.0872923251623,-1.165666379928922,clock-stable,engine_diff_from_observed,engine anchor Sr-79 differs from observed most-abundant Sr-88
39,Y,Yttrium,45,84,Y-89,50,89,-5,-5,3,13,15,"(13,15)",0.07142857142857142,0.9288123005279111,39,45,39,123,129,2892.03125,3113.6875,221.65625,substrate-light / mass-heavy,0.09416195999999388,87.71131041230224,88.01237592079264,-0.30106550849039593,clock-stable,engine_diff_from_observed,engine anchor Y-84 differs from observed most-abundant Y-89
40,Zr,Zirconium,50,90,Zr-90,50,90,0,0,10,4,5,"(4,5)",0.1111111111111111,0.8892635785989726,40,50,40,130,140,2966.6666666666665,3336.09375,369.4270833333335,substrate-light / mass-heavy,0.0953012450000017,88.7725476707851,87.55376526897565,1.2187824018094489,clock-stable,engine_matches_observed,
41,Nb,Niobium,54,95,Nb-93,52,93,2,2,1,41,54,"(41,54)",0.1368421052631579,0.863619354695577,41,54,41,136,149,3041.1770833333335,3521.4322916666665,480.25520833333303,substrate-light / mass-heavy,0.09362698699999328,87.21298621784774,88.68623896347987,-1.4732527456321236,clock-stable,engine_diff_from_observed,engine anchor Nb-95 differs from observed most-abundant Nb-93
42,Mo,Molybdenum,59,101,Mo-98,56,98,3,3,1,42,59,"(42,59)",0.16831683168316833,0.8322507675806221,42,59,42,143,160,3115.8125,3743.8385416666665,628.0260416666665,substrate-light / mass-heavy,0.09459551800000554,88.11516713237012,92.97768647245283,-4.862519340082713,clock-stable,engine_diff_from_observed,engine anchor Mo-101 differs from observed most-abundant Mo-98
43,Tc,Technetium,64,107,Tc-98,55,98,9,9,1,43,64,"(43,64)",0.19626168224299065,0.8044001528523911,43,64,43,150,171,3190.4479166666665,3966.2447916666665,775.796875,substrate-light / mass-heavy,0.09278799999999876,86.4314747753458,89.57229192439438,-3.140817149048573,clock-boundary,engine_diff_from_observed,engine anchor Tc-107 differs from observed most-abundant Tc-98
44,Ru,Ruthenium,69,113,Ru-102,58,102,11,11,1,44,69,"(44,69)",0.22123893805309736,0.779507125528928,44,69,44,157,182,3265.0833333333335,4188.651041666667,923.5677083333335,substrate-light / mass-heavy,0.09565590399999735,89.10291043765122,93.34449968644489,-4.241589248793673,clock-stable,engine_diff_from_observed,engine anchor Ru-113 differs from observed most-abundant Ru-102
45,Rh,Rhodium,75,120,Rh-103,58,103,17,17,15,3,5,"(3,5)",0.25,0.7508430518476886,45,75,45,165,195,3339.84375,4448.125,1108.28125,substrate-light / mass-heavy,0.09450159899999733,88.02768213775728,91.31333677725529,-3.2856546394980057,clock-stable,engine_diff_from_observed,engine anchor Rh-120 differs from observed most-abundant Rh-103
46,Pd,Palladium,80,126,Pd-106,60,106,20,20,2,23,40,"(23,40)",0.2698412698412698,0.7310686908832195,46,80,46,172,206,3414.4791666666665,4670.53125,1256.0520833333335,substrate-light / mass-heavy,0.09651971300000639,89.90754342677695,92.9471748346499,-3.039631407872946,clock-stable,engine_diff_from_observed,engine anchor Pd-126 differs from observed most-abundant Pd-106
47,Ag,Silver,86,133,Ag-107,60,107,26,26,1,47,86,"(47,86)",0.2932330827067669,0.7077557600619506,47,86,47,180,219,3489.2395833333335,4930.005208333333,1440.7656249999995,substrate-light / mass-heavy,0.09490849099999821,88.40669963607998,90.29892959690463,-1.8922299608246504,clock-stable,engine_diff_from_observed,engine anchor Ag-133 differs from observed most-abundant Ag-107
48,Cd,Cadmium,92,140,Cd-114,66,114,26,26,4,12,23,"(12,23)",0.3142857142857143,0.6867741223228085,48,92,48,188,232,3564.0,5189.479166666667,1625.479166666667,substrate-light / mass-heavy,0.09663464800000554,90.0146047014378,95.2416270301332,-5.227022328695398,clock-stable,engine_diff_from_observed,engine anchor Cd-140 differs from observed most-abundant Cd-114
49,In,Indium,49,98,In-115,66,115,-17,-17,49,1,1,"(1,1)",0.0,1.0,49,49,49,147,147,3632.6354166666665,3632.6354166666665,0.0,balanced,0.09612122699999759,89.53635606787182,93.69999053256826,-4.163634464696443,clock-stable,engine_diff_from_observed,engine anchor In-98 differs from observed most-abundant In-115
50,Sn,Tin,54,104,Sn-120,70,120,-16,-16,2,25,27,"(25,27)",0.038461538461538464,0.9616681618227214,50,54,50,154,158,3707.2708333333335,3855.0416666666665,147.77083333333303,substrate-light / mass-heavy,0.09779836600000635,91.09860115531856,94.93106838922739,-3.8324672339088295,clock-stable,engine_diff_from_observed,engine anchor Sn-104 differs from observed most-abundant Sn-120
51,Sb,Antimony,59,110,Sb-121,70,121,-11,-11,1,51,59,"(51,59)",0.07272727272727272,0.9275179787193276,51,59,51,161,169,3781.90625,4077.4479166666665,295.5416666666665,substrate-light / mass-heavy,0.09618803399999365,89.59858639436852,93.56009368046385,-3.961507286095326,clock-stable,engine_diff_from_observed,engine anchor Sb-110 differs from observed most-abundant Sb-121
52,Te,Tellurium,65,117,Te-130,78,130,-13,-13,13,4,5,"(4,5)",0.1111111111111111,0.8892635785989726,52,65,52,169,182,3856.6666666666665,4336.921875,480.2552083333335,substrate-light / mass-heavy,0.09377725199999531,87.35295717914978,91.07166874248998,-3.718711563340193,clock-stable,engine_diff_from_observed,engine anchor Te-117 differs from observed most-abundant Te-130
53,I,Iodine,70,123,I-127,74,127,-4,-4,1,53,70,"(53,70)",0.13821138211382114,0.8622546953304295,53,70,53,176,193,3931.3020833333335,4559.328125,628.0260416666665,substrate-light / mass-heavy,0.0955281619999937,88.98391951801648,92.61654054785234,-3.6326210298358603,clock-stable,engine_diff_from_observed,engine anchor I-123 differs from observed most-abundant I-127
54,Xe,Xenon,76,130,Xe-132,78,132,-2,-2,2,27,38,"(27,38)",0.16923076923076924,0.8313399120199739,54,76,54,184,206,4006.0625,4818.802083333333,812.739583333333,substrate-light / mass-heavy,0.09584491999999045,89.27897772690781,92.06400065362804,-2.785022926720231,clock-stable,engine_diff_from_observed,engine anchor Xe-130 differs from observed most-abundant Xe-132
55,Cs,Cesium,82,137,Cs-133,78,133,4,4,1,55,82,"(55,82)",0.19708029197080293,0.803584303646353,55,82,55,192,219,4080.8229166666665,5078.276041666667,997.4531250000005,substrate-light / mass-heavy,0.09454803899998865,88.07094072386558,90.91868577615884,-2.847745052293263,clock-stable,engine_diff_from_observed,engine anchor Cs-137 differs from observed most-abundant Cs-133
56,Ba,Barium,88,144,Ba-138,82,138,6,6,8,7,11,"(7,11)",0.2222222222222222,0.7785271571979454,56,88,56,200,232,4155.583333333333,5337.75,1182.166666666667,substrate-light / mass-heavy,0.09475276300000246,88.26163992250228,89.58782166113046,-1.3261817386281791,clock-stable,engine_diff_from_observed,engine anchor Ba-144 differs from observed most-abundant Ba-138
57,La,Lanthanum,95,152,La-139,82,139,13,13,19,3,5,"(3,5)",0.25,0.7508430518476886,57,95,57,209,247,4230.46875,5634.291666666667,1403.822916666667,substrate-light / mass-heavy,0.09364372499999263,87.22857756613345,88.50735671097192,-1.2787791448384667,clock-stable,engine_diff_from_observed,engine anchor La-152 differs from observed most-abundant La-139
58,Ce,Cerium,101,159,Ce-140,82,140,19,19,1,58,101,"(58,101)",0.27044025157232704,0.7304717290427827,58,101,58,217,260,4305.229166666667,5893.765625,1588.536458333333,substrate-light / mass-heavy,0.09455687299998772,88.07916954276548,87.95721732397107,0.12195221879441931,clock-stable,engine_diff_from_observed,engine anchor Ce-159 differs from observed most-abundant Ce-140
59,Pr,Praseodymium,108,167,Pr-141,82,141,26,26,1,59,108,"(59,108)",0.2934131736526946,0.7075762764200416,59,108,59,226,275,4380.114583333333,6190.307291666667,1810.192708333334,substrate-light / mass-heavy,0.09234243200000947,86.0164308111287,85.57714943172248,0.4392813794062249,clock-stable,engine_diff_from_observed,engine anchor Pr-167 differs from observed most-abundant Pr-141
60,Nd,Neodymium,115,175,Nd-142,82,142,33,33,5,12,23,"(12,23)",0.3142857142857143,0.6867741223228085,60,115,60,235,290,4455.0,6486.848958333333,2031.848958333333,substrate-light / mass-heavy,0.09227117599999701,85.95005626735507,83.7395715761287,2.2104846912263696,clock-stable,engine_diff_from_observed,engine anchor Nd-175 differs from observed most-abundant Nd-142
61,Pm,Promethium,61,122,Pm-145,84,145,-23,-23,61,1,1,"(1,1)",0.0,1.0,61,61,61,183,183,4522.260416666667,4522.260416666667,0.0,balanced,0.08724425200000496,81.26750620804891,81.78471288163172,-0.5172066735828054,clock-boundary,engine_diff_from_observed,engine anchor Pm-122 differs from observed most-abundant Pm-145
62,Sm,Samarium,67,129,Sm-152,90,152,-23,-23,1,62,67,"(62,67)",0.03875968992248062,0.9613710157903392,62,67,62,191,196,4597.020833333333,4781.734375,184.71354166666697,substrate-light / mass-heavy,0.08026098100000922,74.76263045595226,81.16116263374042,-6.398532177788155,clock-stable,engine_diff_from_observed,engine anchor Sm-129 differs from observed most-abundant Sm-152
63,Eu,Europium,73,136,Eu-153,90,153,-17,-17,1,63,73,"(63,73)",0.07352941176470588,0.9267185446610849,63,73,63,199,209,4671.78125,5041.208333333333,369.42708333333303,substrate-light / mass-heavy,0.07876259700000787,73.36689459679052,78.89461172011697,-5.527717123326454,clock-stable,engine_diff_from_observed,engine anchor Eu-136 differs from observed most-abundant Eu-153
64,Gd,Gadolinium,80,144,Gd-158,94,158,-14,-14,16,4,5,"(4,5)",0.1111111111111111,0.8892635785989728,64,80,64,208,224,4746.666666666667,5337.75,591.083333333333,substrate-light / mass-heavy,0.07588765099998795,70.68889935299599,76.78009975036426,-6.091200397368269,clock-stable,engine_diff_from_observed,engine anchor Gd-144 differs from observed most-abundant Gd-158
65,Tb,Terbium,86,151,Tb-159,94,159,-8,-8,1,65,86,"(65,86)",0.1390728476821192,0.8613961348026877,65,86,65,216,237,4821.427083333333,5597.223958333333,775.796875,substrate-light / mass-heavy,0.07464586699998677,69.53218488051537,74.5354976288414,-5.0033127483260245,clock-stable,engine_diff_from_observed,engine anchor Tb-151 differs from observed most-abundant Tb-159
66,Dy,Dysprosium,93,159,Dy-164,98,164,-5,-5,3,22,31,"(22,31)",0.16981132075471697,0.8307613182361658,66,93,66,225,252,4896.3125,5893.765625,997.453125,substrate-light / mass-heavy,0.07081812600000603,65.96666671344208,71.77600211436541,-5.809335400923331,clock-stable,engine_diff_from_observed,engine anchor Dy-159 differs from observed most-abundant Dy-164
67,Ho,Holmium,100,167,Ho-165,98,165,2,2,1,67,100,"(67,100)",0.19760479041916168,0.8030615739155383,67,100,67,234,267,4971.197916666667,6190.307291666667,1219.109375,substrate-light / mass-heavy,0.06967116499998838,64.89827930621989,69.53354842341787,-4.6352691171979785,clock-stable,engine_diff_from_observed,engine anchor Ho-167 differs from observed most-abundant Ho-165
68,Er,Erbium,107,175,Er-166,98,166,9,9,1,68,107,"(68,107)",0.22285714285714286,0.7778943776470825,68,107,68,243,282,5046.083333333333,6486.848958333333,1440.765625,substrate-light / mass-heavy,0.06970067699998594,64.92576956016825,67.79901349434932,-2.873243934181076,clock-stable,engine_diff_from_observed,engine anchor Er-175 differs from observed most-abundant Er-166
69,Tm,Thulium,115,184,Tm-169,100,169,15,15,23,3,5,"(3,5)",0.25,0.7508430518476886,69,115,69,253,299,5121.09375,6820.458333333333,1699.364583333333,substrate-light / mass-heavy,0.06578204600000959,61.275587894130084,64.51622952163275,-3.2406416275026686,clock-stable,engine_diff_from_observed,engine anchor Tm-184 differs from observed most-abundant Tm-169
70,Yb,Ytterbium,122,192,Yb-174,104,174,18,18,2,35,61,"(35,61)",0.2708333333333333,0.730079972834996,70,122,70,262,314,5195.979166666667,7117.0,1921.020833333333,substrate-light / mass-heavy,0.0611335629999985,56.94555339442013,61.403843247210915,-4.458289852790784,clock-stable,engine_diff_from_observed,engine anchor Yb-192 differs from observed most-abundant Yb-174
71,Lu,Lutetium,130,201,Lu-175,104,175,26,26,1,71,130,"(71,130)",0.2935323383084577,0.7074575136122115,71,130,71,272,331,5270.989583333333,7450.609375,2179.619791666667,substrate-light / mass-heavy,0.05922480899999982,55.16756030045077,58.56945406019403,-3.4018937597432597,clock-stable,engine_diff_from_observed,engine anchor Lu-201 differs from observed most-abundant Lu-175
72,Hf,Hafnium,138,210,Hf-180,108,180,30,30,6,12,23,"(12,23)",0.3142857142857143,0.6867741223228085,72,138,72,282,348,5346.0,7784.21875,2438.21875,substrate-light / mass-heavy,0.05344045600000413,49.77946959463935,54.87705320392973,-5.097583609290375,clock-stable,engine_diff_from_observed,engine anchor Hf-210 differs from observed most-abundant Hf-180
73,Ta,Tantalum,73,146,Ta-181,108,181,-35,-35,73,1,1,"(1,1)",0.0,1.0,73,73,73,219,219,5411.885416666667,5411.885416666667,0.0,balanced,0.05200423700000556,48.44164006635713,52.01516549238599,-3.5735254260288585,clock-stable,engine_diff_from_observed,engine anchor Ta-146 differs from observed most-abundant Ta-181
74,W,Tungsten,80,154,W-184,110,184,-30,-30,2,37,40,"(37,40)",0.03896103896103896,0.9611703457424969,74,80,74,228,234,5486.770833333333,5708.427083333333,221.65625,substrate-light / mass-heavy,0.04906907099999103,45.707550247719894,49.031779547257,-3.3242292995371088,clock-stable,engine_diff_from_observed,engine anchor W-154 differs from observed most-abundant W-184
75,Re,Rhenium,87,162,Re-187,112,187,-25,-25,3,25,29,"(25,29)",0.07407407407407407,0.9261757190659818,75,87,75,237,249,5561.65625,6004.96875,443.3125,substrate-light / mass-heavy,0.04424921300000051,41.21788094622687,44.87079053983945,-3.652909593612577,clock-stable,engine_diff_from_observed,engine anchor Re-162 differs from observed most-abundant Re-187
76,Os,Osmium,95,171,Os-192,116,192,-21,-21,19,4,5,"(4,5)",0.1111111111111111,0.8892635785989728,76,95,76,247,266,5636.666666666667,6338.578125,701.911458333333,substrate-light / mass-heavy,0.03852297099999191,35.88392029418915,40.10918631984901,-4.225266025659856,clock-stable,engine_diff_from_observed,engine anchor Os-171 differs from observed most-abundant Os-192
