isotope,Z,N,A,N_minus_Z,B_obs_u,B_pred_u,alpha,B_pred_rescaled_u,rescale_residual_MeV,abs_rescale_residual_MeV
Al-27,13,14,27,1,0.018461470000,0.000102704932,18.545143884440,0.001904677747,15.422552643004105391827929042215678296549114190372284611938792513916457103447282,15.422552643004105391827929042215678296549114190372284611938792513916457103447282
Si-28,14,14,28,0,0.023073465000,0.000054642249,18.545143884440,0.001013348377,20.548866273572532786324952681693424146161645235281526892569401783481052324483663,20.548866273572532786324952681693424146161645235281526892569401783481052324483663
P-31,15,16,31,1,0.026238001500,0.000110510968,18.545143884440,0.002049441801,22.531498228476807180255779425314738888857920652555359882305849911556607435516376,22.531498228476807180255779425314738888857920652555359882305849911556607435516376
S-32,16,16,32,0,0.027928825600,0.000062448285,18.545143884440,0.001158112431,24.936758692718470714190803064792484738470451697464602162936459181121202656552757,24.936758692718470714190803064792484738470451697464602162936459181121202656552757
Cl-35,17,18,35,1,0.031147320000,0.000118317004,18.545143884440,0.002194205855,26.969652107725822033049629808413799481166727114738435152672907309196757767585471,26.969652107725822033049629808413799481166727114738435152672907309196757767585471
Ar-40,18,22,40,4,0.037616877600,0.000278117123,18.545143884440,0.005157722072,30.235508619485471630412259656178683116946746904376858851515194295783272768614517,30.235508619485471630412259656178683116946746904376858851515194295783272768614517
Ca-40,20,20,40,0,0.037409134000,0.000078060356,18.545143884440,0.001447640539,33.497915390286610029378503830990605923088064621830752703670573976401503320690947,33.497915390286610029378503830990605923088064621830752703670573976401503320690947
Ti-46,22,24,46,2,0.047373644000,0.000189797793,18.545143884440,0.003519827386,40.849567052969354595744157318233235408480615456378418683143470232552613542756374,40.849567052969354595744157318233235408480615456378418683143470232552613542756374
Ti-48,22,26,48,4,0.052058020000,0.000293729195,18.545143884440,0.005447250180,43.417652423044875230103960422376804301564359828743009392249309091063573432752707,43.417652423044875230103960422376804301564359828743009392249309091063573432752707
Cr-52,24,28,52,4,0.059495286000,0.000301535230,18.545143884440,0.005592014234,50.210574230860732578029810805475864893873166290926084662616366488703723764821801,50.210574230860732578029810805475864893873166290926084662616366488703723764821801
Mn-55,25,30,55,5,0.061956960000,0.000357403949,18.545143884440,0.006628107657,51.538493984188421569172637549097179636569441708199917652352814616779278875854515,51.538493984188421569172637549097179636569441708199917652352814616779278875854515
Fe-56,26,30,56,4,0.065062473000,0.000309341266,18.545143884440,0.005736778287,55.261528670645466708955661188574925486181972753109159932983423886343874096890896,55.261528670645466708955661188574925486181972753109159932983423886343874096890896
Ni-58,28,30,58,2,0.064657570000,0.000213215900,18.545143884440,0.003954119548,56.544899875641642356441708467530417185407034842927644494244642425473064538963658,56.544899875641642356441708467530417185407034842927644494244642425473064538963658
Co-59,27,32,59,5,0.066806476000,0.000365209985,18.545143884440,0.006772871711,55.920942193501419230518487932196240228878248170382992922719872014419429207923609,55.920942193501419230518487932196240228878248170382992922719872014419429207923609
Cu-63,29,34,63,5,0.070402280000,0.000373016020,18.545143884440,0.006917635765,59.135565197089453562304338315295300821187054632566068193086929412059579539992704,59.135565197089453562304338315295300821187054632566068193086929412059579539992704
Zn-64,30,34,64,4,0.070857990000,0.000324953337,18.545143884440,0.006026306395,60.390324287864070214847361954773046670799585677475310473717538681624174761029085,60.390324287864070214847361954773046670799585677475310473717538681624174761029085
Br-79,35,44,79,9,0.081662900000,0.000604296930,18.545143884440,0.011206773514,65.629459085260083971221495672879620384280962763844475422399779322001950316192652,65.629459085260083971221495672879620384280962763844475422399779322001950316192652
Kr-84,36,48,84,12,0.088502270000,0.000764097050,18.545143884440,0.014170289731,69.239793628754229336284125520644504020060982553482899121242066308588465317221698,69.239793628754229336284125520644504020060982553482899121242066308588465317221698
Y-89,39,50,89,11,0.094161844000,0.000723840403,18.545143884440,0.013423724415,75.207073964750546161412999543221310461982320060575216672239732975793210870327174,75.207073964750546161412999543221310461982320060575216672239732975793210870327174
Zr-90,40,50,90,10,0.095301245000,0.000675777720,18.545143884440,0.012532395045,77.098687119881854831616023182699056311594851105484458952870342245357806091363555,77.098687119881854831616023182699056311594851105484458952870342245357806091363555
Ag-107,47,60,107,13,0.094903180000,0.000858995946,18.545143884440,0.015930203424,73.562853842707581200576204179761121724301290281672108462813801424864772088599885,73.562853842707581200576204179761121724301290281672108462813801424864772088599885
Sn-120,50,70,120,20,0.097798370000,0.001234464905,18.545143884440,0.022893329282,69.773595998354967122964290618912203738557605278222788850234823526113357201690690,69.773595998354967122964290618912203738557605278222788850234823526113357201690690
I-127,53,74,127,21,0.095528100000,0.001298139659,18.545143884440,0.024074186760,66.558891459745398026512967745632579073562687157679697110338329051829062644792498,66.558891459745398026512967745632579073562687157679697110338329051829062644792498
