scenario_id,seed,door,scenario_lane,anchor,p_level,geometry,atom_count,ledger_count,carrier_count,carrier_atom_index,atom_id,ledger_id,ledger_slot,route,shell,shell_index,dimension,side,binding,node_affinity,shock,carrier_exposure,final_fate,history_class,tau_escape,tau_closure,tau_closure_minus_escape,escape_before_closure,total_power_proxy,individual_power,individual_power_fraction,inner_product_with_total,leave_one_out_power,delta_power,delta_power_fraction,coherence_multiplier,peak_source_norm,reinforcement_tolerance,reinforcement_state,behavior_lane,source_rank_in_scenario,global_shortlist_rank
REF_0150,910003,validation,REFERENCE_MIDDLE_DRIVE,middle_drive,2,dispersed_slots,5346,33,594,4860,4860,30,0,0,outer_light_shell,3,0,0,0.58,0.05213566947763493,1.6506044174623216,1.7006044174623214,ejecta_candidate,escape_only,1.108278379296948,,,,7.4706504227408645,1.343617035546647,0.037720795534610024,1.780730758891847,5.252805940503817,2.217844482237047,0.29687434918462624,1.6506522495338287,1.4805134879734079,1.2576852563536808e-14,reinforcer,outward_reinforcer,4,108
REF_0282,910004,final,REFERENCE_HIGH_DRIVE,high_drive,0,dispersed_slots,2268,14,252,2109,2109,13,3,9,outer_light_shell,3,0,1,0.58,0.17505003231754002,2.076067869596849,2.1260678695968487,ejecta_candidate,escape_only,1.0910370367455045,,,,31.208442923749185,5.36520827606805,0.06031040050349006,7.248490581857414,22.076670036102406,9.131772887646779,0.2926058473970718,1.7020351154641653,2.6166459969108824,1.238430274751952e-13,reinforcer,outward_reinforcer,3,109
REF_0027,910004,final,REFERENCE_LOW_DRIVE,low_drive,1,localized_ledger_cells,3402,21,378,2765,2765,17,11,5,outer_light_shell,3,2,1,0.58,0.16787397716341002,1.155768976788136,1.205768976788136,ejecta_candidate,dual,1.0054836220359533,1.1542807919962428,0.14879716996028947,True,12.476366004404577,0.4462900153537964,0.1290543379021062,2.0461372837061846,8.830381452346003,3.645984552058573,0.2922312916093851,8.169540941148366,0.980966094766658,3.300625927091158e-14,reinforcer,dual_launch_reinforcer,1,110
REF_0026,910004,final,REFERENCE_LOW_DRIVE,low_drive,0,dispersed_slots,2268,14,252,1953,1953,12,9,9,outer_light_shell,3,0,1,0.58,0.1922053776661483,1.1853965406970228,1.2353965406970229,ejecta_candidate,escape_only,1.0628535906823657,,,,2.8954991732728046,0.08776031733578885,0.01200799911225733,0.46691696883334516,2.049425552941903,0.8460736203309015,0.2922030260414746,9.640731095965066,0.5351293276092903,1.1490076084415893e-14,reinforcer,outward_reinforcer,4,111
REF_0024,910003,validation,REFERENCE_LOW_DRIVE,low_drive,3,dispersed_slots,9072,56,1008,8426,8426,52,2,2,outer_light_shell,3,2,0,0.58,0.054111893453287485,0.8498406896985033,0.8998406896985034,fallback,escape_only,1.2822438370700269,,,,4.557205291033906,0.17546131865473324,0.022987094767918888,0.7531293768896488,3.2264078559093416,1.3307974351245644,0.2920205147972701,7.584563055423412,0.6122797746659483,4.5210369950733194e-15,reinforcer,outward_reinforcer,4,112
REF_0016,910002,discovery,REFERENCE_LOW_DRIVE,low_drive,3,dispersed_slots,9072,56,1008,8270,8270,51,8,2,outer_light_shell,3,2,0,0.58,0.5593884898992139,1.2147256177498804,1.2647256177498805,ejecta_candidate,escape_only,1.1306397919206717,,,,4.3593776764842715,0.18685042032525556,0.021847707057145272,0.7296975478327712,3.086833001143985,1.2725446753402867,0.29190971046274705,6.810499399065487,0.8176660734947326,4.324779440956619e-15,reinforcer,outward_reinforcer,3,113
REF_0010,910002,discovery,REFERENCE_LOW_DRIVE,low_drive,0,dispersed_slots,2268,14,252,2107,2107,13,1,7,outer_light_shell,3,1,1,0.58,0.20927320008458528,1.1920534907984637,1.2420534907984637,ejecta_candidate,escape_only,1.0966201443575727,,,,7.265224013479815,0.5086769672478064,0.10773950802697484,1.3125748438804652,5.148751292966692,2.1164727205131237,0.2913155487822872,4.160740227662138,0.9333470074952311,2.88302540217453e-14,reinforcer,outward_reinforcer,1,114
REF_0022,910003,validation,REFERENCE_LOW_DRIVE,low_drive,2,dispersed_slots,5346,33,594,5199,5199,32,15,3,outer_light_shell,3,0,1,0.58,0.2799500668630689,1.188399277263752,1.238399277263752,ejecta_candidate,escape_only,1.2586850023632934,,,,1.9572347266342653,0.1424001953648715,0.018450738543987377,0.3562406764954582,1.3871535690082204,0.5700811576260449,0.2912686709817264,4.0033734235077985,0.6091619332857355,3.295007957296743e-15,reinforcer,outward_reinforcer,3,115
REF_0024,910003,validation,REFERENCE_LOW_DRIVE,low_drive,3,dispersed_slots,9072,56,1008,7132,7132,44,4,4,fusion_shell,2,1,0,0.83,0.12825237326558114,0.9904632530405283,0.7904632530405283,fallback,escape_only,1.2830632962022577,,,,4.557205291033906,0.14277393352952344,0.018704737691444297,0.7332370120114756,3.2335052005404785,1.3237000904934277,0.29046312508627764,9.271300844419944,0.4310439358056701,4.5210369950733194e-15,reinforcer,outward_reinforcer,5,116
REF_0268,910002,discovery,REFERENCE_HIGH_DRIVE,high_drive,1,dispersed_slots,3402,21,378,3242,3242,20,2,2,outer_light_shell,3,2,0,0.58,0.5245639224003904,1.9372786441623102,1.98727864416231,ejecta_candidate,escape_only,1.072335856944889,,,,27.87466115622729,1.5105026661976828,0.021792280190199492,4.778230651394015,19.82870251963694,8.045958636590347,0.28864776477445553,5.326676222852396,2.086582493226145,7.374248983128912e-14,reinforcer,outward_reinforcer,3,117
REF_0130,910001,discovery,REFERENCE_MIDDLE_DRIVE,middle_drive,0,dispersed_slots,2268,14,252,1796,1796,11,14,8,outer_light_shell,3,2,0,0.58,0.141062920116802,1.4109964313067718,1.4609964313067718,ejecta_candidate,escape_only,1.2325884995585312,,,,33.501576236129935,1.9545433705157553,0.07661594099605429,5.807390222995686,23.84133916065432,9.660237075475615,0.2883517183605674,4.942452145703228,1.6665249759448864,1.3294276284178545e-13,reinforcer,outward_reinforcer,2,118
REF_0268,910002,discovery,REFERENCE_HIGH_DRIVE,high_drive,1,dispersed_slots,3402,21,378,2920,2920,18,4,4,outer_light_shell,3,1,0,0.58,0.16929488734964449,2.054851423365714,2.1048514233657136,ejecta_candidate,escape_only,1.1202779268650858,,,,27.87466115622729,1.759348959711637,0.025382428207746256,4.886896338926823,19.860217438085282,8.014443718142008,0.28751717099712815,4.555346268232995,2.1497374188382063,7.374248983128912e-14,reinforcer,outward_reinforcer,4,119
REF_0156,910004,final,REFERENCE_MIDDLE_DRIVE,middle_drive,1,dispersed_slots,3402,21,378,2918,2918,18,2,2,outer_light_shell,3,2,0,0.58,0.09403514316147521,1.527300144008441,1.577300144008441,ejecta_candidate,escape_only,1.1037897161731252,,,,11.479097999637261,4.269905822322742,0.11852676816959498,3.784870574857851,8.179262672244302,3.2998353273929597,0.2874646882095818,0.7728122035248816,2.2239406340983225,3.0367984126024503e-14,reinforcer,outward_reinforcer,2,120
REF_0262,910001,discovery,REFERENCE_HIGH_DRIVE,high_drive,2,dispersed_slots,5346,33,594,4877,4877,30,17,5,outer_light_shell,3,2,1,0.58,0.18530905287945176,1.6505201156576594,1.7005201156576595,ejecta_candidate,escape_only,1.0229863794535987,,,,19.370384381854716,2.160339592062484,0.017406879413904383,3.863532701086784,13.803658571743632,5.566725810111084,0.28738334254872794,2.576782757009286,1.9116313038388788,3.261007471692713e-14,reinforcer,outward_reinforcer,1,121
REF_0137,910002,discovery,REFERENCE_MIDDLE_DRIVE,middle_drive,0,localized_ledger_cells,2268,14,252,1469,1469,9,11,5,outer_light_shell,3,2,1,0.58,0.07462215199193589,1.5501962264313285,1.6001962264313285,ejecta_candidate,escape_only,1.013196085947854,,,,26.01203749741977,2.5025236297901077,0.08132215652172226,4.955999745013527,18.602561637182824,7.409475860236945,0.2848479616782007,2.9608015572897486,1.9401669096358878,1.0322237102150701e-13,reinforcer,outward_reinforcer,1,122
