candidate_id,bin,route_combination,operator_class,route_class,partition_signature,closure_depth,q_sign,q_abs,native_charge_axis,spin_or_hand_class,color_or_owner_closure,closure_status,stability_status,M_native,surface_sign,surface_depth,surface_packet_address,S_debit_or_credit,M_observed_candidate,qA_source_support,tensor_carrier_support,retained_write_support,matter_row_allowed,known_match,promotion_status,latest_table_layer,latest_boundary_subtype,latest_matter_row_allowed,latest_promotion_status,latest_override_source,courtroom_table_layer,vault_reveal_status,vault_identity,known_identity_label,known_symbol,known_name,identity_assignment_role,known_label_used_as_construction_input,vault_reveal_source
QP093A-0021,stable_matter_rows,"neutral_single_write[p=9,g=0]",OUTER_BINARY_NEUTRAL,outer_binary_neutral,9,0,neutral,0,neutral,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_NEUTRAL_CANDIDATE,1.125,zero_contact,route_contact,route_contact,0,1.125,1.125,0.140625,0.984375,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,particle_candidate,,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,QP093A,particle,NATIVE_PARTICLE_IDENTITY_ASSIGNED_NO_KNOWN_LABEL,QP093A-0021|stable_matter_rows|OUTER_BINARY_NEUTRAL|outer_binary_neutral|p=9|d=0|q=neutral:0,,,,native_identity_no_external_label,no,CR119_DOWNSTREAM_ONLY_REVEAL
QP093A-0022,stable_matter_rows,"plus_single_write[p=12,g=0]",V4_1_SINGLE_WRITE,single_write,12,0,positive,12,plus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,15.00,zero_contact,route_contact,route_contact,0,15.00,16.25000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2.03125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,14.2187500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,particle_candidate,,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,QP093A,particle,NATIVE_PARTICLE_IDENTITY_ASSIGNED_NO_KNOWN_LABEL,QP093A-0022|stable_matter_rows|V4_1_SINGLE_WRITE|single_write|p=12|d=0|q=positive:12,,,,native_identity_no_external_label,no,CR119_DOWNSTREAM_ONLY_REVEAL
QP093A-0023,stable_matter_rows,"minus_single_write[p=12,g=0]",V4_1_SINGLE_WRITE,single_write,12,0,negative,12,minus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,18.0,zero_contact,route_contact,route_contact,0,18.0,19.49999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,2.437499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,17.06249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,particle_candidate,,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,QP093A,particle,NATIVE_PARTICLE_IDENTITY_ASSIGNED_NO_KNOWN_LABEL,QP093A-0023|stable_matter_rows|V4_1_SINGLE_WRITE|single_write|p=12|d=0|q=negative:12,,,,native_identity_no_external_label,no,CR119_DOWNSTREAM_ONLY_REVEAL
QP093A-0024,stable_matter_rows,"neutral_single_write[p=12,g=0]",OUTER_BINARY_NEUTRAL,outer_binary_neutral,12,0,neutral,0,neutral,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_NEUTRAL_CANDIDATE,1.500,zero_contact,route_contact,route_contact,0,1.500,1.500,0.1875,1.3125,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,particle_candidate,,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,QP093A,particle,NATIVE_PARTICLE_IDENTITY_ASSIGNED_NO_KNOWN_LABEL,QP093A-0024|stable_matter_rows|OUTER_BINARY_NEUTRAL|outer_binary_neutral|p=12|d=0|q=neutral:0,,,,native_identity_no_external_label,no,CR119_DOWNSTREAM_ONLY_REVEAL
QP093A-0025,stable_matter_rows,"plus_single_write[p=1,g=1]",V4_1_SINGLE_WRITE,single_write,1,1,positive,1,plus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,15.00,zero_contact,route_contact,route_contact,0,15.00,15.10416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1.888020833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,13.21614583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,particle_candidate,,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,QP093A,particle,NATIVE_PARTICLE_IDENTITY_ASSIGNED_NO_KNOWN_LABEL,QP093A-0025|stable_matter_rows|V4_1_SINGLE_WRITE|single_write|p=1|d=1|q=positive:1,,,,native_identity_no_external_label,no,CR119_DOWNSTREAM_ONLY_REVEAL
QP093A-0026,stable_matter_rows,"minus_single_write[p=1,g=1]",V4_1_SINGLE_WRITE,single_write,1,1,negative,1,minus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,18.0,zero_contact,route_contact,route_contact,0,18.0,18.12499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,2.265624999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,15.85937499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,particle_candidate,,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,QP093A,particle,NATIVE_PARTICLE_IDENTITY_ASSIGNED_NO_KNOWN_LABEL,QP093A-0026|stable_matter_rows|V4_1_SINGLE_WRITE|single_write|p=1|d=1|q=negative:1,,,,native_identity_no_external_label,no,CR119_DOWNSTREAM_ONLY_REVEAL
QP093A-0027,stable_matter_rows,"neutral_single_write[p=1,g=1]",OUTER_BINARY_NEUTRAL,outer_binary_neutral,1,1,neutral,0,neutral,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_NEUTRAL_CANDIDATE,1.500,zero_contact,route_contact,route_contact,0,1.500,1.500,0.1875,1.3125,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,particle_candidate,,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,QP093A,particle,NATIVE_PARTICLE_IDENTITY_ASSIGNED_NO_KNOWN_LABEL,QP093A-0027|stable_matter_rows|OUTER_BINARY_NEUTRAL|outer_binary_neutral|p=1|d=1|q=neutral:0,,,,native_identity_no_external_label,no,CR119_DOWNSTREAM_ONLY_REVEAL
QP093A-0028,stable_matter_rows,"plus_single_write[p=2,g=1]",V4_1_SINGLE_WRITE,single_write,2,1,positive,2,plus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,30.00,zero_contact,route_contact,route_contact,0,30.00,30.41666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,3.802083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333334,26.61458333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333334,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,particle_candidate,,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,QP093A,particle,NATIVE_PARTICLE_IDENTITY_ASSIGNED_NO_KNOWN_LABEL,QP093A-0028|stable_matter_rows|V4_1_SINGLE_WRITE|single_write|p=2|d=1|q=positive:2,,,,native_identity_no_external_label,no,CR119_DOWNSTREAM_ONLY_REVEAL
QP093A-0029,stable_matter_rows,"minus_single_write[p=2,g=1]",V4_1_SINGLE_WRITE,single_write,2,1,negative,2,minus,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_MATTER_CANDIDATE,36.0,zero_contact,route_contact,route_contact,0,36.0,36.50000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,4.56250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,31.9375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,particle_candidate,,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,QP093A,particle,NATIVE_PARTICLE_IDENTITY_ASSIGNED_NO_KNOWN_LABEL,QP093A-0029|stable_matter_rows|V4_1_SINGLE_WRITE|single_write|p=2|d=1|q=negative:2,,,,native_identity_no_external_label,no,CR119_DOWNSTREAM_ONLY_REVEAL
QP093A-0030,stable_matter_rows,"neutral_single_write[p=2,g=1]",OUTER_BINARY_NEUTRAL,outer_binary_neutral,2,1,neutral,0,neutral,fermion_half_write,owner_closed,CLOSED_WRITE,STABLE_NEUTRAL_CANDIDATE,3.000,zero_contact,route_contact,route_contact,0,3.000,3.000,0.375,2.625,yes,,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,particle_candidate,,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,QP093A,particle,NATIVE_PARTICLE_IDENTITY_ASSIGNED_NO_KNOWN_LABEL,QP093A-0030|stable_matter_rows|OUTER_BINARY_NEUTRAL|outer_binary_neutral|p=2|d=1|q=neutral:0,,,,native_identity_no_external_label,no,CR119_DOWNSTREAM_ONLY_REVEAL
