sample_idx,mass_density_modulation_BEC,MEMS_pressure,EM_laser_focal,acoustic_phonon,charge_pulse_low_field,spontaneous_baseline
645,-2.38,-3.4795,-2.9258,-12.011,-6.9277,-20.312
646,-2.3233,-3.3979,-2.568,-11.5512,-6.468,-20.301
647,-2.3233,-3.3979,-2.8256,-11.9108,-6.8276,-20.301
648,-2.4059,-3.5054,-2.9517,-12.0368,-6.9536,-20.3379
649,-2.4407,-3.5402,-2.9865,-12.0717,-6.9884,-20.3727
650,-2.7491,-3.8486,-3.2949,-12.3801,-7.2968,-20.6811
651,-2.9093,-4.0087,-3.455,-12.5402,-7.457,-20.8412
652,-2.3233,-3.3979,-2.568,-11.4689,-6.3857,-20.301
653,-2.3959,-3.4953,-2.9416,-12.0268,-6.9436,-20.3278
654,-2.3233,-3.3979,-2.568,-11.6121,-6.5289,-20.301
655,-2.4886,-3.5881,-3.0344,-12.1196,-7.0363,-20.4206
656,-2.8819,-3.9814,-3.4277,-12.5129,-7.4296,-20.8139
657,-2.3233,-3.3979,-2.759,-11.8441,-6.7609,-20.301
658,-2.9066,-4.006,-3.4523,-12.5375,-7.4543,-20.8385
659,-2.7915,-3.8909,-3.3372,-12.4224,-7.3392,-20.7234
660,-2.3233,-3.3979,-2.8392,-11.9243,-6.8411,-20.301
661,-2.6053,-3.7047,-3.151,-12.2362,-7.153,-20.5372
662,-2.3233,-3.3979,-2.568,-11.4053,-6.322,-20.301
663,-2.8285,-3.928,-3.3743,-12.4594,-7.3762,-20.7605
664,-2.3233,-3.3979,-2.5964,-11.6816,-6.5983,-20.301
665,-2.3233,-3.3979,-2.7868,-11.872,-6.7887,-20.301
666,-2.3233,-3.3979,-2.568,-11.6499,-6.5667,-20.301
667,-2.6994,-3.7988,-3.2451,-12.3303,-7.2471,-20.6313
668,-2.3419,-3.4413,-2.8876,-11.9728,-6.8896,-20.301
669,-2.4287,-3.5281,-2.9744,-12.0596,-6.9764,-20.3606
670,-2.438,-3.5375,-2.9838,-12.069,-6.9857,-20.37
