Z,symbol,name_common,N,A,isotope,atomic_mass_u,ame_flag,ame_element,B_u_obs_MeV,B_u_base_MeV,op_contribution_MeV,op_82pre_MeV,op_3d_odd_MeV,op_dm_sat_MeV,op_ms_fill_MeV,B_u_final_MeV,residual_MeV,row_status,notes
71,Lu,Lutetium,104,175,Lu-175,174.94077721100,measured,Lu,55.165679,49.901498,0.000000,-0.000000,0.000000,0.000000,-0.000000,49.901498,-5.264180,extended_observed,
72,Hf,Hafnium,108,180,Hf-180,179.94655953700,measured,Hf,49.779476,43.750822,0.000000,-0.000000,0.000000,0.000000,-0.000000,43.750822,-6.028654,extended_observed,
73,Ta,Tantalum,108,181,Ta-181,180.94799852800,measured,Ta,48.439064,42.009654,0.000000,-0.000000,0.000000,0.000000,-0.000000,42.009654,-6.429411,extended_observed,
74,W,Tungsten,110,184,W-184,183.95093318000,measured,W,45.705453,43.902445,0.000000,-0.000000,0.000000,0.000000,-0.000000,43.902445,-1.803008,cr274_training,
75,Re,Rhenium,112,187,Re-187,186.95575221700,measured,Re,41.216549,34.330460,0.000000,-0.000000,0.000000,0.000000,-0.000000,34.330460,-6.886089,extended_observed,
76,Os,Osmium,116,192,Os-192,191.96147876500,measured,Os,35.882303,27.910663,0.000000,-0.000000,0.000000,0.000000,-0.000000,27.910663,-7.971640,extended_observed,
77,Ir,Iridium,116,193,Ir-193,192.96292375300,measured,Ir,34.536305,26.900690,0.000000,-0.000000,0.000000,0.000000,-0.000000,26.900690,-7.635615,extended_observed,
78,Pt,Platinum,117,195,Pt-195,194.96479432500,measured,Pt,32.793879,27.192328,0.000000,-0.000000,0.000000,0.000000,-0.000000,27.192328,-5.601550,extended_observed,
79,Au,Gold,118,197,Au-197,196.96657010300,measured,Au,31.139752,27.421477,0.000000,-0.000000,0.000000,0.000000,-0.000000,27.421477,-3.718275,cr274_training,
80,Hg,Mercury,122,202,Hg-202,201.97064360400,measured,Hg,27.345310,21.876036,0.000000,-0.000000,0.000000,0.000000,-0.000000,21.876036,-5.469274,cr274_training,
81,Tl,Thallium,124,205,Tl-205,204.97442731800,measured,Tl,23.820802,13.266175,0.000000,-0.000000,0.000000,0.000000,-0.000000,13.266175,-10.554627,extended_observed,
82,Pb,Lead,126,208,Pb-208,207.97665200500,measured,Pb,21.748520,14.568252,7.180038,-0.000000,0.000000,7.180038,-0.000000,21.748290,-0.000230,cr274_training,
83,Bi,Bismuth,126,209,Bi-209,208.98039859900,measured,Bi,18.258589,12.265590,0.000000,-0.000000,0.000000,0.000000,-0.000000,12.265590,-5.993000,extended_observed,
84,Po,Polonium,125,209,Po-209,208.98243036100,measured,Po,16.366015,16.435869,0.000000,-0.000000,0.000000,0.000000,-0.000000,16.435869,0.069854,extended_observed,
85,At,Astatine,125,210,At-210,209.98714742300,measured,At,11.972100,11.342280,0.000000,-0.000000,0.000000,0.000000,-0.000000,11.342280,-0.629820,extended_observed,
86,Rn,Radon,136,222,Rn-222,222.01757601700,measured,Rn,-16.371956,-24.854302,0.000000,-0.000000,0.000000,0.000000,-0.000000,-24.854302,-8.482346,extended_observed,
87,Fr,Francium,136,223,Fr-223,223.01973424100,measured,Fr,-18.382329,-25.828466,0.000000,-0.000000,0.000000,0.000000,-0.000000,-25.828466,-7.446137,extended_observed,
88,Ra,Radium,138,226,Ra-226,226.02540818600,measured,Ra,-23.667575,-26.376451,0.000000,-0.000000,0.000000,0.000000,-0.000000,-26.376451,-2.708876,extended_observed,
89,Ac,Actinium,138,227,Ac-227,227.02775059400,measured,Ac,-25.849515,-27.863545,0.000000,-0.000000,0.000000,0.000000,-0.000000,-27.863545,-2.014030,extended_observed,
90,Th,Thorium,142,232,Th-232,232.03805360600,measured,Th,-35.446710,-37.794970,0.000000,-0.000000,0.000000,0.000000,-0.000000,-37.794970,-2.348260,cr274_training,
91,Pa,Protactinium,140,231,Pa-231,231.03588250000,measured,Pa,-33.424337,-30.382865,0.000000,-0.000000,0.000000,0.000000,-0.000000,-30.382865,3.041472,extended_observed,
92,U,Uranium,146,238,U-238,238.05078693600,measured,U,-47.307731,-49.587525,0.000000,-0.000000,0.000000,0.000000,-0.000000,-49.587525,-2.279794,cr274_training,
93,Np,Neptunium,144,237,Np-237,237.04817164000,measured,Np,-44.871599,-41.789886,0.000000,-0.000000,0.000000,0.000000,-0.000000,-41.789886,3.081713,extended_observed,
94,Pu,Plutonium,150,244,Pu-244,244.06420440100,measured,Pu,-59.806021,-62.213355,0.000000,-0.000000,0.000000,0.000000,-0.000000,-62.213355,-2.407334,extended_observed,
95,Am,Americium,148,243,Am-243,243.06137988900,measured,Am,-57.175005,-54.069434,0.000000,-0.000000,0.000000,0.000000,-0.000000,-54.069434,3.105570,extended_observed,
96,Cm,Curium,151,247,Cm-247,247.07035267800,measured,Cm,-65.533105,-65.372657,0.000000,-0.000000,0.000000,0.000000,-0.000000,-65.372657,0.160448,extended_observed,
97,Bk,Berkelium,150,247,Bk-247,247.07030588900,measured,Bk,-65.489521,-58.438943,0.000000,-0.000000,0.000000,0.000000,-0.000000,-58.438943,7.050578,extended_observed,
98,Cf,Californium,153,251,Cf-251,251.07958717100,measured,Cf,-74.134980,-69.937675,0.000000,-0.000000,0.000000,0.000000,-0.000000,-69.937675,4.197306,extended_observed,
99,Es,Einsteinium,153,252,Es-252,252.08297917300,measured,Es,-77.294610,-73.165721,0.000000,-0.000000,0.000000,0.000000,-0.000000,-73.165721,4.128889,extended_observed,
100,Fm,Fermium,157,257,Fm-257,257.09510541900,measured,Fm,-88.590137,-85.103836,0.000000,-0.000000,0.000000,0.000000,-0.000000,-85.103836,3.486301,extended_observed,
101,Md,Mendelevium,157,258,Md-258,258.09843363400,measured,Md,-91.690350,-88.473756,0.000000,-0.000000,0.000000,0.000000,-0.000000,-88.473756,3.216594,extended_observed,
102,No,Nobelium,157,259,No-259,259.10099836400,measured,No,-94.079380,-82.815370,0.000000,-0.000000,0.000000,0.000000,-0.000000,-82.815370,11.264010,extended_observed,
103,Lr,Lawrencium,163,266,Lr-266,266.11987400000,estimated,Lr,-111.661924,-115.161059,0.000000,-0.000000,0.000000,0.000000,-0.000000,-115.161059,-3.499135,extended_observed,
104,Rf,Rutherfordium,163,267,Rf-267,267.12178700000,estimated,Rf,-113.443872,-109.186075,0.000000,-0.000000,0.000000,0.000000,-0.000000,-109.186075,4.257797,extended_observed,
105,Db,Dubnium,163,268,Db-268,268.12566900000,estimated,Db,-117.059932,-113.461658,0.000000,-0.000000,0.000000,0.000000,-0.000000,-113.461658,3.598275,extended_observed,
106,Sg,Seaborgium,163,269,Sg-269,269.12849500000,estimated,Sg,-119.692335,-108.863879,0.000000,-0.000000,0.000000,0.000000,-0.000000,-108.863879,10.828456,extended_observed,
107,Bh,Bohrium,163,270,Bh-270,270.13336600000,estimated,Bh,-124.229642,-114.467781,0.000000,-0.000000,0.000000,0.000000,-0.000000,-114.467781,9.761861,extended_observed,
108,Hs,Hassium,169,277,Hs-277,277.15177200000,estimated,Hs,-141.374723,-137.286692,0.000000,-0.000000,0.000000,0.000000,-0.000000,-137.286692,4.088030,extended_observed,
109,Mt,Meitnerium,169,278,Mt-278,278.15648700000,estimated,Mt,-145.766718,-142.388650,0.000000,-0.000000,0.000000,0.000000,-0.000000,-142.388650,3.378068,extended_observed,
110,Ds,Darmstadtium,171,281,Ds-281,281.16454500000,estimated,Ds,-153.272697,-147.813773,0.000000,-0.000000,0.000000,0.000000,-0.000000,-147.813773,5.458924,extended_observed,
111,Rg,Roentgenium,171,282,Rg-282,282.16934300000,estimated,Rg,-157.742006,-153.582797,0.000000,-0.000000,0.000000,0.000000,-0.000000,-153.582797,4.159209,extended_observed,
112,Cn,Copernicium,173,285,Cn-285,285.17722700000,estimated,Cn,-165.085905,-159.296026,0.000000,-0.000000,0.000000,0.000000,-0.000000,-159.296026,5.789879,extended_observed,
113,Nh,Nihonium,173,286,Nh-286,286.18245600000,estimated,Nh,-169.956688,-165.698504,0.000000,-0.000000,0.000000,0.000000,-0.000000,-165.698504,4.258184,extended_observed,
114,Fl,Flerovium,175,289,Fl-289,289.19051700000,estimated,Fl,-177.465462,-171.640635,0.000000,-0.000000,0.000000,0.000000,-0.000000,-171.640635,5.824827,extended_observed,
115,Mc,Moscovium,175,290,Mc-290,290.19623500000,estimated,Mc,-182.791745,-178.640124,0.000000,-0.000000,0.000000,0.000000,-0.000000,-178.640124,4.151621,extended_observed,
116,Lv,Livermorium,177,293,Lv-293,293.20458300000,estimated,Lv,-190.567858,-184.745304,0.000000,-0.000000,0.000000,0.000000,-0.000000,-184.745304,5.822554,extended_observed,
117,Ts,Tennessine,177,294,Ts-294,294.21084000000,estimated,Ts,-196.396217,-192.300732,0.000000,-0.000000,0.000000,0.000000,-0.000000,-192.300732,4.095484,extended_observed,
118,Og,Oganesson,176,294,Og-294,294.21397900000,estimated,Og,-199.320177,-183.421227,0.000000,-0.000000,0.000000,0.000000,-0.000000,-183.421227,15.898949,extended_observed,
119,Hl,Harlium,119,238,Hl-238,,frontier_no_ame,,,-379.217499,0.000000,-0.000000,0.000000,0.000000,-0.000000,-379.217499,,frontier_forecast,CR273 Z=N balanced-anchor; K1 forecast lock; supersedes SOB126_ledger row 119
120,Bx,Brockium,120,240,Bx-240,,frontier_no_ame,,,-334.876661,0.000000,-0.000000,0.000000,0.000000,-0.000000,-334.876661,,frontier_forecast,CR273 Z=N balanced-anchor; K1 forecast lock; supersedes SOB126_ledger row 120
121,Uq,Uniquium,121,242,Uq-242,,frontier_no_ame,,,-400.641964,0.000000,-0.000000,0.000000,0.000000,-0.000000,-400.641964,,frontier_forecast,CR273 Z=N balanced-anchor; K1 forecast lock; supersedes SOB126_ledger row 121
122,Lm,Liamium,122,244,Lm-244,,frontier_no_ame,,,-355.470499,0.000000,-0.000000,0.000000,0.000000,-0.000000,-355.470499,,frontier_forecast,CR273 Z=N balanced-anchor; K1 forecast lock; supersedes SOB126_ledger row 122
123,Cp,Cooperium,123,246,Cp-246,,frontier_no_ame,,,-421.636171,0.000000,-0.000000,0.000000,0.000000,-0.000000,-421.636171,,frontier_forecast,CR273 Z=N balanced-anchor; K1 forecast lock; supersedes SOB126_ledger row 123
124,Ly,Lindesium,124,248,Ly-248,,frontier_no_ame,,,-375.397815,0.000000,-0.000000,0.000000,0.000000,-0.000000,-375.397815,,frontier_forecast,CR273 Z=N balanced-anchor; K1 forecast lock; supersedes SOB126_ledger row 124
125,Di,Dorisium,125,250,Di-250,,frontier_no_ame,,,-441.662096,0.000000,-0.000000,0.000000,0.000000,-0.000000,-441.662096,,frontier_forecast,CR273 Z=N balanced-anchor; K1 forecast lock; supersedes SOB126_ledger row 125
126,Jd,Jerroldium,126,252,Jd-252,,frontier_no_ame,,,-395.512902,7.180038,-0.000000,0.000000,7.180038,-0.000000,-388.332865,,frontier_forecast,CR273 Z=N balanced-anchor; K1 forecast lock; supersedes SOB126_ledger row 126
