lane_id,lane_class,range_name,channel,ell_min,ell_max,n_points,official_theory_chi2_diag,model_chi2_diag,delta_chi2_vs_official_theory,official_theory_chi2_per_point,model_chi2_per_point,delta_chi2_per_point,rms_model_minus_official_theory_Dl,max_abs_model_minus_official_theory_Dl,rms_model_minus_measured_in_sigma
wc_imported_ns_only,RUNNABLE_WRONG_CONTROL,low_l_TTTEEE,TT,2,29,28,27.358720116418983,29.606038249999454,2.247318133580471,0.9770971470149636,1.057358508928552,0.08026136191358825,13.452909417601857,18.64505964097134,1.0282793924457263
wc_imported_ns_only,RUNNABLE_WRONG_CONTROL,high_l_TTTEEE,TE,30,1996,1967,2045.7340556288202,2052.9594977160473,7.225442087227066,1.0400274812551196,1.0437008122603189,0.0036733310051993216,0.6022025565726332,1.5671421400440693,1.0216167638896294
wc_imported_ns_only,RUNNABLE_WRONG_CONTROL,low_l_TTTEEE,TE,2,29,28,27.010276594364893,27.121159306309497,0.11088271194460475,0.9646527355130319,0.9686128323681963,0.0039600968551644555,0.028460682331698923,0.06073735219014953,0.9841813005580813
wc_imported_ns_only,RUNNABLE_WRONG_CONTROL,high_l_TTTEEE,EE,30,1996,1967,2044.0782575611631,2049.636510662659,5.558253101495893,1.0391856927103016,1.042011444159969,0.0028257514496674596,0.2319838571346603,0.4715692109374956,1.0207896179722682
wc_imported_ns_only,RUNNABLE_WRONG_CONTROL,low_l_TTTEEE,EE,2,29,28,22.588468457795948,22.399501009761792,-0.18896744803415544,0.8067310163498552,0.799982178920064,-0.006748837429791266,0.0003196584073624631,0.0008926238656358013,0.8944172286578921
wc_imported_tau_only,RUNNABLE_WRONG_CONTROL,high_l_TTTEEE,TT,30,2500,2471,2538.388360692202,2607.404356877607,69.01599618540513,1.0272716959498995,1.0552020869597762,0.02793039100987662,24.545814408504523,77.06107841742505,1.0272302988910404
wc_imported_tau_only,RUNNABLE_WRONG_CONTROL,low_l_TTTEEE,TT,2,29,28,27.358720116418983,29.754438125208182,2.395718008789199,0.9770971470149636,1.0626585044717207,0.08556135745675711,14.331555872581045,19.961135396661348,1.0308532894993936
wc_imported_tau_only,RUNNABLE_WRONG_CONTROL,high_l_TTTEEE,TE,30,1996,1967,2045.7340556288202,2053.1033120306765,7.369256401856319,1.0400274812551196,1.043773925790888,0.003746444535768337,0.6094570325346201,1.5947069581000193,1.0216525465102546
wc_imported_tau_only,RUNNABLE_WRONG_CONTROL,low_l_TTTEEE,TE,2,29,28,27.010276594364893,27.126480374504776,0.11620378013988386,0.9646527355130319,0.9688028705180277,0.004150135004995852,0.02941833709516327,0.06269129394209205,0.9842778421350487
wc_imported_tau_only,RUNNABLE_WRONG_CONTROL,high_l_TTTEEE,EE,30,1996,1967,2044.0782575611631,2049.823788891848,5.745531330684798,1.0391856927103016,1.0421066542408988,0.0029209615305972538,0.23247343320727326,0.4719561789616833,1.0208362524131374
