lane,lane_status,H0,omega_b_h2,omega_cdm_h2_for_camb,omega_m_total_h2,card_sha256,range_name,channel,ell_min,ell_max,n_points,official_theory_chi2_diag,model_chi2_diag,delta_chi2_vs_official_theory,official_theory_chi2_per_point,model_chi2_per_point,delta_chi2_per_point,rms_model_minus_official_theory_Dl,max_abs_model_minus_official_theory_Dl,rms_model_minus_measured_in_sigma
boundary_theta_exact_analytic,BOUNDARY_DIAGNOSTIC,67.904210097,0.02273168411866837,0.12129870986234363,0.14467458552062978,b974ec295ca0a5a814e10df28cdc7250c114e5ceb62f41642711ba5ffabe48c8,high_l_TTTEEE,EE,30,1996,1967,2044.0782575611606,2057.4852404971152,13.406982935954602,1.0391856927103003,1.046001647431172,0.0068159547208716835,0.33279154205718303,0.8530640871827373,1.0227422194429894
boundary_theta_exact_analytic,BOUNDARY_DIAGNOSTIC,67.904210097,0.02273168411866837,0.12129870986234363,0.14467458552062978,b974ec295ca0a5a814e10df28cdc7250c114e5ceb62f41642711ba5ffabe48c8,low_l_TTTEEE,EE,2,29,28,22.588468457795944,22.504178885188793,-0.08428957260715109,0.8067310163498551,0.8037206744710284,-0.0030103418788268244,0.00016135840392745164,0.0005592789454629057,0.8965046985214458
wrong_control_local_ladder,WRONG_CONTROL,73.04,0.026300241614126304,0.14044204532944535,0.16738647848318944,2644c9c9b30b7c062b6a9bb1818c2d8d2f1cc50965d412cb608361fb546fcc4c,high_l_TTTEEE,TT,30,2500,2471,2538.388360692201,8338.68673218895,5800.298371496749,1.027271695949899,3.374620288218919,2.3473485922690203,140.57669512134657,353.637373399426,1.8370139597234745
wrong_control_local_ladder,WRONG_CONTROL,73.04,0.026300241614126304,0.14044204532944535,0.16738647848318944,2644c9c9b30b7c062b6a9bb1818c2d8d2f1cc50965d412cb608361fb546fcc4c,low_l_TTTEEE,TT,2,29,28,27.358720116418983,27.807455203159506,0.4487350867405233,0.9770971470149636,0.9931234001128395,0.016026253097875833,2.979355108896804,7.826447405074077,0.9965557686917674
wrong_control_local_ladder,WRONG_CONTROL,73.04,0.026300241614126304,0.14044204532944535,0.16738647848318944,2644c9c9b30b7c062b6a9bb1818c2d8d2f1cc50965d412cb608361fb546fcc4c,high_l_TTTEEE,TE,30,1996,1967,2045.7340556288223,4430.428797720241,2384.694742091419,1.0400274812551207,2.2523786465278297,1.2123511652727093,16.66382106346686,47.75454262868507,1.5007926727325895
wrong_control_local_ladder,WRONG_CONTROL,73.04,0.026300241614126304,0.14044204532944535,0.16738647848318944,2644c9c9b30b7c062b6a9bb1818c2d8d2f1cc50965d412cb608361fb546fcc4c,low_l_TTTEEE,TE,2,29,28,27.010276594364893,27.206116967033534,0.1958403726686413,0.9646527355130319,0.9716470345369119,0.006994299023880046,0.049369649041568625,0.13298488564202193,0.9857215806387278
wrong_control_local_ladder,WRONG_CONTROL,73.04,0.026300241614126304,0.14044204532944535,0.16738647848318944,2644c9c9b30b7c062b6a9bb1818c2d8d2f1cc50965d412cb608361fb546fcc4c,high_l_TTTEEE,EE,30,1996,1967,2044.0782575611606,3289.88299170818,1245.8047341470192,1.0391856927103003,1.6725383791093948,0.6333526863990947,3.8453020926517287,9.77661051513952,1.293266553773581
wrong_control_local_ladder,WRONG_CONTROL,73.04,0.026300241614126304,0.14044204532944535,0.16738647848318944,2644c9c9b30b7c062b6a9bb1818c2d8d2f1cc50965d412cb608361fb546fcc4c,low_l_TTTEEE,EE,2,29,28,22.588468457795944,22.339460862935145,-0.24900759486079949,0.8067310163498551,0.7978378879619694,-0.008893128387885696,0.0009056006615346489,0.0026655353462288547,0.8932177158800476
primary_planck_side,PRIMARY_SAM_BACKGROUND,67.36,0.022368783502886305,0.11935194895461661,0.1423649239971207,d1060a09eaaaa4cb5799aeee9ce31bf8c8b9918ae9da22e54a6f23dd74793612,high_l_TTTEEE,TTTEEE_COMBINED,30,2500,6405,6628.200673882184,6633.8602380549255,5.659564172741739,1.0348478803875385,1.035731496964079,0.0008836165765404745,,,
primary_planck_side,PRIMARY_SAM_BACKGROUND,67.36,0.022368783502886305,0.11935194895461661,0.1423649239971207,d1060a09eaaaa4cb5799aeee9ce31bf8c8b9918ae9da22e54a6f23dd74793612,low_l_TTTEEE,TTTEEE_COMBINED,2,29,84,76.95746516857982,77.4303534448109,0.47288827623108887,0.9161602996259501,0.9217899219620346,0.005629622336084391,,,
boundary_theta_exact_analytic,BOUNDARY_DIAGNOSTIC,67.904210097,0.02273168411866837,0.12129870986234363,0.14467458552062978,b974ec295ca0a5a814e10df28cdc7250c114e5ceb62f41642711ba5ffabe48c8,high_l_TTTEEE,TTTEEE_COMBINED,30,2500,6405,6628.200673882184,6700.7823146516075,72.58164076942376,1.0348478803875385,1.0461799086107115,0.011332028223173108,,,
boundary_theta_exact_analytic,BOUNDARY_DIAGNOSTIC,67.904210097,0.02273168411866837,0.12129870986234363,0.14467458552062978,b974ec295ca0a5a814e10df28cdc7250c114e5ceb62f41642711ba5ffabe48c8,low_l_TTTEEE,TTTEEE_COMBINED,2,29,84,76.95746516857982,77.40156990551748,0.4441047369376605,0.9161602996259501,0.92144726077997,0.005286961154019768,,,
wrong_control_local_ladder,WRONG_CONTROL,73.04,0.026300241614126304,0.14044204532944535,0.16738647848318944,2644c9c9b30b7c062b6a9bb1818c2d8d2f1cc50965d412cb608361fb546fcc4c,high_l_TTTEEE,TTTEEE_COMBINED,30,2500,6405,6628.200673882184,16058.99852161737,9430.797847735186,1.0348478803875385,2.5072597223446325,1.472411841957094,,,
wrong_control_local_ladder,WRONG_CONTROL,73.04,0.026300241614126304,0.14044204532944535,0.16738647848318944,2644c9c9b30b7c062b6a9bb1818c2d8d2f1cc50965d412cb608361fb546fcc4c,low_l_TTTEEE,TTTEEE_COMBINED,2,29,84,76.95746516857982,77.35303303312818,0.3955678645483687,0.9161602996259501,0.9208694408705737,0.004709141244623437,,,
