candidate_id,bin,partition_signature,n_atoms,n_conn,q_abs,q_sign,M_native,M_observed,formula_applicable,predicted_ratio,actual_ratio,abs_rel_delta,classification,set
QP093A-0085,antimatter_conjugate_rows,9,1,0,9,negative,11.25,19.6875,False,,1.75,,not_applicable,out_of_scope
QP093A-0086,antimatter_conjugate_rows,9,1,0,9,positive,13.5,3.375,False,,0.25,,not_applicable,out_of_scope
QP093A-0087,antimatter_conjugate_rows,12,1,0,12,negative,15.00,30.00,False,,2,,not_applicable,out_of_scope
QP093A-0088,antimatter_conjugate_rows,12,1,0,12,positive,18.0,0.0,False,,0,,not_applicable,out_of_scope
QP093A-0089,antimatter_conjugate_rows,1,1,0,1,negative,15.00,15.10416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,False,,1.0069444444444444444444444444444444444444444444444444444444444444444444444444444,,not_applicable,out_of_scope
QP093A-0090,antimatter_conjugate_rows,1,1,0,1,positive,18.0,17.87500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,False,,0.99305555555555555555555555555555555555555555555555555555555555555555555555555556,,not_applicable,out_of_scope
QP093A-0091,antimatter_conjugate_rows,2,1,0,2,negative,30.00,30.41666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,False,,1.0138888888888888888888888888888888888888888888888888888888888888888888888888889,,not_applicable,out_of_scope
QP093A-0092,antimatter_conjugate_rows,2,1,0,2,positive,36.0,35.50000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,False,,0.98611111111111111111111111111111111111111111111111111111111111111111111111111111,,not_applicable,out_of_scope
QP093A-0093,antimatter_conjugate_rows,3,1,0,3,negative,45.00,45.9375,False,,1.0208333333333333333333333333333333333333333333333333333333333333333333333333333,,not_applicable,out_of_scope
QP093A-0094,antimatter_conjugate_rows,3,1,0,3,positive,54.0,52.875,False,,0.97916666666666666666666666666666666666666666666666666666666666666666666666666667,,not_applicable,out_of_scope
QP093A-0095,antimatter_conjugate_rows,4,1,0,4,negative,60.00,61.66666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,False,,1.0277777777777777777777777777777777777777777777777777777777777777777777777777778,,not_applicable,out_of_scope
QP093A-0096,antimatter_conjugate_rows,4,1,0,4,positive,72.0,70.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,False,,0.97222222222222222222222222222222222222222222222222222222222222222222222222222222,,not_applicable,out_of_scope
QP093A-0097,antimatter_conjugate_rows,6,1,0,6,negative,90.00,93.750,False,,1.0416666666666666666666666666666666666666666666666666666666666666666666666666667,,not_applicable,out_of_scope
QP093A-0098,antimatter_conjugate_rows,6,1,0,6,positive,108.0,103.50,False,,0.95833333333333333333333333333333333333333333333333333333333333333333333333333333,,not_applicable,out_of_scope
QP093A-0099,antimatter_conjugate_rows,8,1,0,8,negative,120.00,126.6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,False,,1.0555555555555555555555555555555555555555555555555555555555555555555555555555556,,not_applicable,out_of_scope
QP093A-0100,antimatter_conjugate_rows,8,1,0,8,positive,144.0,136.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,False,,0.94444444444444444444444444444444444444444444444444444444444444444444444444444444,,not_applicable,out_of_scope
QP093A-0101,antimatter_conjugate_rows,9,1,0,9,negative,135.00,143.4375,False,,1.0625,,not_applicable,out_of_scope
QP093A-0102,antimatter_conjugate_rows,9,1,0,9,positive,162.0,151.875,False,,0.9375,,not_applicable,out_of_scope
QP093A-0103,antimatter_conjugate_rows,12,1,0,12,negative,180.00,195.00,False,,1.0833333333333333333333333333333333333333333333333333333333333333333333333333333,,not_applicable,out_of_scope
QP093A-0104,antimatter_conjugate_rows,12,1,0,12,positive,216.0,198.0,False,,0.91666666666666666666666666666666666666666666666666666666666666666666666666666667,,not_applicable,out_of_scope
QP093A-0105,antimatter_conjugate_rows,1,1,0,1,negative,180.00,180.1041666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,False,,1.0005787037037037037037037037037037037037037037037037037037037037037037037037037,,not_applicable,out_of_scope
QP093A-0106,antimatter_conjugate_rows,1,1,0,1,positive,216.0,215.8750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,False,,0.99942129629629629629629629629629629629629629629629629629629629629629629629629630,,not_applicable,out_of_scope
QP093A-0107,antimatter_conjugate_rows,2,1,0,2,negative,360.00,360.4166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,False,,1.0011574074074074074074074074074074074074074074074074074074074074074074074074074,,not_applicable,out_of_scope
QP093A-0108,antimatter_conjugate_rows,2,1,0,2,positive,432.0,431.5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,False,,0.99884259259259259259259259259259259259259259259259259259259259259259259259259259,,not_applicable,out_of_scope
QP093A-0109,antimatter_conjugate_rows,3,1,0,3,negative,540.00,540.9375,False,,1.0017361111111111111111111111111111111111111111111111111111111111111111111111111,,not_applicable,out_of_scope
QP093A-0110,antimatter_conjugate_rows,3,1,0,3,positive,648.0,646.875,False,,0.99826388888888888888888888888888888888888888888888888888888888888888888888888889,,not_applicable,out_of_scope
QP093A-0111,antimatter_conjugate_rows,4,1,0,4,negative,720.00,721.6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,False,,1.0023148148148148148148148148148148148148148148148148148148148148148148148148148,,not_applicable,out_of_scope
QP093A-0112,antimatter_conjugate_rows,4,1,0,4,positive,864.0,862.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,False,,0.99768518518518518518518518518518518518518518518518518518518518518518518518518519,,not_applicable,out_of_scope
QP093A-0113,antimatter_conjugate_rows,6,1,0,6,negative,1080.00,1083.750,False,,1.0034722222222222222222222222222222222222222222222222222222222222222222222222222,,not_applicable,out_of_scope
QP093A-0114,antimatter_conjugate_rows,6,1,0,6,positive,1296.0,1291.50,False,,0.99652777777777777777777777777777777777777777777777777777777777777777777777777778,,not_applicable,out_of_scope
QP093A-0115,bound_composite_rows,1+1+1,3,2,1,positive,108,72.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,True,1.3333333333333333333333333333333333333333333333333333333333333333333333333333333,0.66666666666666666666666666666666666666666666666666666666666666666666666666666667,0.99999999999999999999999999999999999999999999999999999999999999999999999999999994,systematic_miss,derivation
QP093A-0116,bound_composite_rows,1+1+2,3,2,2,positive,216,215.9713541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,True,1.4166666666666666666666666666666666666666666666666666666666666666666666666666667,0.99986738040123456790123456790123456790123456790123456790123456790123456790123457,0.41685456935116298698949754621200245981696067910240796787768439583760384889006792,systematic_miss,derivation
QP093A-0117,bound_composite_rows,1+1+3,3,2,0,neutral,396,395.7565104166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,True,1.25,0.99938512731481481481481481481481481481481481481481481481481481481481481481481481,0.25076906373276392457746733741087908508559226955231442944518837537548405776121024,systematic_miss,extension
QP093A-0118,bound_composite_rows,1+1+4,3,2,1,positive,648,432.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,True,1.3333333333333333333333333333333333333333333333333333333333333333333333333333333,0.66666666666666666666666666666666666666666666666666666666666666666666666666666667,0.99999999999999999999999999999999999999999999999999999999999999999999999999999994,systematic_miss,derivation
QP093A-0119,bound_composite_rows,1+1+6,3,2,0,neutral,1368,1367.158854166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,True,1.25,0.99938512731481481481481481481481481481481481481481481481481481481481481481481481,0.25076906373276392457746733741087908508559226955231442944518837537548405776121024,systematic_miss,extension
QP093A-0120,bound_composite_rows,1+1+8,3,2,2,positive,2376,2375.684895833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,True,1.4166666666666666666666666666666666666666666666666666666666666666666666666666667,0.99986738040123456790123456790123456790123456790123456790123456790123456790123457,0.41685456935116298698949754621200245981696067910240796787768439583760384889006792,systematic_miss,derivation
QP093A-0121,bound_composite_rows,1+1+9,3,2,0,neutral,2988,2986.162760416666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,True,1.25,0.99938512731481481481481481481481481481481481481481481481481481481481481481481481,0.25076906373276392457746733741087908508559226955231442944518837537548405776121024,systematic_miss,extension
QP093A-0122,bound_composite_rows,1+1+12,3,2,0,neutral,5256,5252.768229166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,True,1.25,0.99938512731481481481481481481481481481481481481481481481481481481481481481481481,0.25076906373276392457746733741087908508559226955231442944518837537548405776121024,systematic_miss,extension
QP093A-0123,bound_composite_rows,1+2+2,3,2,1,positive,324,323.9726562500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,True,1.3333333333333333333333333333333333333333333333333333333333333333333333333333333,0.99991560570987654320987654320987654320987654320987654320987654320987654320987654,0.33344586855082773671582044202225785837442878329334313997371498848523578137622530,systematic_miss,derivation
QP093A-0124,bound_composite_rows,1+2+3,3,2,1,negative,504,672.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,True,1.3333333333333333333333333333333333333333333333333333333333333333333333333333333,1.3333333333333333333333333333333333333333333333333333333333333333333333333333333,0,exact_match,derivation
QP093A-0125,bound_composite_rows,1+2+4,3,2,0,neutral,756,755.53515625,True,1.25,0.99938512731481481481481481481481481481481481481481481481481481481481481481481481,0.25076906373276392457746733741087908508559226955231442944518837537548405776121024,systematic_miss,extension
QP093A-0126,bound_composite_rows,1+2+6,3,2,1,negative,1476,1968.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,True,1.3333333333333333333333333333333333333333333333333333333333333333333333333333333,1.3333333333333333333333333333333333333333333333333333333333333333333333333333333,0,exact_match,derivation
QP093A-0127,bound_composite_rows,1+2+8,3,2,1,positive,2484,2483.790364583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,True,1.3333333333333333333333333333333333333333333333333333333333333333333333333333333,0.99991560570987654320987654320987654320987654320987654320987654320987654320987654,0.33344586855082773671582044202225785837442878329334313997371498848523578137622530,systematic_miss,derivation
QP093A-0128,bound_composite_rows,1+2+9,3,2,1,negative,3096,4128.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,True,1.3333333333333333333333333333333333333333333333333333333333333333333333333333333,1.3333333333333333333333333333333333333333333333333333333333333333333333333333333,0,exact_match,derivation
QP093A-0129,bound_composite_rows,1+2+12,3,2,1,negative,5364,7152.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,True,1.3333333333333333333333333333333333333333333333333333333333333333333333333333333,1.3333333333333333333333333333333333333333333333333333333333333333333333333333333,0,exact_match,derivation
QP093A-0130,bound_composite_rows,1+3+3,3,2,2,negative,684,684.0907118055555555555555555555555555555555555555555555555555555555555555555555555555555555555555556,True,1.4166666666666666666666666666666666666666666666666666666666666666666666666666667,1.0001326195987654320987654320987654320987654320987654320987654320987654320987654,0.41647881381471882345850159725152190946898921101802181905852570670845639201976983,systematic_miss,derivation
QP093A-0131,bound_composite_rows,1+3+4,3,2,1,negative,936,936.0789930555555555555555555555555555555555555555555555555555555555555555555555555555555555555555556,True,1.3333333333333333333333333333333333333333333333333333333333333333333333333333333,1.0000843942901234567901234567901234567901234567901234567901234567901234567901235,0.33322081710889561307277790502826970138997721546455136164723752576822461453147030,systematic_miss,derivation
QP093A-0132,bound_composite_rows,1+3+6,3,2,2,negative,1656,1656.219618055555555555555555555555555555555555555555555555555555555555555555555555555555555555555556,True,1.4166666666666666666666666666666666666666666666666666666666666666666666666666667,1.0001326195987654320987654320987654320987654320987654320987654320987654320987654,0.41647881381471882345850159725152190946898921101802181905852570670845639201976983,systematic_miss,derivation
QP093A-0133,bound_composite_rows,1+3+8,3,2,0,neutral,2664,-666.00,True,1.25,-0.25,6,systematic_miss,extension
QP093A-0134,bound_composite_rows,1+3+9,3,2,2,negative,3276,3276.434461805555555555555555555555555555555555555555555555555555555555555555555555555555555555555556,True,1.4166666666666666666666666666666666666666666666666666666666666666666666666666667,1.0001326195987654320987654320987654320987654320987654320987654320987654320987654,0.41647881381471882345850159725152190946898921101802181905852570670845639201976983,systematic_miss,derivation
QP093A-0135,bound_composite_rows,1+3+12,3,2,2,negative,5544,5544.735243055555555555555555555555555555555555555555555555555555555555555555555555555555555555555556,True,1.4166666666666666666666666666666666666666666666666666666666666666666666666666667,1.0001326195987654320987654320987654320987654320987654320987654320987654320987654,0.41647881381471882345850159725152190946898921101802181905852570670845639201976983,systematic_miss,derivation
QP093A-0136,bound_composite_rows,1+4+4,3,2,2,negative,1188,1683.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,True,1.4166666666666666666666666666666666666666666666666666666666666666666666666666667,1.4166666666666666666666666666666666666666666666666666666666666666666666666666667,0,exact_match,derivation
QP093A-0137,bound_composite_rows,1+4+6,3,2,3,negative,1908,1908.345052083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,True,1.5,1.0001808449074074074074074074074074074074074074074074074074074074074074074074074,0.49972878168733952916500922142263045600838968647163056449571475065996456080714571,systematic_miss,derivation
QP093A-0138,bound_composite_rows,1+4+8,3,2,1,negative,2916,2916.246093750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,True,1.3333333333333333333333333333333333333333333333333333333333333333333333333333333,1.0000843942901234567901234567901234567901234567901234567901234567901234567901235,0.33322081710889561307277790502826970138997721546455136164723752576822461453147030,systematic_miss,derivation
QP093A-0139,bound_composite_rows,1+4+9,3,2,3,negative,3528,3528.638020833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,True,1.5,1.0001808449074074074074074074074074074074074074074074074074074074074074074074074,0.49972878168733952916500922142263045600838968647163056449571475065996456080714571,systematic_miss,derivation
QP093A-0140,bound_composite_rows,1+4+12,3,2,3,negative,5796,5797.048177083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,True,1.5,1.0001808449074074074074074074074074074074074074074074074074074074074074074074074,0.49972878168733952916500922142263045600838968647163056449571475065996456080714571,systematic_miss,derivation
QP093A-0141,bound_composite_rows,1+6+6,3,2,5,negative,2628,2628.728732638888888888888888888888888888888888888888888888888888888888888888888888888888888888888889,True,1.6666666666666666666666666666666666666666666666666666666666666666666666666666667,1.0002772955246913580246913580246913580246913580246913580246913580246913580246914,0.66620463557800089192088420697385707570479829329733508503380862270541299552834256,systematic_miss,extension
QP093A-0142,bound_composite_rows,1+6+8,3,2,3,negative,3636,5454.00,True,1.5,1.50,0,exact_match,derivation
QP093A-0143,bound_composite_rows,1+6+9,3,2,5,negative,4248,4249.177951388888888888888888888888888888888888888888888888888888888888888888888888888888888888888889,True,1.6666666666666666666666666666666666666666666666666666666666666666666666666666667,1.0002772955246913580246913580246913580246913580246913580246913580246913580246914,0.66620463557800089192088420697385707570479829329733508503380862270541299552834256,systematic_miss,extension
QP093A-0144,bound_composite_rows,1+6+12,3,2,5,negative,6516,6517.806857638888888888888888888888888888888888888888888888888888888888888888888888888888888888888889,True,1.6666666666666666666666666666666666666666666666666666666666666666666666666666667,1.0002772955246913580246913580246913580246913580246913580246913580246913580246914,0.66620463557800089192088420697385707570479829329733508503380862270541299552834256,systematic_miss,extension
QP093A-0145,bound_composite_rows,1+8+8,3,2,5,negative,4644,4645.287760416666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,True,1.6666666666666666666666666666666666666666666666666666666666666666666666666666667,1.0002772955246913580246913580246913580246913580246913580246913580246913580246914,0.66620463557800089192088420697385707570479829329733508503380862270541299552834256,systematic_miss,extension
QP093A-0146,bound_composite_rows,1+8+9,3,2,7,negative,5256,9636.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,True,1.8333333333333333333333333333333333333333333333333333333333333333333333333333333,1.8333333333333333333333333333333333333333333333333333333333333333333333333333333,0,exact_match,extension
QP093A-0147,bound_composite_rows,1+8+12,3,2,7,negative,7524,13794.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,True,1.8333333333333333333333333333333333333333333333333333333333333333333333333333333,1.8333333333333333333333333333333333333333333333333333333333333333333333333333333,0,exact_match,extension
QP093A-0148,bound_composite_rows,1+9+9,3,2,8,negative,5868,5870.476128472222222222222222222222222222222222222222222222222222222222222222222222222222222222222222,True,1.9166666666666666666666666666666666666666666666666666666666666666666666666666667,1.0004219714506172839506172839506172839506172839506172839506172839506172839506173,0.91585822919051808288844165391243567649646296050808035768085901252124031381433857,systematic_miss,extension
QP093A-0149,bound_composite_rows,1+9+12,3,2,8,negative,8136,8139.433159722222222222222222222222222222222222222222222222222222222222222222222222222222222222222222,True,1.9166666666666666666666666666666666666666666666666666666666666666666666666666667,1.0004219714506172839506172839506172839506172839506172839506172839506172839506173,0.91585822919051808288844165391243567649646296050808035768085901252124031381433857,systematic_miss,extension
QP093A-0150,bound_composite_rows,1+12+12,3,2,11,negative,10404,10409.89539930555555555555555555555555555555555555555555555555555555555555555555555555555555555555556,True,2.1666666666666666666666666666666666666666666666666666666666666666666666666666667,1.0005666473765432098765432098765432098765432098765432098765432098765432098765432,1.1654396259835403838970490776108252702100227735537588413201431480521984311551856,systematic_miss,extension
