ledger_slot,source_kind,w9_block,w9_role,w9_coordinate,k18_offset,k18_role,microcycle_q,residue_r,dimension,side,fiber_residue,fiber_j,ternary_coordinate,ternary_rank,route_even_ledger,route_odd_ledger,even_candidate_address,odd_candidate_address
105,matter,5,oriented_face,"[1,-1,1]",15,point,2,3,0,1,3,17,"[0,1,1]",2,9,3,"[1,0,0]","[1,0,0]"
106,matter,5,oriented_face,"[1,-1,1]",16,point,2,4,1,0,4,17,"[0,1,1]",2,10,4,"[0,-1,0]","[0,-1,0]"
107,matter,5,oriented_face,"[1,-1,1]",17,point,2,5,2,1,5,17,"[0,1,1]",2,11,5,"[0,0,1]","[0,0,1]"
108,matter,6,oriented_face,"[-1,1,1]",0,edge,0,0,0,0,0,18,"[1,-1,-1]",3,0,6,"[""[-1,0,0]"",""[0,-1,0]""]","[""[-1,0,0]"",""[0,0,1]""]"
109,matter,6,oriented_face,"[-1,1,1]",1,edge,0,1,1,1,1,18,"[1,-1,-1]",3,1,7,"[""[0,0,1]"",""[0,1,0]""]","[""[-1,0,0]"",""[0,1,0]""]"
110,matter,6,oriented_face,"[-1,1,1]",2,edge,0,2,2,0,2,18,"[1,-1,-1]",3,2,8,"[""[-1,0,0]"",""[0,0,-1]""]","[""[0,0,-1]"",""[0,1,0]""]"
111,matter,6,oriented_face,"[-1,1,1]",3,edge,0,3,0,1,3,18,"[1,-1,-1]",3,3,9,"[""[0,1,0]"",""[1,0,0]""]","[""[0,0,-1]"",""[1,0,0]""]"
112,matter,6,oriented_face,"[-1,1,1]",4,edge,0,4,1,0,4,18,"[1,-1,-1]",3,4,10,"[""[0,-1,0]"",""[0,0,-1]""]","[""[0,-1,0]"",""[1,0,0]""]"
113,matter,6,oriented_face,"[-1,1,1]",5,edge,0,5,2,1,5,18,"[1,-1,-1]",3,5,11,"[""[0,0,1]"",""[1,0,0]""]","[""[0,-1,0]"",""[0,0,1]""]"
114,matter,6,oriented_face,"[-1,1,1]",6,edge,1,0,0,0,0,19,"[1,-1,0]",2,6,0,"[""[-1,0,0]"",""[0,0,1]""]","[""[-1,0,0]"",""[0,-1,0]""]"
115,matter,6,oriented_face,"[-1,1,1]",7,edge,1,1,1,1,1,19,"[1,-1,0]",2,7,1,"[""[-1,0,0]"",""[0,1,0]""]","[""[0,0,1]"",""[0,1,0]""]"
116,matter,6,oriented_face,"[-1,1,1]",8,edge,1,2,2,0,2,19,"[1,-1,0]",2,8,2,"[""[0,0,-1]"",""[0,1,0]""]","[""[-1,0,0]"",""[0,0,-1]""]"
117,matter,6,oriented_face,"[-1,1,1]",9,edge,1,3,0,1,3,19,"[1,-1,0]",2,9,3,"[""[0,0,-1]"",""[1,0,0]""]","[""[0,1,0]"",""[1,0,0]""]"
118,matter,6,oriented_face,"[-1,1,1]",10,edge,1,4,1,0,4,19,"[1,-1,0]",2,10,4,"[""[0,-1,0]"",""[1,0,0]""]","[""[0,-1,0]"",""[0,0,-1]""]"
119,matter,6,oriented_face,"[-1,1,1]",11,edge,1,5,2,1,5,19,"[1,-1,0]",2,11,5,"[""[0,-1,0]"",""[0,0,1]""]","[""[0,0,1]"",""[1,0,0]""]"
120,matter,6,oriented_face,"[-1,1,1]",12,point,2,0,0,0,0,20,"[1,-1,1]",3,0,6,"[-1,0,0]","[-1,0,0]"
121,matter,6,oriented_face,"[-1,1,1]",13,point,2,1,1,1,1,20,"[1,-1,1]",3,1,7,"[0,1,0]","[0,1,0]"
122,matter,6,oriented_face,"[-1,1,1]",14,point,2,2,2,0,2,20,"[1,-1,1]",3,2,8,"[0,0,-1]","[0,0,-1]"
123,matter,6,oriented_face,"[-1,1,1]",15,point,2,3,0,1,3,20,"[1,-1,1]",3,3,9,"[1,0,0]","[1,0,0]"
124,matter,6,oriented_face,"[-1,1,1]",16,point,2,4,1,0,4,20,"[1,-1,1]",3,4,10,"[0,-1,0]","[0,-1,0]"
125,matter,6,oriented_face,"[-1,1,1]",17,point,2,5,2,1,5,20,"[1,-1,1]",3,5,11,"[0,0,1]","[0,0,1]"
126,matter,7,oriented_face,"[1,1,1]",0,edge,0,0,0,0,0,21,"[1,0,-1]",2,6,0,"[""[-1,0,0]"",""[0,0,1]""]","[""[-1,0,0]"",""[0,-1,0]""]"
127,matter,7,oriented_face,"[1,1,1]",1,edge,0,1,1,1,1,21,"[1,0,-1]",2,7,1,"[""[-1,0,0]"",""[0,1,0]""]","[""[0,0,1]"",""[0,1,0]""]"
128,matter,7,oriented_face,"[1,1,1]",2,edge,0,2,2,0,2,21,"[1,0,-1]",2,8,2,"[""[0,0,-1]"",""[0,1,0]""]","[""[-1,0,0]"",""[0,0,-1]""]"
129,matter,7,oriented_face,"[1,1,1]",3,edge,0,3,0,1,3,21,"[1,0,-1]",2,9,3,"[""[0,0,-1]"",""[1,0,0]""]","[""[0,1,0]"",""[1,0,0]""]"
130,matter,7,oriented_face,"[1,1,1]",4,edge,0,4,1,0,4,21,"[1,0,-1]",2,10,4,"[""[0,-1,0]"",""[1,0,0]""]","[""[0,-1,0]"",""[0,0,-1]""]"
131,matter,7,oriented_face,"[1,1,1]",5,edge,0,5,2,1,5,21,"[1,0,-1]",2,11,5,"[""[0,-1,0]"",""[0,0,1]""]","[""[0,0,1]"",""[1,0,0]""]"
132,matter,7,oriented_face,"[1,1,1]",6,edge,1,0,0,0,0,22,"[1,0,0]",1,0,6,"[""[-1,0,0]"",""[0,-1,0]""]","[""[-1,0,0]"",""[0,0,1]""]"
133,matter,7,oriented_face,"[1,1,1]",7,edge,1,1,1,1,1,22,"[1,0,0]",1,1,7,"[""[0,0,1]"",""[0,1,0]""]","[""[-1,0,0]"",""[0,1,0]""]"
134,matter,7,oriented_face,"[1,1,1]",8,edge,1,2,2,0,2,22,"[1,0,0]",1,2,8,"[""[-1,0,0]"",""[0,0,-1]""]","[""[0,0,-1]"",""[0,1,0]""]"
135,matter,7,oriented_face,"[1,1,1]",9,edge,1,3,0,1,3,22,"[1,0,0]",1,3,9,"[""[0,1,0]"",""[1,0,0]""]","[""[0,0,-1]"",""[1,0,0]""]"
136,matter,7,oriented_face,"[1,1,1]",10,edge,1,4,1,0,4,22,"[1,0,0]",1,4,10,"[""[0,-1,0]"",""[0,0,-1]""]","[""[0,-1,0]"",""[1,0,0]""]"
137,matter,7,oriented_face,"[1,1,1]",11,edge,1,5,2,1,5,22,"[1,0,0]",1,5,11,"[""[0,0,1]"",""[1,0,0]""]","[""[0,-1,0]"",""[0,0,1]""]"
138,matter,7,oriented_face,"[1,1,1]",12,point,2,0,0,0,0,23,"[1,0,1]",2,6,0,"[-1,0,0]","[-1,0,0]"
139,matter,7,oriented_face,"[1,1,1]",13,point,2,1,1,1,1,23,"[1,0,1]",2,7,1,"[0,1,0]","[0,1,0]"
140,matter,7,oriented_face,"[1,1,1]",14,point,2,2,2,0,2,23,"[1,0,1]",2,8,2,"[0,0,-1]","[0,0,-1]"
141,matter,7,oriented_face,"[1,1,1]",15,point,2,3,0,1,3,23,"[1,0,1]",2,9,3,"[1,0,0]","[1,0,0]"
142,matter,7,oriented_face,"[1,1,1]",16,point,2,4,1,0,4,23,"[1,0,1]",2,10,4,"[0,-1,0]","[0,-1,0]"
143,matter,7,oriented_face,"[1,1,1]",17,point,2,5,2,1,5,23,"[1,0,1]",2,11,5,"[0,0,1]","[0,0,1]"
144,ledger_shadow,8,closure_cell,,0,edge,0,0,0,0,0,24,"[1,1,-1]",3,0,6,"[""[-1,0,0]"",""[0,-1,0]""]","[""[-1,0,0]"",""[0,0,1]""]"
