galaxy,n_points,R_outer_kpc,Vbar2_outer,Vobs2_outer,Vdark2_outer,M_halo_measured,M_halo_SAM,ratio,log10_ratio
NGC1003,36,30.24,1893.2869500000002,13225.0,11331.71305,79674069588.06393,42372881729.422264,0.5318277571172315,-0.27422899974559306
NGC1090,24,30.09,8388.0059,25600.0,17211.9941,120418446902.86476,186797340024.41196,1.5512352536409273,0.19067766603438432
NGC1705,14,6.0,393.73290000000003,5112.25,4718.5171,6582584290.301355,1748407773.0407825,0.2656111484385928,-0.5757537003742335
NGC2366,26,6.06,774.7708499999999,2440.3599999999997,1665.5891499999998,2346822009.528216,3474846857.4255996,1.480660588369099,0.17045551666309128
NGC2403,73,20.87,2646.2373499999994,17956.0,15309.76265,74290033157.05283,40873423641.29805,0.5501871772609066,-0.25948953555615856
NGC2683,11,34.62,5467.265949999999,22801.0,17333.73405,139527186760.7088,140083516871.93802,1.0039872524068254,0.0017281986212319437
NGC2841,50,63.64,11784.819420000002,86436.0,74651.18058,1104603707613.319,555063763202.5105,0.502500362235628,-0.2988636208390602
NGC2903,34,24.96,8100.832049999999,32400.0,24299.167950000003,141018350077.54175,149645610344.37927,1.0611782811392536,0.025788352808689814
NGC2915,30,10.04,535.2880499999999,7482.25,6946.96195,16216916414.898243,3977507741.0159106,0.24526905357678436,-0.6103572447356356
NGC2955,24,35.43,27675.66782,51529.0,23853.33218,196498777964.98883,725703193543.4923,3.6931689909684553,0.5673991804281097
NGC2976,27,2.27,3603.9202999999998,7276.089999999999,3672.1696999999995,1938153836.9786856,6054674604.5701685,3.123939126529074,0.4947025625707898
NGC2998,13,42.28,12611.64045,41209.0,28597.35955,281125706367.7222,394635665186.71857,1.4037694036792259,0.14729577237019126
NGC3109,25,6.45,456.38030000000003,4529.29,4072.9097,6108071911.5257015,2178594368.876427,0.3566746430678889,-0.4477277646934202
NGC3198,43,44.08,4187.79405,22201.0,18013.20595,184617236416.4793,136620752785.16919,0.7400216547330688,-0.13075557162918808
NGC3521,41,17.74,12643.8051,42436.0,29792.194900000002,122884119297.079,166005004520.8984,1.3509068988774078,0.13062541956455476
NGC3726,12,32.52,6474.89055,27889.0,21414.10945,161916161769.02103,155837775817.74097,0.9624596711973009,-0.016617459163269593
NGC3741,21,7.0,186.5254,2662.56,2476.0346,4029901160.4520907,966330734.4508542,0.23979018243277392,-0.6201686018983629
NGC3769,12,37.16,2089.4461499999998,12769.0,10679.55385,92271686937.41557,57464106823.33829,0.6227707407399415,-0.2056717998188966
NGC3877,13,11.35,18919.40965,28561.0,9641.590349999999,25443929417.844128,158925364056.07355,6.246101435284493,0.7956090327962964
NGC3893,10,19.05,9097.3851,27889.0,18791.6149,83233609595.41121,128262981741.20993,1.5409998721031228,0.18780260267370139
NGC3917,17,14.86,4916.1163,18769.0,13852.8837,47862859669.69781,54066808001.09855,1.129619257483031,0.052932087520871716
NGC3949,7,7.07,14216.631300000001,28561.0,14344.368699999999,23579820714.453457,74388514610.88657,3.154753189674995,0.4989653881268956
NGC3953,8,15.68,25334.2188,46225.0,20890.7812,76162358481.34467,293997304076.6753,3.8601391808092114,0.5866029638343732
NGC3972,10,8.72,5174.0089499999995,17956.0,12781.99105,25915204446.500862,33391308127.579918,1.2884832993122883,0.11007879381162515
NGC3992,9,46.02,13441.29655,56169.0,42727.70345,457189039707.6434,457801856819.0953,1.0013404020180443,0.0005817394046741448
NGC4010,12,10.47,5207.5371,14884.0,9676.4629,23556076868.151165,40352349550.537315,1.7130335317038907,0.2337658641280556
NGC4013,36,31.01,6710.97265,28900.0,22189.02735,159985151543.1618,154019960524.46817,0.9627140958948037,-0.01650266927290499
NGC4051,7,12.19,15813.908549999998,23409.0,7595.091450000002,21526645471.656006,142670013136.4852,6.627600817988008,0.8213563428725538
NGC4068,6,2.33,650.02565,1755.61,1105.5843499999999,598945696.4921377,1120924051.5531454,1.871495292675268,0.2721887390818985
NGC4085,7,6.2,10307.7528,18496.0,8188.2472,11803811900.27227,47298291867.50625,4.007035376971337,0.6028231767116156
NGC4088,12,21.48,14141.0252,30276.0,16134.9748,80582774041.77255,224804471749.33868,2.7897335928495637,0.44556273206228014
NGC4100,24,22.76,7055.67375,25281.0,18225.32625,96446664880.22302,118850365437.06238,1.2322910863186662,0.09071330705724295
NGC4138,7,18.58,6184.64308,22500.0,16315.35692,70482602884.87785,85045262021.55054,1.2066135264677793,0.08156818956764636
NGC4157,17,29.61,9837.94253,34225.0,24387.05747,167894880777.95163,215591910565.61633,1.2840886486035636,0.10859500680946411
NGC4183,23,21.02,2493.1309499999998,12769.0,10275.869050000001,50221643194.34725,38785337457.02705,0.7722833222906687,-0.11222334379084081
NGC4214,14,5.63,650.69285,6496.359999999999,5845.667149999998,7652126190.620124,2711278948.7474027,0.3543170723021861,-0.450607921254169
NGC4217,19,16.72,15887.35543,31684.0,15796.64457,61410235789.72822,196597349012.20593,3.201377530699691,0.5053368924607745
NGC4389,6,5.32,10316.7492,12100.0,1783.2507999999998,2205787671.9112935,40620407687.11263,18.41537524412558,1.2651805727588241
NGC4559,32,20.97,4798.462450000001,14161.0,9362.53755,45649039952.82394,74471534678.84952,1.6313932287691533,0.2125586554001647
NGC5005,18,11.47,40596.862570000005,70225.0,29628.137429999995,79014612331.36708,344624113538.17737,4.361523816543096,0.6396382483273823
NGC5033,22,44.59,7841.125730000001,38416.0,30574.87427,316987252395.26056,258765076521.6079,0.8163264439383394,-0.08813613481200235
NGC5055,28,54.59,7717.658799999999,29584.0,21866.341200000003,277542093675.0596,311808852717.675,1.1234650880840231,0.05055958117166664
NGC5371,19,46.24,18636.196949999998,45369.0,26732.803050000002,287410062761.6017,637771179024.1143,2.219028703783162,0.3461629199940686
NGC5585,24,10.96,1663.2576,7992.360000000001,6329.102400000001,16128438470.928251,13491487748.777727,0.8365030361182413,-0.07753247841108375
NGC5907,19,50.33,11888.684099999999,45796.0,33907.3159,396789332780.0396,442843720079.25836,1.1160676043797504,0.047690502235817486
NGC5985,33,34.72,19406.83477,81225.0,61818.16523,499040132619.7479,498682579677.813,0.9992835186620003,-0.00031127541631408397
NGC6015,44,29.23,3905.434799999999,23104.0,19198.5652,130477982751.55725,84486628528.46973,0.6475163605904336,-0.18874925392720265
NGC6195,23,36.43,30225.834300000002,60516.0,30290.165699999998,256566804804.33212,814943013773.7474,3.176338476036504,0.5019267753805117
NGC6503,31,23.5,1838.4436500000002,13225.0,11386.556349999999,62215687895.11987,31974808915.299557,0.5139348289325533,-0.28909194954450546
NGC6674,15,72.41,8798.02977,58564.0,49765.97023,837858477474.3717,471491369224.2367,0.5627339006528804,-0.24969692095228635
NGC6789,4,0.71,369.23535000000004,3648.16,3278.92465,541289285.6395507,194022186.43451694,0.3584445352641213,-0.4455780363484666
NGC6946,58,20.4,8892.64702,23716.0,14823.35298,70309864840.6965,134261345158.3503,1.9095662530791502,0.28093473097198524
NGC7331,36,36.31,18364.871570000003,56644.0,38279.12843,323167690859.21356,493519045289.76227,1.5271299057700711,0.1838759820200501
NGC7793,46,7.87,3198.2841,8244.64,5046.3559,9234050685.320084,18628656899.619717,2.0173873346000573,0.30478928994787685
NGC7814,18,19.53,11293.778919999997,45796.0,34502.22108,156671117901.1884,163241771056.30002,1.04193914770721,0.01784235563655204
PGC51017,6,3.63,306.765,334.89000000000004,28.125000000000057,23737708.99646824,824142300.1496639,34.718695905838345,1.5405634039602463
UGC00128,22,53.75,1720.6834,15625.0,13904.3166,173767183514.65158,68449331362.81199,0.3939140289802794,-0.4045985518127751
UGC00191,9,9.98,1647.1201999999998,7030.822499999999,5383.702299999999,12492553658.179316,12165938234.146648,0.9738551914228665,-0.011505616264577188
UGC00634,4,18.01,1715.3921000000003,11556.25,9840.857899999999,41208453740.9525,22864772842.606438,0.5548563648211746,-0.2558194277584009
UGC00731,12,10.91,1360.36695,5461.210000000001,4100.843050000001,10402495675.450083,10984254720.134933,1.0559249494386047,0.023633051528312514
UGC00891,5,7.39,578.4608499999999,4064.0625,3485.60165,5989103746.300201,3163793885.7911706,0.5282583204115674,-0.27715365380168183
UGC01230,11,36.54,2055.6721,10609.0,8553.3279,72668017109.40244,55591981893.918655,0.7650130567100016,-0.11633115254740783
UGC01281,25,4.99,584.77805,3237.6099999999997,2652.83195,3077867574.6528063,2159640090.9249735,0.701667644414035,-0.15386854937459163
UGC02023,5,3.78,1047.4216499999998,3457.4399999999996,2410.01835,2118126015.8896604,2930239503.3334956,1.3834113180007042,0.1409513244185225
UGC02259,8,8.14,1223.64885,8100.0,6876.35115,13014338444.887247,7371756542.321395,0.5664334436620887,-0.24685111271745275
UGC02455,8,4.03,3014.43885,3721.0,706.56115,662055573.0066428,8990861281.969475,13.580221432377042,1.1329068513933367
UGC02487,17,80.38,16658.64373,110889.0,94230.35627,1761077548003.2366,991008580393.1844,0.5627285303346353,-0.24970106555901103
UGC02885,19,74.07,21124.10108,88804.0,67679.89892,1165578938644.2405,1158004785713.8438,0.9935018104057314,-0.002831337161611668
UGC02916,43,38.0,14295.9651,32761.0,18465.0349,163144852182.44513,402056278571.2811,2.4644129017424405,0.3917134737542571
UGC02953,115,62.39,10437.57557,73984.0,63546.42443,921819201096.4425,481952670594.128,0.5228277627769929,-0.2816413589248554
UGC03205,48,40.04,8508.69328,48400.0,39891.30672,371374411710.266,252142880527.0619,0.6789452169466522,-0.16816526686473268
UGC03546,30,29.23,9220.90657,37249.0,28028.09343,190485541654.88235,199476715902.49466,1.0472013475117303,0.020030192382015907
UGC03580,47,27.06,2400.88977,15376.0,12975.11023,81635394096.55167,48082803991.56447,0.5889945718237859,-0.22988870765405214
UGC04278,25,6.69,2071.7298,8611.84,6540.1102,10173041806.966434,10257676617.436977,1.0083195185939948,0.0035981741470102807
UGC04305,22,5.52,1104.41,1089.0,0.0,0.0,4511897040.694472,,
UGC04325,8,5.59,1889.32295,8372.25,6482.92705,8426021983.603471,7816418079.127866,0.9276522295263581,-0.03261480729955441
UGC04483,8,1.21,178.8338,585.64,406.8062,114449151.92366268,160149190.50576717,1.3993043007656911,0.14591216893973263
UGC04499,9,8.18,1589.8374,5520.49,3930.6526,7475798904.88292,9624890239.251513,1.287473133201173,0.10973817501480515
UGC05005,11,28.61,1855.8966000000003,9820.81,7964.9133999999995,52983245958.18095,39297181847.75045,0.7416907200960706,-0.12977715477043783
UGC05253,73,53.29,10629.634199999999,47524.0,36894.3658,457135990635.0052,419231408458.18176,0.917082481026772,-0.037591602777204136
UGC05414,6,4.11,1134.4018999999998,3769.96,2635.5581,2518570207.467723,3450631159.608148,1.3700754298517486,0.13674447800793776
UGC05716,12,12.37,881.0889,5580.09,4699.0011,13514963951.117323,8066389748.885778,0.5968487802158663,-0.22413568936777165
UGC05721,23,6.74,776.71935,6320.25,5543.53065,8687323515.488585,3874483304.263449,0.44599274993680765,-0.3506722011264906
UGC05750,11,22.85,1718.7584,6225.210000000001,4506.451600000001,23942007403.084473,29066370877.490513,1.2140323235279704,0.08423024995419107
UGC05764,10,3.62,447.72135,2490.0099999999998,2042.2886499999997,1718958293.244918,1199516283.059172,0.6978158154115635,-0.15625919185532625
UGC05829,11,6.91,1401.2969000000003,4705.959999999999,3304.663099999999,5309393133.313646,7166349442.637742,1.349749258097441,0.1302530974292397
UGC05918,8,4.46,388.7174,1980.25,1591.5326,1650403146.310897,1283094408.9236913,0.7774430215985462,-0.10933143035528047
UGC05986,15,9.41,1950.8353499999998,11449.0,9498.16465,20781120589.94492,13586262853.831593,0.6537791258670331,-0.184568949869881
UGC05999,5,16.22,2765.4275000000002,10000.0,7234.5725,27283706459.79572,33197310441.750225,1.2167448909725143,0.08519953134693643
UGC06399,9,7.85,1493.7318,7673.759999999999,6180.028199999999,11279757393.202833,8678247984.937616,0.7693647728777497,-0.11386770273813213
UGC06446,17,10.22,1327.9986,6416.009999999999,5088.011399999999,12090342859.534378,10044730418.656391,0.8308060851008184,-0.08050033120767858
UGC06614,13,64.59,8865.91155,41616.0,32750.08845,491832708190.9411,423817076558.7312,0.8617098242969953,-0.06463895566339552
UGC06628,7,7.69,2077.6459000000004,1789.2899999999997,0.0,0.0,11824632271.74342,,
UGC06667,9,7.85,886.2916,7344.490000000001,6458.198400000001,11787472288.422686,5149156154.918263,0.43683293830311826,-0.35968462217154185
UGC06786,45,34.05,6162.71952,44521.0,38358.28048,303679791100.95306,155302801949.44733,0.5114031506226228,-0.2912366007253956
UGC06787,71,37.19,8164.9074,65025.0,56860.0926,491669633587.77563,224733189054.89566,0.4570816940940385,-0.34000617165125807
UGC06818,8,6.98,1041.00935,5535.360000000001,4494.35065,7293937221.890252,5377740298.329979,0.7372890847196402,-0.1323621956115072
UGC06917,11,10.47,3170.0776499999997,12321.0,9150.92235,22276717486.41567,24564410964.090084,1.1026943704371819,0.04245515738532269
UGC06923,6,5.16,2295.6396000000004,6577.209999999999,4281.570399999999,5136797390.319722,8766842049.106388,1.7066746813155358,0.23215074573445274
UGC06930,10,16.61,2934.8454,11664.0,8729.1546,33711762837.632034,36078181059.4813,1.0701956238018993,0.029463170743475466
UGC06973,9,7.85,17265.15302,32400.0,15134.846979999998,27624049048.457184,100306681162.87985,3.631136079541606,0.5600425247285419
UGC06983,17,15.68,2406.8081500000003,11881.0,9474.19185,34540441024.80638,27930409582.227596,0.8086292112532214,-0.09225057408701128
UGC07089,12,9.16,1732.085,6256.8099999999995,4524.724999999999,9636677121.818405,11742334477.05152,1.2185045040541718,0.08582713884060997
UGC07125,13,18.68,1529.40285,4212.010000000001,2682.607150000001,11651278813.553415,21144067650.949646,1.814742226093988,0.2588149446693758
UGC07151,11,5.5,1945.2228,5806.4400000000005,3861.2172000000005,4937721226.438127,7918115153.271357,1.603597042067757,0.20509524649664582
UGC07232,4,0.82,458.3179,1936.0,1477.6821,281730917.8755194,278144479.2839075,0.9872699857770081,-0.005564065872181142
UGC07261,7,6.67,1495.1816,5791.209999999999,4296.028399999999,6662429445.861457,7380903893.401755,1.1078397082293454,0.044476927479585454
UGC07323,10,5.82,2677.4168499999996,7327.359999999999,4649.943149999999,6292312355.52476,11532640374.335127,1.8328143491175015,0.2631184762894581
UGC07399,10,6.13,1134.85375,11236.0,10101.14625,14396959367.31994,5148611758.502726,0.35761799607420597,-0.4465806347333016
UGC07524,31,10.69,1928.6048,6241.0,4312.3952,10718546700.116951,15258460619.120996,1.4235568539300678,0.15337481665686614
UGC07559,7,2.53,390.26295,1030.41,640.14705,376564967.99514526,730747968.7938448,1.9405628003167457,0.28792770190195643
UGC07577,9,1.69,153.62284999999997,316.84000000000003,163.21715000000006,64134563.03433462,192146419.03423446,2.9959885893565428,0.4765401549590292
UGC07603,12,4.11,513.3369,4096.0,3582.6630999999998,3423634844.9514174,1561471558.2869284,0.45608589379487,-0.3409533597735024
UGC07608,8,4.78,713.9682,4802.49,4088.5217999999995,4543953303.8357,2525785920.603881,0.5558564870091826,-0.2550373216287171
UGC07690,7,4.13,986.7849000000001,3124.81,2138.0251,2053064040.6332612,3016215167.079591,1.4691286328064315,0.1670598230688697
UGC07866,7,2.32,339.29685,1095.6100000000001,756.3131500000002,407970989.3952676,582582701.7025778,1.4280003158218084,0.1547283034903331
UGC08286,17,8.04,1068.1668,7106.49,6038.3232,11287871294.21448,6356014755.872045,0.5630835602395445,-0.2494271521146363
UGC08490,30,10.15,726.75,6021.759999999999,5295.009999999999,12496041884.159399,5459348961.750675,0.436886256653094,-0.3596316168917195
UGC08550,11,5.36,606.97405,3306.25,2699.27595,3363966949.3200283,2407823708.326837,0.7157691334671228,-0.14522703387831304
UGC08699,41,25.7,6130.05567,33489.0,27358.94433,163482813934.95798,116596983408.8196,0.7132063646470386,-0.14678478983942764
UGC08837,8,4.2,859.78055,2304.0,1444.21945,1410334485.0275874,2672555170.5496173,1.894979665407061,0.2776045540144406
UGC09037,22,27.96,9715.78845,23104.0,13388.21155,87036091184.8888,201050422303.93073,2.309966125165753,0.36360561116424
UGC09133,68,108.31,8966.55732,52441.0,43474.44268,1094818744561.2208,718760260757.0896,0.6565107368938525,-0.18275816685458948
UGC09992,5,3.89,551.10375,1176.4899999999998,625.3862499999998,565636693.7462071,1586619326.6975253,2.805014851828934,0.4479351650753447
UGC10310,7,7.74,1583.16125,5358.240000000001,3775.0787500000006,6793704012.639188,9068926553.420555,1.334901629000687,0.12544926303672338
UGC11455,36,41.93,23518.788549999997,70756.0,47237.21145,460520279684.6482,729843227760.7546,1.584823209654375,0.19998082279740909
UGC11557,12,10.56,4240.6275,7140.25,2899.6225000000004,7119426725.971948,33142389439.85651,4.655204796047943,0.6679387916196393
UGC11820,10,15.82,1395.8770999999997,7131.802500000001,5735.925400000001,21098404716.211224,16343438543.684929,0.7746291135996288,-0.11090618455357543
UGC11914,65,9.83,36914.51747,93025.0,56110.48253,128244032837.21353,268559479386.46393,2.0941284630947288,0.3210033197028552
UGC12506,31,49.99,13597.9163,50625.0,37027.0837,430370297021.5606,503089522862.80756,1.168968970081139,0.06780298310247877
UGC12632,15,10.66,1343.83455,5343.609999999999,3999.7754499999987,9913624395.069878,10602121573.24679,1.0694495928773846,0.02916031948154683
UGC12732,16,15.4,2142.79645,9604.0,7461.20355,26715865867.92098,24422572733.128044,0.9141598798956915,-0.03897784268599535
UGCA281,7,1.08,238.9779,870.25,631.2721,158518515.38395366,191016669.49877265,1.2050117239371312,0.08099127231871547
UGCA442,8,6.33,336.9547,3192.25,2855.2952999999998,4202370951.496311,1578574202.3538527,0.3756389477687066,-0.42522938465911136
UGCA444,36,2.62,204.49735,1466.8899999999999,1262.3926499999998,769016032.1885368,396532463.8108527,0.515636146989503,-0.2876566454539685
